name,finish_time_fairness
vit@frgfm#imagenette-0,0.0249
vit@imagenet-split-1-1,0.0116
vit@frgfm#imagenette-2,0.02929
vit@Bingsu#Cat_and_Dog-3,0.06411
vit@Bingsu#Cat_and_Dog-4,0.05842
vit@Bingsu#Cat_and_Dog-5,0.05273
vit@food101-6,0.04218
vit@imagenet-split-0-7,0.02197
vit@Bingsu#Cat_and_Dog-8,0.07408
vit@mnist-9,0.06627
vit@Bingsu#Cat_and_Dog-10,0.05095
vit@imagenet-split-2-11,0.04259
vit@frgfm#imagenette-12,0.05176
vit@imagenet-split-2-13,0.00748
vit@imagenet-split-1-14,0.07808
vit@imagenet-split-2-15,0.02903
vit@food101-16,0.03831
vit@mnist-17,0.02741
vit@imagenet-split-1-18,0.04261
vit@imagenet-split-0-19,0.04744
vit@mnist-20,0.06708
vit@mnist-21,0.06708
vit@mnist-22,0.06708
vit@imagenet-split-0-23,0.08907
vit@imagenet-split-1-24,0.03569
vit@frgfm#imagenette-25,0.03875
vit@mnist-26,0.06077
vit@frgfm#imagenette-27,0.05274
vit@imagenet-split-2-28,0.00511
vit@frgfm#imagenette-29,0.03534
vit@Bingsu#Cat_and_Dog-30,0.05486
vit@Bingsu#Cat_and_Dog-31,0.04098
vit@imagenet-split-0-32,0.07102
vit@food101-33,0.06538
vit@mnist-34,0.05726
vit@fashion_mnist-35,0.06889
vit@food101-36,0.03071
vit@food101-37,0.06046
vit@fashion_mnist-38,0.06803
vit@fashion_mnist-39,0.02469
vit@Bingsu#Cat_and_Dog-40,0.0513
vit@frgfm#imagenette-41,0.04265
vit@imagenet-split-2-42,0.06162
vit@frgfm#imagenette-43,0.04965
vit@imagenet-split-0-44,0.07019
vit@imagenet-split-2-45,0.02889
vit@food101-46,0.0563
vit@food101-47,0.04079
vit@Bingsu#Cat_and_Dog-48,0.07266
vit@imagenet-split-2-49,0.06475
vit@fashion_mnist-50,0.01448
vit@frgfm#imagenette-51,0.04135
vit@mnist-52,0.061
vit@imagenet-split-0-53,0.0268
vit@frgfm#imagenette-54,0.021
vit@mnist-55,0.00652
vit@frgfm#imagenette-56,0.04591
vit@fashion_mnist-57,0.04271
vit@fashion_mnist-58,0.04358
vit@cifar100-59,0.01992
vit@imagenet-split-0-60,0.04762
vit@frgfm#imagenette-61,0.02555
vit@frgfm#imagenette-62,0.03043
vit@Bingsu#Cat_and_Dog-63,0.07266
vit@imagenet-split-0-64,0.06456
vit@cifar100-65,0.04555
vit@mnist-66,0.02279
vit@mnist-67,0.06212
vit@imagenet-split-1-68,0.02228
vit@fashion_mnist-69,0.02859
vit@cifar100-70,0.04043
vit@fashion_mnist-71,0.01294
vit@imagenet-split-1-72,0.01085
vit@Bingsu#Cat_and_Dog-73,0.04739
vit@frgfm#imagenette-74,0.02328
vit@imagenet-split-1-75,0.04202
vit@mnist-76,0.03238
vit@Bingsu#Cat_and_Dog-77,0.04703
vit@fashion_mnist-78,0.01284
vit@cifar100-79,0.03903
vit@mnist-80,0.01374
vit@mnist-81,0.06265
vit@frgfm#imagenette-82,0.03826
vit@imagenet-split-0-83,0.0712
vit@imagenet-split-2-84,0.03489
vit@fashion_mnist-85,0.03774
vit@mnist-86,0.05868
vit@frgfm#imagenette-87,0.05225
vit@Bingsu#Cat_and_Dog-88,0.05273
vit@fashion_mnist-89,0.0144
vit@cifar100-90,0.02337
vit@imagenet-split-1-91,0.03905
vit@Bingsu#Cat_and_Dog-92,0.05344
vit@imagenet-split-0-93,0.01677
vit@imagenet-split-1-94,0.02101
vit@fashion_mnist-95,0.00567
vit@imagenet-split-1-96,0.02867
vit@frgfm#imagenette-97,0.04461
vit@imagenet-split-2-98,0.00645
vit@imagenet-split-0-99,0.01289
vit@imagenet-split-1-100,0.01934
vit@imagenet-split-1-101,0.00573
vit@fashion_mnist-102,0.01796
vit@cifar100-103,0.01716
vit@imagenet-split-0-104,0.01126
vit@imagenet-split-1-105,0.005
vit@Bingsu#Cat_and_Dog-106,0.03351
vit@imagenet-split-1-107,0.00253
vit@fashion_mnist-108,0.0871
vit@Bingsu#Cat_and_Dog-109,0.03422
vit@cifar100-110,0.00756
vit@imagenet-split-2-111,0.00435
vit@cifar100-112,0.00676
vit@Bingsu#Cat_and_Dog-113,0.06589
vit@Bingsu#Cat_and_Dog-114,0.09207
vit@frgfm#imagenette-115,0.04493
vit@Bingsu#Cat_and_Dog-116,0.06447
vit@Bingsu#Cat_and_Dog-117,0.06411
vit@frgfm#imagenette-118,0.02637
vit@fashion_mnist-119,0.00613
vit@frgfm#imagenette-120,0.02783
vit@imagenet-split-1-121,0.0214
vit@food101-122,0.00901
vit@Bingsu#Cat_and_Dog-123,0.06981
vit@imagenet-split-0-124,0.01456
vit@frgfm#imagenette-125,0.0449
vit@frgfm#imagenette-126,0.04542
vit@frgfm#imagenette-127,0.04542
vit@frgfm#imagenette-128,0.04542
vit@frgfm#imagenette-129,0.04574
vit@frgfm#imagenette-130,0.04542
vit@frgfm#imagenette-131,0.04574
vit@Bingsu#Cat_and_Dog-132,0.05415
vit@Bingsu#Cat_and_Dog-133,0.05415
vit@Bingsu#Cat_and_Dog-134,0.05415
vit@frgfm#imagenette-135,0.04558
vit@Bingsu#Cat_and_Dog-136,0.05379
vit@frgfm#imagenette-137,0.06477
vit@Bingsu#Cat_and_Dog-138,0.05379
vit@Bingsu#Cat_and_Dog-139,0.05379
vit@frgfm#imagenette-140,0.04721
vit@Bingsu#Cat_and_Dog-141,0.05059
vit@imagenet-split-0-142,0.0167
vit@Bingsu#Cat_and_Dog-143,0.02497
vit@frgfm#imagenette-144,0.01986
vit@Bingsu#Cat_and_Dog-145,0.04347
vit@imagenet-split-0-146,0.1004
vit@frgfm#imagenette-147,0.01531
vit@frgfm#imagenette-148,0.03989
vit@Bingsu#Cat_and_Dog-149,0.03351
vit@Bingsu#Cat_and_Dog-150,0.05415
vit@Bingsu#Cat_and_Dog-151,0.05806
vit@imagenet-split-1-152,0.01902
vit@mnist-153,0.00634
vit@Bingsu#Cat_and_Dog-154,0.0717
vit@frgfm#imagenette-155,0.05127
vit@Bingsu#Cat_and_Dog-156,0.06518
vit@Bingsu#Cat_and_Dog-157,0.05593
vit@food101-158,0.00569
vit@imagenet-split-2-159,0.00902
vit@food101-160,0.04243
vit@food101-161,0.04243
vit@imagenet-split-2-162,0.01303
vit@food101-163,0.04243
vit@imagenet-split-2-164,0.00431
vit@imagenet-split-2-165,0.0037
vit@imagenet-split-0-166,0.04331
vit@imagenet-split-1-167,0.02514
vit@imagenet-split-0-168,0.04423
vit@Bingsu#Cat_and_Dog-169,0.04419
vit@imagenet-split-1-170,0.0181
vit@frgfm#imagenette-171,0.04231
vit@fashion_mnist-172,0.02623
vit@frgfm#imagenette-173,0.04851
vit@frgfm#imagenette-174,0.03956
vit@frgfm#imagenette-175,0.08379
vit@Bingsu#Cat_and_Dog-176,0.06981
vit@frgfm#imagenette-177,0.05419
vit@Bingsu#Cat_and_Dog-178,0.04276
vit@frgfm#imagenette-179,0.08379
vit@frgfm#imagenette-180,0.04574
vit@frgfm#imagenette-181,0.04282
vit@mnist-182,0.02407
vit@frgfm#imagenette-183,0.04948
vit@Bingsu#Cat_and_Dog-184,0.06198
vit@frgfm#imagenette-185,0.04883
vit@cifar100-186,0.01834
vit@imagenet-split-1-187,0.07833
vit@Bingsu#Cat_and_Dog-188,0.04668
vit@imagenet-split-2-189,0.03616
vit@fashion_mnist-190,0.02938
vit@imagenet-split-1-191,0.01761
vit@mnist-192,0.05741
vit@Bingsu#Cat_and_Dog-193,0.06838
vit@Bingsu#Cat_and_Dog-194,0.03564
vit@Bingsu#Cat_and_Dog-195,0.07294
vit@imagenet-split-1-196,0.01712
vit@frgfm#imagenette-197,0.04562
vit@imagenet-split-1-198,0.02065
vit@imagenet-split-2-199,0.00316
vit@Bingsu#Cat_and_Dog-200,0.03209
vit@imagenet-split-1-201,0.04242
vit@imagenet-split-0-202,0.10282
vit@frgfm#imagenette-203,0.05095
vit@Bingsu#Cat_and_Dog-204,0.05166
vit@frgfm#imagenette-205,0.0433
vit@imagenet-split-1-206,0.0039
vit@Bingsu#Cat_and_Dog-207,0.07301
vit@frgfm#imagenette-208,0.02994
vit@imagenet-split-0-209,0.03821
vit@food101-210,0.00895
vit@food101-211,0.00935
vit@frgfm#imagenette-212,0.049
vit@fashion_mnist-213,0.04065
vit@frgfm#imagenette-214,0.04688
vit@imagenet-split-2-215,0.04292
vit@Bingsu#Cat_and_Dog-216,0.03529
vit@food101-217,0.06023
vit@imagenet-split-0-218,0.02565
vit@Bingsu#Cat_and_Dog-219,0.06554
vit@food101-220,0.04209
vit@frgfm#imagenette-221,0.01873
vit@cifar100-222,0.00522
vit@frgfm#imagenette-223,0.04298
vit@mnist-224,0.02045
vit@fashion_mnist-225,0.01335
vit@frgfm#imagenette-226,0.0236
vit@fashion_mnist-227,0.02486
vit@Bingsu#Cat_and_Dog-228,0.06874
vit@Bingsu#Cat_and_Dog-229,0.03671
vit@imagenet-split-1-230,0.0129
vit@frgfm#imagenette-231,0.02425
vit@cifar100-232,0.0822
vit@fashion_mnist-233,0.01338
vit@imagenet-split-1-234,0.00401
vit@fashion_mnist-235,0.01414
vit@mnist-236,0.00361
vit@Bingsu#Cat_and_Dog-237,0.05557
vit@imagenet-split-0-238,0.12136
vit@imagenet-split-2-239,0.01118
vit@Bingsu#Cat_and_Dog-240,0.03814
vit@imagenet-split-1-241,0.01277
vit@fashion_mnist-242,0.02143
vit@fashion_mnist-243,0.07488
vit@frgfm#imagenette-244,0.02035
