name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,228.1378710269928,198.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,103,181.1378710269928,245.1378710269928,1,749250.0,4
vit-large@Bingsu#Cat_and_Dog-2,766,74,165.1378710269928,931.1378710269928,1,31680.0,4
vit-large@food101-3,786,54,2558.2757420539856,3344.2757420539856,2,757500,4
vit-large@imagenet-split-0-4,1280,40,998.1378710269928,2278.137871026993,1,250000.0,12
vit-large@Bingsu#Cat_and_Dog-5,1322,118,209.1378710269928,1531.1378710269928,1,31680.0,4
vit-large@mnist-6,1576,104,1150.8272261619568,2726.827226161957,6,600000.0,2
vit-large@Bingsu#Cat_and_Dog-7,1747,53,144.1378710269928,1891.1378710269928,1,31680.0,4
vit-large@imagenet-split-2-8,1987,53,1701.1029682159424,3688.1029682159424,8,1000000.0,1
vit-large@imagenet-split-1-9,2229,51,627.4136130809784,2856.4136130809784,3,749250.0,4
vit-large@imagenet-split-2-10,2296,104,1661.9650971889496,3957.9650971889496,7,1000000.0,12
vit-large@imagenet-split-1-11,2634,6,582.4136130809784,3216.4136130809784,3,749250.0,4
vit-large@imagenet-split-0-12,2660,100,919.2757420539856,3579.2757420539856,2,250000.0,2
vit-large@mnist-13,3002,118,918.1378710269928,3920.137871026993,1,600000.0,12
vit-large@mnist-14,3002,118,1052.5514841079712,4054.551484107971,4,600000.0,8
vit-large@imagenet-split-0-15,3014,106,925.2757420539856,3939.2757420539856,2,250000.0,2
vit-large@imagenet-split-1-16,3350,10,730.5514841079712,4080.551484107971,4,749250.0,2
vit-large@frgfm#imagenette-17,3459,21,254.1378710269928,3713.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-18,3853,107,394.1378710269928,4247.137871026993,1,66283.0,12
vit-large@frgfm#imagenette-19,4072,8,345.2757420539856,4417.275742053986,2,66283.0,2
vit-large@Bingsu#Cat_and_Dog-20,4256,64,155.1378710269928,4411.137871026993,1,31680.0,4
vit-large@Bingsu#Cat_and_Dog-21,4295,25,116.1378710269928,4411.137871026993,1,31680.0,4
vit-large@mnist-22,4853,67,879.2757420539856,5732.275742053986,2,600000.0,16
vit-large@fashion_mnist-23,4853,67,993.5514841079712,5846.551484107971,4,600000.0,2
vit-large@food101-24,4906,14,2728.1029682159424,7634.102968215942,8,757500,4
vit-large@food101-25,4906,14,2640.689355134964,7546.689355134964,5,757500,4
vit-large@fashion_mnist-26,5098,62,881.2757420539856,5979.275742053986,2,600000.0,32
vit-large@imagenet-split-2-27,6003,117,1545.5514841079712,7548.551484107971,4,1000000.0,4
vit-large@food101-28,6111,9,2611.1029682159424,8722.102968215942,8,757500,4
vit-large@fashion_mnist-29,6432,96,677.4136130809784,7061.413613080978,3,600000.0,1
vit-large@mnist-30,6467,61,642.4136130809784,7096.413613080978,3,600000.0,8
vit-large@frgfm#imagenette-31,6828,12,349.2757420539856,7177.275742053986,2,66283.0,2
vit-large@mnist-32,6858,102,930.2757420539856,7788.275742053986,2,600000.0,12
vit-large@cifar100-33,7000,80,901.5514841079712,7901.551484107971,4,500000.0,4
vit-large@frgfm#imagenette-34,7190,10,243.1378710269928,7433.137871026993,1,66283.0,4
vit-large@imagenet-split-0-35,7246,74,893.2757420539856,8139.275742053986,2,250000.0,2
vit-large@cifar100-36,7246,74,748.1378710269928,7994.137871026993,1,500000.0,12
vit-large@imagenet-split-1-37,7328,122,557.2757420539856,7773.275742053986,2,749250.0,4
vit-large@cifar100-38,7430,20,455.2757420539856,7875.275742053986,2,500000.0,4
vit-large@imagenet-split-1-39,7490,114,220.1378710269928,7640.137871026993,1,749250.0,4
vit-large@Bingsu#Cat_and_Dog-40,7516,88,194.1378710269928,7666.137871026993,1,31680.0,1
vit-large@cifar100-41,7670,130,947.4136130809784,8617.413613080978,3,500000.0,2
vit-large@mnist-42,7719,81,1029.4136130809784,8748.413613080978,3,600000.0,8
vit-large@mnist-43,7774,26,1086.8272261619568,8860.827226161957,6,600000.0,12
vit-large@imagenet-split-0-44,7814,106,1029.5514841079712,8843.551484107971,4,250000.0,1
vit-large@Bingsu#Cat_and_Dog-45,7949,182,244.1378710269928,8102.137871026993,1,31680.0,1
vit-large@fashion_mnist-46,8016,115,177.1378710269928,8169.137871026993,1,600000.0,4
vit-large@cifar100-47,8044,209,300.1378710269928,8228.137871026993,1,500000.0,1
vit-large@imagenet-split-1-48,8065,95,918.689355134964,8983.689355134964,5,749250.0,8
vit-large@Bingsu#Cat_and_Dog-49,8067,186,277.1378710269928,8251.137871026993,1,31680.0,1
vit-large@imagenet-split-1-50,8169,131,596.2757420539856,8654.275742053986,2,749250.0,4
vit-large@imagenet-split-1-51,8245,51,388.2757420539856,8598.275742053986,2,749250.0,1
vit-large@cifar100-52,8260,40,505.2757420539856,8745.275742053986,2,500000.0,1
vit-large@imagenet-split-0-53,8264,32,369.2757420539856,8617.275742053986,2,250000.0,1
vit-large@imagenet-split-1-54,8267,13,810.689355134964,9077.689355134964,5,749250.0,1
