name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03336
vit-large@imagenet-split-1-1,0.01365
vit-large@Bingsu#Cat_and_Dog-2,0.13318
vit-large@food101-3,0.117
vit-large@imagenet-split-0-4,0.05763
vit-large@Bingsu#Cat_and_Dog-5,0.16866
vit-large@mnist-6,0.15406
vit-large@Bingsu#Cat_and_Dog-7,0.11624
vit-large@imagenet-split-2-8,0.05459
vit-large@imagenet-split-1-9,0.09645
vit-large@imagenet-split-2-10,0.05334
vit-large@imagenet-split-1-11,0.05191
vit-large@imagenet-split-0-12,0.08755
vit-large@mnist-13,0.12291
vit-large@mnist-14,0.1409
vit-large@imagenet-split-0-15,0.12977
vit-large@imagenet-split-1-16,0.06511
vit-large@frgfm#imagenette-17,0.05537
vit-large@frgfm#imagenette-18,0.08587
vit-large@frgfm#imagenette-19,0.07522
vit-large@Bingsu#Cat_and_Dog-20,0.12511
vit-large@Bingsu#Cat_and_Dog-21,0.09366
vit-large@mnist-22,0.11771
vit-large@fashion_mnist-23,0.13301
vit-large@food101-24,0.08575
vit-large@food101-25,0.083
vit-large@fashion_mnist-26,0.11798
vit-large@imagenet-split-2-27,0.0496
vit-large@food101-28,0.08207
vit-large@fashion_mnist-29,0.01787
vit-large@mnist-30,0.08426
vit-large@frgfm#imagenette-31,0.07609
vit-large@mnist-32,0.02642
vit-large@cifar100-33,0.03072
vit-large@frgfm#imagenette-34,0.05297
vit-large@imagenet-split-0-35,0.12528
vit-large@cifar100-36,0.08575
vit-large@imagenet-split-1-37,0.03969
vit-large@cifar100-38,0.05103
vit-large@imagenet-split-1-39,0.01338
vit-large@Bingsu#Cat_and_Dog-40,0.12108
vit-large@cifar100-41,0.10859
vit-large@mnist-42,0.09832
vit-large@mnist-43,0.03086
vit-large@imagenet-split-0-44,0.1444
vit-large@Bingsu#Cat_and_Dog-45,0.1235
vit-large@fashion_mnist-46,0.01463
vit-large@cifar100-47,0.00627
vit-large@imagenet-split-1-48,0.08188
vit-large@Bingsu#Cat_and_Dog-49,0.1485
vit-large@imagenet-split-1-50,0.04325
vit-large@imagenet-split-1-51,0.01205
vit-large@cifar100-52,0.01654
vit-large@imagenet-split-0-53,0.0204
vit-large@imagenet-split-1-54,0.02765
vit-large@Bingsu#Cat_and_Dog-55,0.0856
vit-large@imagenet-split-1-56,0.00362
vit-large@Bingsu#Cat_and_Dog-57,0.08398
vit-large@cifar100-58,0.00668
vit-large@imagenet-split-2-59,0.01817
vit-large@cifar100-60,0.0193
vit-large@frgfm#imagenette-61,0.08633
vit-large@Bingsu#Cat_and_Dog-62,0.14689
vit-large@Bingsu#Cat_and_Dog-63,0.14608
vit-large@frgfm#imagenette-64,0.08304
vit-large@frgfm#imagenette-65,0.08282
vit-large@food101-66,0.00478
vit-large@frgfm#imagenette-67,0.08699
vit-large@frgfm#imagenette-68,0.08699
vit-large@frgfm#imagenette-69,0.08328
vit-large@frgfm#imagenette-70,0.08699
vit-large@frgfm#imagenette-71,0.0643
vit-large@frgfm#imagenette-72,0.0643
vit-large@frgfm#imagenette-73,0.06408
vit-large@Bingsu#Cat_and_Dog-74,0.12269
vit-large@imagenet-split-0-75,0.00601
vit-large@Bingsu#Cat_and_Dog-76,0.08398
vit-large@frgfm#imagenette-77,0.06866
vit-large@mnist-78,0.02053
vit-large@Bingsu#Cat_and_Dog-79,0.16498
vit-large@frgfm#imagenette-80,0.09243
vit-large@Bingsu#Cat_and_Dog-81,0.12511
vit-large@food101-82,0.09474
vit-large@imagenet-split-2-83,0.05743
vit-large@food101-84,0.09162
vit-large@food101-85,0.09956
vit-large@imagenet-split-2-86,0.00498
vit-large@frgfm#imagenette-87,0.0733
vit-large@fashion_mnist-88,0.02733
vit-large@frgfm#imagenette-89,0.14803
vit-large@frgfm#imagenette-90,0.0435
vit-large@Bingsu#Cat_and_Dog-91,0.09769
vit-large@frgfm#imagenette-92,0.08742
vit-large@frgfm#imagenette-93,0.0835
vit-large@mnist-94,0.00415
vit-large@frgfm#imagenette-95,0.06975
vit-large@Bingsu#Cat_and_Dog-96,0.11785
vit-large@frgfm#imagenette-97,0.06888
vit-large@Bingsu#Cat_and_Dog-98,0.08318
vit-large@imagenet-split-2-99,0.00828
vit-large@Bingsu#Cat_and_Dog-100,0.12753
vit-large@imagenet-split-1-101,0.03857
vit-large@frgfm#imagenette-102,0.15234
vit-large@Bingsu#Cat_and_Dog-103,0.0735
vit-large@imagenet-split-1-104,0.08503
vit-large@Bingsu#Cat_and_Dog-105,0.14769
vit-large@fashion_mnist-106,0.02966
vit-large@frgfm#imagenette-107,0.046
vit-large@fashion_mnist-108,0.02017
vit-large@imagenet-split-2-109,0.05141
vit-large@Bingsu#Cat_and_Dog-110,0.08076
vit-large@food101-111,0.13658
vit-large@Bingsu#Cat_and_Dog-112,0.1493
vit-large@food101-113,0.09357
vit-large@cifar100-114,0.02766
vit-large@frgfm#imagenette-115,0.08372
vit-large@imagenet-split-1-116,0.01672
vit-large@imagenet-split-0-117,0.1577
vit-large@imagenet-split-1-118,0.01573
vit-large@fashion_mnist-119,0.13823
vit-large@Bingsu#Cat_and_Dog-120,0.11382
vit-large@Bingsu#Cat_and_Dog-121,0.1114
vit-large@frgfm#imagenette-122,0.07958
vit-large@frgfm#imagenette-123,0.07936
vit-large@fashion_mnist-124,0.12725
vit-large@frgfm#imagenette-125,0.03489
vit-large@frgfm#imagenette-126,0.05689
vit-large@frgfm#imagenette-127,0.07479
vit-large@cifar100-128,0.01028
vit-large@food101-129,0.12597
vit-large@frgfm#imagenette-130,0.08633
vit-large@Bingsu#Cat_and_Dog-131,0.0864
vit-large@food101-132,0.00453
vit-large@Bingsu#Cat_and_Dog-133,0.11624
vit-large@food101-134,0.12428
vit-large@Bingsu#Cat_and_Dog-135,0.12753
vit-large@imagenet-split-2-136,0.09924
vit-large@Bingsu#Cat_and_Dog-137,0.07753
vit-large@cifar100-138,0.13501
vit-large@cifar100-139,0.10623
vit-large@cifar100-140,0.16298
vit-large@food101-141,0.03844
vit-large@cifar100-142,0.16282
vit-large@imagenet-split-2-143,0.02122
vit-large@Bingsu#Cat_and_Dog-144,0.14608
vit-large@fashion_mnist-145,0.14811
vit-large@imagenet-split-1-146,0.06307
vit-large@mnist-147,0.02425
vit-large@imagenet-split-1-148,0.06445
vit-large@cifar100-149,0.16055
vit-large@imagenet-split-0-150,0.05686
vit-large@imagenet-split-0-151,0.05811
vit-large@fashion_mnist-152,0.16718
vit-large@frgfm#imagenette-153,0.0582
vit-large@fashion_mnist-154,0.00688
vit-large@frgfm#imagenette-155,0.05278
vit-large@food101-156,0.08957
vit-large@frgfm#imagenette-157,0.05014
vit-large@cifar100-158,0.00784
vit-large@Bingsu#Cat_and_Dog-159,0.08479
vit-large@fashion_mnist-160,0.00299
vit-large@frgfm#imagenette-161,0.08372
vit-large@Bingsu#Cat_and_Dog-162,0.12995
vit-large@fashion_mnist-163,0.0899
vit-large@imagenet-split-1-164,0.10324
vit-large@Bingsu#Cat_and_Dog-165,0.15576
vit-large@imagenet-split-0-166,0.05544
vit-large@mnist-167,0.21652
vit-large@fashion_mnist-168,0.20099
vit-large@imagenet-split-1-169,0.04168
vit-large@mnist-170,0.16255
vit-large@fashion_mnist-171,0.21652
vit-large@imagenet-split-1-172,0.11565
vit-large@cifar100-173,0.04053
vit-large@fashion_mnist-174,0.2313
vit-large@imagenet-split-1-175,0.108
vit-large@cifar100-176,0.17244
vit-large@cifar100-177,0.17244
vit-large@imagenet-split-0-178,0.09737
vit-large@fashion_mnist-179,0.19233
vit-large@imagenet-split-0-180,0.09737
vit-large@imagenet-split-1-181,0.25804
vit-large@cifar100-182,0.17244
vit-large@imagenet-split-0-183,0.10427
vit-large@mnist-184,0.20086
vit-large@fashion_mnist-185,0.19233
vit-large@fashion_mnist-186,0.24329
vit-large@imagenet-split-1-187,0.108
vit-large@Bingsu#Cat_and_Dog-188,0.21866
vit-large@Bingsu#Cat_and_Dog-189,0.20345
vit-large@Bingsu#Cat_and_Dog-190,0.21796
vit-large@food101-191,0.18098
vit-large@cifar100-192,0.297
vit-large@frgfm#imagenette-193,0.0606
vit-large@imagenet-split-1-194,0.67309
vit-large@mnist-195,0.36944
vit-large@imagenet-split-1-196,0.23033
vit-large@cifar100-197,0.34331
vit-large@imagenet-split-0-198,0.2078
vit-large@fashion_mnist-199,0.25972
vit-large@mnist-200,0.31663
vit-large@imagenet-split-1-201,0.23048
vit-large@fashion_mnist-202,0.25972
vit-large@fashion_mnist-203,0.30049
vit-large@imagenet-split-1-204,0.44511
vit-large@imagenet-split-1-205,0.52298
vit-large@cifar100-206,0.40665
vit-large@mnist-207,0.25972
vit-large@imagenet-split-0-208,0.24978
vit-large@cifar100-209,0.40479
vit-large@imagenet-split-1-210,0.44495
vit-large@cifar100-211,0.30212
vit-large@imagenet-split-1-212,0.48698
vit-large@mnist-213,0.30036
vit-large@imagenet-split-0-214,0.20766
vit-large@fashion_mnist-215,0.25959
vit-large@mnist-216,0.30036
vit-large@mnist-217,0.25959
vit-large@cifar100-218,0.30212
vit-large@imagenet-split-1-219,0.48698
vit-large@fashion_mnist-220,0.30036
vit-large@cifar100-221,0.30212
vit-large@imagenet-split-1-222,0.46325
vit-large@imagenet-split-1-223,0.4748
vit-large@cifar100-224,0.30212
vit-large@imagenet-split-0-225,0.24964
vit-large@cifar100-226,0.38131
vit-large@cifar100-227,0.30212
vit-large@imagenet-split-1-228,0.46325
vit-large@cifar100-229,0.30212
vit-large@fashion_mnist-230,0.25959
vit-large@imagenet-split-0-231,0.2495
vit-large@fashion_mnist-232,0.30023
vit-large@imagenet-split-1-233,0.06735
vit-large@Bingsu#Cat_and_Dog-234,0.20495
vit-large@frgfm#imagenette-235,0.09545
vit-large@imagenet-split-1-236,0.40393
vit-large@mnist-237,0.03335
vit-large@cifar100-238,0.06029
vit-large@frgfm#imagenette-239,0.08176
vit-large@Bingsu#Cat_and_Dog-240,0.20092
vit-large@fashion_mnist-241,0.26215
vit-large@mnist-242,0.31652
vit-large@imagenet-split-0-243,0.24413
vit-large@cifar100-244,0.31458
vit-large@imagenet-split-2-245,0.1015
vit-large@Bingsu#Cat_and_Dog-246,0.24689
vit-large@imagenet-split-2-247,0.06237
vit-large@imagenet-split-1-248,0.29876
vit-large@imagenet-split-0-249,0.08254
vit-large@frgfm#imagenette-250,0.07762
vit-large@fashion_mnist-251,0.04769
vit-large@imagenet-split-1-252,0.04113
vit-large@cifar100-253,0.01296
vit-large@mnist-254,0.01288
vit-large@imagenet-split-1-255,0.1497
vit-large@imagenet-split-1-256,0.04921
vit-large@mnist-257,0.1614
vit-large@imagenet-split-0-258,0.13497
vit-large@frgfm#imagenette-259,0.09878
vit-large@frgfm#imagenette-260,0.08288
vit-large@cifar100-261,0.08055
vit-large@frgfm#imagenette-262,0.10924
vit-large@frgfm#imagenette-263,0.08002
vit-large@fashion_mnist-264,0.12633
vit-large@imagenet-split-1-265,0.14507
vit-large@fashion_mnist-266,0.15402
vit-large@cifar100-267,0.11641
vit-large@food101-268,0.04645
vit-large@frgfm#imagenette-269,0.06583
vit-large@imagenet-split-0-270,0.05979
vit-large@cifar100-271,0.02935
vit-large@cifar100-272,0.13677
vit-large@frgfm#imagenette-273,0.07127
vit-large@Bingsu#Cat_and_Dog-274,0.1493
vit-large@fashion_mnist-275,0.00526
vit-large@Bingsu#Cat_and_Dog-276,0.12269
vit-large@mnist-277,0.03262
vit-large@frgfm#imagenette-278,0.06299
vit-large@fashion_mnist-279,0.02266
vit-large@Bingsu#Cat_and_Dog-280,0.19135
vit-large@imagenet-split-0-281,0.0673
vit-large@fashion_mnist-282,0.12926
vit-large@food101-283,0.09829
vit-large@imagenet-split-0-284,0.02414
vit-large@imagenet-split-1-285,0.01708
vit-large@Bingsu#Cat_and_Dog-286,0.14043
vit-large@Bingsu#Cat_and_Dog-287,0.08963
vit-large@imagenet-split-0-288,0.07092
vit-large@cifar100-289,0.01801
vit-large@Bingsu#Cat_and_Dog-290,0.09043
vit-large@Bingsu#Cat_and_Dog-291,0.09366
vit-large@fashion_mnist-292,0.04182
vit-large@mnist-293,0.25339
vit-large@cifar100-294,0.2573
vit-large@fashion_mnist-295,0.21625
