name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@stsb-0,45,75,186.39900946617126,231.39900946617126,1,12942.0,4
roberta-base@sst2-1,786,54,283.39900946617126,1069.3990094661713,1,168380,32
roberta-base@qnli-2,1280,40,363.39900946617126,1643.3990094661713,1,261860,32
roberta-base@sst2-3,1987,53,282.39900946617126,2269.3990094661713,1,168380,32
roberta-base@qnli-4,2634,6,577.5960378646851,3211.596037864685,4,261860,1
roberta-base@qnli-5,2660,100,684.5960378646851,3344.596037864685,4,261860,1
roberta-base@sst2-6,3002,118,477.1970283985138,3479.197028398514,3,168380,16
roberta-base@stsb-7,3459,21,132.39900946617126,3591.3990094661713,1,12942.0,4
roberta-base@stsb-8,4072,8,119.39900946617126,4191.399009466171,1,12942.0,4
roberta-base@qnli-9,4853,67,415.39900946617126,5268.399009466171,1,261860,16
roberta-base@snli-10,4906,14,3086.5910851955414,7992.591085195541,9,1373440,4
roberta-base@snli-11,6003,117,3468.389104127884,9471.389104127884,11,1373440,3
roberta-base@snli-12,6111,9,3248.389104127884,9359.389104127884,11,1373440,8
roberta-base@qnli-13,7246,74,693.7980189323425,7939.7980189323425,2,261860,1
roberta-base@sst2-14,7328,112,450.39900946617126,7778.399009466171,1,168380,8
roberta-base@mrpc-15,7516,44,156.39900946617126,7672.399009466171,1,9170,2
roberta-base@qnli-16,7774,26,717.5960378646851,8491.596037864685,4,261860,1
roberta-base@stsb-17,8067,93,204.39900946617126,8271.399009466171,1,12942.0,4
roberta-base@sst2-18,8267,13,360.79801893234253,8627.798018932343,2,168380,8
roberta-base@mrpc-19,8364,36,148.39900946617126,8512.399009466171,1,9170,2
roberta-base@mrpc-20,8718,42,154.39900946617126,8872.399009466171,1,9170,2
roberta-base@qnli-21,8748,12,799.9950473308563,9547.995047330856,5,261860,3
roberta-base@qnli-22,8768,112,731.7980189323425,9499.798018932343,2,261860,1
roberta-base@mrpc-23,9147,93,205.39900946617126,9352.399009466171,1,9170,2
roberta-base@mrpc-24,9538,62,174.39900946617126,9712.399009466171,1,9170,2
roberta-base@stsb-25,9538,62,173.39900946617126,9711.399009466171,1,12942.0,4
roberta-base@stsb-26,9538,62,173.39900946617126,9711.399009466171,1,12942.0,4
roberta-base@mrpc-27,9539,61,173.39900946617126,9712.399009466171,1,9170,2
roberta-base@sst2-28,9612,108,578.5960378646851,10190.596037864685,4,168380,1
roberta-base@stsb-29,9707,13,124.39900946617126,9831.399009466171,1,12942.0,4
roberta-base@mrpc-30,10052,28,122.39900946617126,10174.399009466171,1,9170,3
roberta-base@stsb-31,10462,98,209.39900946617126,10671.399009466171,1,12942.0,4
roberta-base@snli-32,10617,63,3158.1871230602264,13775.187123060226,13,1373440,8
