name,finish_time_fairness
roberta-base@stsb-0,0.16297
roberta-base@sst2-1,0.05322
roberta-base@qnli-2,0.02503
roberta-base@sst2-3,0.05303
roberta-base@qnli-4,0.1055
roberta-base@qnli-5,0.08268
roberta-base@sst2-6,0.24147
roberta-base@stsb-7,0.11576
roberta-base@stsb-8,0.10439
roberta-base@qnli-9,0.13538
roberta-base@snli-10,0.00718
roberta-base@snli-11,0.23952
roberta-base@snli-12,0.05093
roberta-base@qnli-13,0.11138
roberta-base@sst2-14,0.12791
roberta-base@mrpc-15,0.30666
roberta-base@qnli-16,0.03428
roberta-base@stsb-17,0.17871
roberta-base@sst2-18,0.03864
roberta-base@mrpc-19,0.29098
roberta-base@mrpc-20,0.22823
roberta-base@qnli-21,0.01406
roberta-base@qnli-22,0.04835
roberta-base@mrpc-23,0.40274
roberta-base@mrpc-24,0.34
roberta-base@stsb-25,0.15073
roberta-base@stsb-26,0.15161
roberta-base@mrpc-27,0.33804
roberta-base@sst2-28,0.01172
roberta-base@stsb-29,0.09565
roberta-base@mrpc-30,0.27529
roberta-base@stsb-31,0.18308
roberta-base@snli-32,0.15983
roberta-base@snli-33,0.14671
roberta-base@mrpc-34,0.6871
roberta-base@mrpc-35,0.2949
roberta-base@stsb-36,0.1315
roberta-base@mrpc-37,0.22627
roberta-base@snli-38,0.00622
roberta-base@sst2-39,0.30695
roberta-base@stsb-40,0.17784
roberta-base@mrpc-41,0.31255
roberta-base@sst2-42,0.04527
roberta-base@mrpc-43,0.23804
roberta-base@snli-44,0.17521
roberta-base@qnli-45,0.04515
roberta-base@snli-46,0.03531
roberta-base@sst2-47,0.03778
roberta-base@qnli-48,0.17055
roberta-base@sst2-49,0.03918
roberta-base@mrpc-50,0.31843
roberta-base@mrpc-51,0.27333
roberta-base@stsb-52,0.08778
roberta-base@sst2-53,0.01885
roberta-base@snli-54,0.05457
roberta-base@mrpc-55,0.32431
roberta-base@qnli-56,0.05488
roberta-base@mrpc-57,0.23019
roberta-base@qnli-58,0.21496
roberta-base@snli-59,0.0114
roberta-base@sst2-60,0.20311
roberta-base@stsb-61,0.17958
roberta-base@sst2-62,0.10393
roberta-base@sst2-63,0.32465
roberta-base@snli-64,0.18217
roberta-base@stsb-65,0.15423
roberta-base@qnli-66,0.01215
roberta-base@sst2-67,0.18388
roberta-base@sst2-68,0.18388
roberta-base@sst2-69,0.19755
roberta-base@qnli-70,0.11832
roberta-base@qnli-71,0.11832
roberta-base@stsb-72,0.15773
roberta-base@qnli-73,0.13297
roberta-base@mrpc-74,0.30863
roberta-base@qnli-75,0.24882
roberta-base@sst2-76,0.45217
roberta-base@sst2-77,0.3872
roberta-base@qnli-78,0.24882
roberta-base@sst2-79,0.54487
roberta-base@sst2-80,0.38669
roberta-base@qnli-81,0.24915
roberta-base@sst2-82,0.43446
roberta-base@sst2-83,0.41887
roberta-base@sst2-84,0.38669
roberta-base@sst2-85,0.38669
roberta-base@sst2-86,0.41887
roberta-base@qnli-87,0.24882
roberta-base@sst2-88,0.2777
roberta-base@sst2-89,0.29024
roberta-base@qnli-90,0.18676
roberta-base@qnli-91,0.1206
roberta-base@qnli-92,0.17003
roberta-base@qnli-93,0.03718
roberta-base@qnli-94,0.04
roberta-base@qnli-95,0.03284
roberta-base@mrpc-96,0.28902
roberta-base@sst2-97,0.2948
roberta-base@sst2-98,0.28569
roberta-base@sst2-99,0.05907
roberta-base@mrpc-100,0.4047
roberta-base@stsb-101,0.15073
roberta-base@mrpc-102,0.33804
roberta-base@stsb-103,0.14636
roberta-base@qnli-104,0.0392
roberta-base@qnli-105,0.0677
roberta-base@qnli-106,0.22434
roberta-base@sst2-107,0.09837
roberta-base@mrpc-108,0.38117
roberta-base@sst2-109,0.2442
roberta-base@qnli-110,0.04326
roberta-base@sst2-111,0.35248
roberta-base@qnli-112,0.24049
roberta-base@qnli-113,0.22681
roberta-base@sst2-114,0.37374
roberta-base@sst2-115,0.35198
roberta-base@qnli-116,0.24016
roberta-base@qnli-117,0.22649
roberta-base@sst2-118,0.37323
roberta-base@sst2-119,0.14138
