name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,1280,40,516.3455929756165,1796.3455929756165,1,235674.0,32
roberta-large@sst2-1,1987,53,281.6911859512329,2268.691185951233,2,84190.0,24
roberta-large@qnli-2,2634,6,482.34559297561646,3116.3455929756165,1,235674.0,32
roberta-large@snli-3,4906,14,1401.691185951233,6307.691185951233,2,824064.0,8
roberta-large@snli-4,6003,117,2153.0367789268494,8156.036778926849,3,824064.0,16
roberta-large@snli-5,6111,9,2156.7279648780823,8267.727964878082,5,824064.0,24
roberta-large@mrpc-6,7516,44,136.34559297561646,7652.3455929756165,1,9170,8
roberta-large@mrpc-7,8364,36,128.34559297561646,8492.345592975616,1,9170,8
roberta-large@qnli-8,8748,12,834.7279648780823,9582.727964878082,5,235674.0,12
roberta-large@qnli-9,8768,112,951.7279648780823,9719.727964878082,5,235674.0,12
roberta-large@mrpc-10,9147,93,185.34559297561646,9332.345592975616,1,9170,8
roberta-large@mrpc-11,9538,62,154.34559297561646,9692.345592975616,1,9170,8
roberta-large@stsb-12,9538,62,300.6911859512329,9838.691185951233,2,12942.0,2
roberta-large@mrpc-13,9539,61,153.34559297561646,9692.345592975616,1,9170,8
roberta-large@mrpc-14,10052,28,120.34559297561646,10172.345592975616,1,9170,8
roberta-large@stsb-15,10462,98,202.34559297561646,10664.345592975616,1,12942.0,8
roberta-large@sst2-16,10617,63,302.34559297561646,10919.345592975616,1,84190.0,16
roberta-large@qnli-17,10618,62,637.6911859512329,11255.691185951233,2,235674.0,32
roberta-large@mrpc-18,11696,64,156.34559297561646,11852.345592975616,1,9170,8
roberta-large@stsb-19,11714,46,150.34559297561646,11864.345592975616,1,12942.0,8
roberta-large@sst2-20,12456,24,252.6911859512329,12708.691185951233,2,84190.0,24
roberta-large@sst2-21,13470,90,318.6911859512329,13788.691185951233,2,84190.0,24
roberta-large@snli-22,14031,9,2481.4559297561646,16512.455929756165,10,824064.0,1
roberta-large@snli-23,14109,51,2201.0367789268494,16310.03677892685,3,824064.0,16
roberta-large@sst2-24,14275,5,481.03677892684937,14756.03677892685,3,84190.0,4
roberta-large@mrpc-25,16030,50,142.34559297561646,16172.345592975616,1,9170,8
roberta-large@stsb-26,17132,28,132.34559297561646,17264.345592975616,1,12942.0,8
roberta-large@sst2-27,19137,63,645.3823719024658,19782.382371902466,4,84190.0,1
roberta-large@sst2-28,19137,63,562.0367789268494,19699.03677892685,3,84190.0,3
roberta-large@sst2-29,19247,73,312.34559297561646,19559.345592975616,1,84190.0,16
roberta-large@qnli-30,20006,34,510.34559297561646,20516.345592975616,1,235674.0,32
roberta-large@stsb-31,21258,102,206.34559297561646,21464.345592975616,1,12942.0,8
roberta-large@sst2-32,21548,52,291.34559297561646,21839.345592975616,1,84190.0,16
roberta-large@qnli-33,21548,52,732.3823719024658,22280.382371902466,4,235674.0,32
roberta-large@stsb-34,21891,69,173.34559297561646,22064.345592975616,1,12942.0,8
roberta-large@qnli-35,22260,60,1822.801522731781,24082.80152273178,11,235674.0,1
roberta-large@mrpc-36,22395,45,137.34559297561646,22532.345592975616,1,9170,8
roberta-large@qnli-37,22654,26,1703.0735578536987,24357.0735578537,6,235674.0,8
roberta-large@sst2-38,22654,26,963.3823719024658,23617.382371902466,4,84190.0,1
roberta-large@sst2-39,22655,25,855.6911859512329,23510.691185951233,2,84190.0,1
roberta-large@sst2-40,22655,25,855.6911859512329,23510.691185951233,2,84190.0,1
roberta-large@qnli-41,22655,145,1815.7647438049316,24470.76474380493,8,235674.0,8
roberta-large@sst2-42,22655,25,855.6911859512329,23510.691185951233,2,84190.0,1
roberta-large@sst2-43,22655,25,855.6911859512329,23510.691185951233,2,84190.0,1
roberta-large@sst2-44,23166,114,733.0367789268494,23899.03677892685,3,84190.0,1
roberta-large@sst2-45,23298,102,721.0367789268494,24019.03677892685,3,84190.0,1
roberta-large@qnli-46,23833,47,864.3823719024658,24697.382371902466,4,235674.0,32
roberta-large@qnli-47,24715,5,481.34559297561646,25196.345592975616,1,235674.0,32
roberta-large@sst2-48,25326,114,449.03677892684937,25775.03677892685,3,84190.0,3
roberta-large@sst2-49,25475,85,556.3823719024658,26031.382371902466,4,84190.0,1
roberta-large@mrpc-50,25946,94,186.34559297561646,26132.345592975616,1,9170,8
roberta-large@mrpc-51,26099,61,153.34559297561646,26252.345592975616,1,9170,8
roberta-large@stsb-52,26344,56,160.34559297561646,26504.345592975616,1,12942.0,8
roberta-large@qnli-53,26539,101,853.0367789268494,27392.03677892685,3,235674.0,1
roberta-large@qnli-54,26857,23,836.0367789268494,27693.03677892685,3,235674.0,1
roberta-large@qnli-55,27150,90,805.3823719024658,27955.382371902466,4,235674.0,32
roberta-large@mrpc-56,27157,83,348.6911859512329,27505.691185951233,2,9170,1
roberta-large@sst2-57,28092,108,682.0367789268494,28774.03677892685,3,84190.0,2
roberta-large@qnli-58,28092,108,783.0367789268494,28875.03677892685,3,235674.0,28
roberta-large@sst2-59,28093,107,726.0367789268494,28819.03677892685,3,84190.0,1
