name,finish_time_fairness
roberta-large@qnli-0,0.03166
roberta-large@qnli-1,0.05883
roberta-large@qnli-2,0.08929
roberta-large@snli-3,0.1428
roberta-large@snli-4,0.21935
roberta-large@mnli-5,0.21823
roberta-large@stsb-6,0.17275
roberta-large@rte-7,0.22211
roberta-large@qnli-8,0.10066
roberta-large@qnli-9,0.04929
roberta-large@stsb-10,0.38625
roberta-large@mrpc-11,0.2201
roberta-large@mrpc-12,0.2201
roberta-large@rte-13,0.26313
roberta-large@rte-14,0.20898
roberta-large@mrpc-15,0.27144
roberta-large@qnli-16,0.08387
roberta-large@qnli-17,0.08376
roberta-large@stsb-18,0.19604
roberta-large@rte-19,0.23852
roberta-large@qnli-20,0.24617
roberta-large@qnli-21,0.10484
roberta-large@mnli-22,0.28013
roberta-large@mnli-23,0.24495
roberta-large@qnli-24,0.05017
roberta-large@rte-25,0.24508
roberta-large@mrpc-26,0.17162
roberta-large@qnli-27,0.34038
roberta-large@qnli-28,0.31333
roberta-large@qnli-29,0.32135
roberta-large@qnli-30,0.08295
roberta-large@stsb-31,0.24029
roberta-large@qnli-32,0.20309
roberta-large@qnli-33,0.24133
roberta-large@rte-34,0.27626
roberta-large@qnli-35,0.99523
roberta-large@mrpc-36,0.19586
roberta-large@qnli-37,0.81645
roberta-large@qnli-38,0.68809
roberta-large@qnli-39,0.71377
roberta-large@qnli-40,0.87426
roberta-large@qnli-41,0.71377
roberta-large@qnli-42,0.85905
roberta-large@qnli-43,0.84485
roberta-large@qnli-44,0.88182
roberta-large@qnli-45,0.95955
roberta-large@qnli-46,0.92987
roberta-large@qnli-47,0.12298
roberta-large@qnli-48,0.63943
roberta-large@qnli-49,0.60655
roberta-large@mrpc-50,0.4017
roberta-large@rte-51,0.28446
roberta-large@mrpc-52,0.34751
roberta-large@qnli-53,0.08643
roberta-large@qnli-54,0.13578
roberta-large@qnli-55,0.32544
roberta-large@mrpc-56,0.38601
roberta-large@qnli-57,0.28985
roberta-large@qnli-58,0.38126
roberta-large@qnli-59,0.35366
