name,finish_time_fairness
vit@frgfm#imagenette-0,0.04753
vit@imagenet-split-1-1,0.03706
vit@frgfm#imagenette-2,0.04737
vit@food101-3,0.06229
vit@imagenet-split-1-4,0.01659
vit@Bingsu#Cat_and_Dog-5,0.07408
vit@imagenet-split-1-6,0.08271
vit@frgfm#imagenette-7,0.04395
vit@food101-8,0.04215
vit@imagenet-split-1-9,0.07856
vit@food101-10,0.04738
vit@imagenet-split-1-11,0.03372
vit@imagenet-split-1-12,0.02504
vit@imagenet-split-1-13,0.10146
vit@imagenet-split-1-14,0.09642
vit@imagenet-split-1-15,0.05292
vit@imagenet-split-1-16,0.04382
vit@frgfm#imagenette-17,0.03875
vit@Bingsu#Cat_and_Dog-18,0.07016
vit@frgfm#imagenette-19,0.03989
vit@Bingsu#Cat_and_Dog-20,0.05486
vit@frgfm#imagenette-21,0.04265
vit@imagenet-split-1-22,0.08006
vit@imagenet-split-1-23,0.08006
vit@imagenet-split-2-24,0.04167
vit@imagenet-split-2-25,0.04167
vit@imagenet-split-1-26,0.08046
vit@food101-27,0.04779
vit@imagenet-split-2-28,0.04193
vit@imagenet-split-1-29,0.01992
vit@imagenet-split-1-30,0.06869
vit@frgfm#imagenette-31,0.03729
vit@imagenet-split-1-32,0.02168
vit@imagenet-split-1-33,0.02431
vit@Bingsu#Cat_and_Dog-34,0.03564
vit@imagenet-split-1-35,0.07703
vit@imagenet-split-1-36,0.07808
vit@imagenet-split-1-37,0.08042
vit@imagenet-split-1-38,0.09141
vit@imagenet-split-1-39,0.08294
vit@Bingsu#Cat_and_Dog-40,0.29976
vit@imagenet-split-1-41,0.08088
vit@imagenet-split-1-42,0.12299
vit@imagenet-split-1-43,0.0415
vit@imagenet-split-1-44,0.12391
vit@Bingsu#Cat_and_Dog-45,0.14567
vit@imagenet-split-1-46,0.10861
vit@imagenet-split-1-47,0.04097
vit@imagenet-split-1-48,0.13218
vit@frgfm#imagenette-49,0.05222
vit@imagenet-split-1-50,0.1073
vit@imagenet-split-1-51,0.0461
vit@imagenet-split-1-52,0.04164
vit@imagenet-split-1-53,0.04749
vit@imagenet-split-1-54,0.04145
vit@Bingsu#Cat_and_Dog-55,0.08339
vit@imagenet-split-1-56,0.04159
vit@Bingsu#Cat_and_Dog-57,0.08552
vit@imagenet-split-1-58,0.05299
vit@food101-59,0.05455
vit@imagenet-split-1-60,0.0409
vit@frgfm#imagenette-61,0.04669
vit@frgfm#imagenette-62,0.0519
vit@frgfm#imagenette-63,0.05173
vit@Bingsu#Cat_and_Dog-64,0.10403
vit@Bingsu#Cat_and_Dog-65,0.10367
vit@imagenet-split-2-66,0.04768
vit@Bingsu#Cat_and_Dog-67,0.09264
vit@frgfm#imagenette-68,0.04718
vit@frgfm#imagenette-69,0.04718
vit@frgfm#imagenette-70,0.04718
vit@Bingsu#Cat_and_Dog-71,0.09264
vit@frgfm#imagenette-72,0.04718
vit@Bingsu#Cat_and_Dog-73,0.09229
vit@Bingsu#Cat_and_Dog-74,0.09229
vit@imagenet-split-1-75,0.02211
vit@frgfm#imagenette-76,0.04022
vit@Bingsu#Cat_and_Dog-77,0.04205
vit@imagenet-split-1-78,0.12333
vit@frgfm#imagenette-79,0.06722
vit@frgfm#imagenette-80,0.05127
vit@frgfm#imagenette-81,0.05078
vit@food101-82,0.04891
vit@food101-83,0.04891
vit@imagenet-split-2-84,0.04556
vit@food101-85,0.04899
