full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,4,0,2,0
32,8,0,1,0
32,29,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,24,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,1
32,4,0,2,1
32,0,0,3,0
32,4,0,2,1
32,0,0,3,1
32,3,0,4,0
32,1,0,3,1
32,0,0,3,0
32,16,0,3,1
32,20,0,3,1
32,16,0,4,0
32,18,0,4,1
32,0,0,4,1
32,0,0,5,0
32,0,0,5,0
32,0,0,5,3
32,0,0,8,0
32,0,0,7,1
32,0,0,6,1
32,0,0,7,0
32,0,0,6,0
32,2,1,5,0
32,20,0,4,1
32,20,0,3,1
32,17,0,4,0
32,27,0,2,2
32,24,0,2,0
32,20,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,4
32,0,0,4,0
32,0,0,4,1
32,0,0,4,0
32,0,0,4,0
32,24,0,2,0
32,24,0,2,0
32,24,0,2,0
32,24,0,2,0
32,24,0,2,0
32,24,0,2,2
32,16,0,4,0
32,16,0,4,0
32,16,0,4,2
32,0,0,6,0
32,0,0,6,0
32,0,0,4,1
32,0,0,5,1
32,1,0,6,1
32,0,0,5,1
32,0,0,6,2
32,1,0,8,2
32,3,1,8,2
32,5,2,9,1
32,0,0,8,2
32,3,1,8,1
32,4,2,8,2
32,8,4,8,3
32,2,1,14,5
32,0,0,17,2
32,0,0,17,0
32,6,2,13,0
32,9,3,9,2
32,6,2,8,3
32,8,4,8,2
32,6,3,10,1
32,5,2,11,1
32,3,1,10,0
32,0,0,9,0
32,4,0,6,9
32,4,2,12,2
32,2,1,14,0
32,0,0,7,0
32,7,0,6,1
32,12,0,5,0
32,13,0,5,0
32,19,0,4,2
32,0,0,4,1
32,0,0,4,6
32,3,1,8,0
32,3,1,8,2
32,6,2,8,0
32,3,1,9,0
32,0,0,8,1
32,0,0,8,2
32,0,0,8,0
32,5,0,7,0
32,11,0,6,2
32,4,0,7,0
32,6,0,7,0
32,12,0,5,6
32,7,3,8,0
32,6,2,8,0
32,0,0,8,2
32,3,1,8,0
32,0,0,8,1
32,0,0,5,1
32,0,0,4,0
32,0,0,3,1
32,3,0,4,1
32,0,0,3,1
32,1,0,4,0
32,0,0,3,2
32,0,0,5,1
32,1,0,5,0
32,20,0,3,1
32,16,0,4,1
32,15,0,5,2
32,12,0,5,1
32,12,0,5,1
32,8,0,6,0
32,12,0,5,0
32,16,0,4,0
32,16,0,4,0
32,16,0,4,0
32,16,0,4,1
32,0,0,5,1
32,0,0,6,1
32,2,1,5,0
32,1,0,6,1
32,3,0,5,0
32,0,0,3,0
32,24,0,2,0
32,32,0,0,2
32,24,0,2,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,24,0,2,0
32,32,0,0,1
32,8,0,1,4
32,0,0,5,1
32,17,0,4,0
32,24,0,2,0
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,20,0,3,0
32,24,0,2,0
32,24,0,2,2
32,20,0,3,1
32,17,0,4,1
32,16,0,4,0
32,20,0,3,1
32,16,0,4,1
32,12,0,5,0
32,18,0,4,0
32,20,0,3,6
32,3,1,8,9
32,0,0,18,0
32,0,0,18,1
32,0,0,18,0
32,0,0,17,2
32,0,0,16,0
32,3,1,15,1
32,0,0,16,2
32,0,0,18,0
32,0,0,18,2
32,0,0,18,1
32,0,0,18,0
32,6,2,13,0
32,6,2,9,0
32,2,1,8,0
32,1,0,9,1
32,0,0,7,2
32,0,0,7,2
32,2,1,7,0
32,0,0,6,21
32,0,0,25,1
32,0,0,26,1
32,0,0,27,1
32,0,0,28,0
32,4,2,20,1
32,4,2,19,1
32,2,1,20,1
32,0,0,22,0
32,0,0,21,39
32,0,27,32,0
32,0,27,32,3
32,0,29,32,0
32,0,29,32,0
32,0,28,32,5
32,0,31,32,4
32,0,35,32,1
32,0,36,32,1
32,0,20,32,0
32,0,16,32,2
32,0,17,32,0
32,0,15,32,1
32,0,8,32,0
32,0,8,32,2
32,0,10,32,0
32,0,10,32,2
32,0,12,32,3
32,0,13,32,2
32,0,15,32,2
32,0,17,32,2
32,0,19,32,1
32,0,20,32,0
32,0,18,32,2
32,0,19,32,1
32,0,18,32,3
32,0,20,32,1
32,0,21,32,2
32,0,23,32,1
32,0,20,32,3
32,0,7,32,1
32,0,4,32,1
32,0,0,32,2
32,0,0,31,1
32,2,1,29,0
32,4,2,27,2
32,0,0,29,0
32,0,0,29,0
32,0,0,29,4
32,0,1,32,0
32,0,0,32,0
32,0,0,32,3
32,0,0,32,1
32,0,1,32,0
32,0,1,32,1
32,0,1,32,0
32,0,0,32,23
32,0,23,32,0
32,0,23,32,1
32,0,15,32,1
32,0,9,32,2
32,0,6,32,0
32,0,5,32,0
32,0,5,32,0
32,0,4,32,0
32,0,0,30,0
32,0,0,30,0
32,2,1,28,0
32,2,1,27,0
32,0,0,28,0
32,2,1,25,0
32,2,1,25,0
32,4,2,23,0
32,0,0,25,0
32,0,0,25,0
32,2,1,23,0
32,0,0,22,0
32,2,1,18,0
32,3,1,14,0
32,0,0,7,0
32,20,0,3,0
32,20,0,3,0
32,24,0,2,0
32,27,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,20,0,1,0
