name,finish_time_fairness
vit@Bingsu#Cat_and_Dog-0,0.04668
vit@imagenet-split-0-1,0.02721
vit@Bingsu#Cat_and_Dog-2,0.05842
vit@imagenet-split-2-3,0.06291
vit@imagenet-split-1-4,0.01659
vit@Bingsu#Cat_and_Dog-5,0.07408
vit@imagenet-split-1-6,0.08271
vit@frgfm#imagenette-7,0.04395
vit@imagenet-split-2-8,0.04259
vit@mnist-9,0.0632
vit@imagenet-split-2-10,0.04379
vit@imagenet-split-1-11,0.0439
vit@imagenet-split-1-12,0.02504
vit@imagenet-split-1-13,0.08769
vit@mnist-14,0.03312
vit@imagenet-split-1-15,0.04336
vit@imagenet-split-1-16,0.04475
vit@Bingsu#Cat_and_Dog-17,0.03956
vit@frgfm#imagenette-18,0.05274
vit@frgfm#imagenette-19,0.03989
vit@Bingsu#Cat_and_Dog-20,0.05486
vit@frgfm#imagenette-21,0.02507
vit@imagenet-split-0-22,0.09217
vit@imagenet-split-1-23,0.06327
vit@imagenet-split-2-24,0.04167
vit@imagenet-split-2-25,0.04167
vit@imagenet-split-0-26,0.09065
vit@imagenet-split-2-27,0.04409
vit@imagenet-split-2-28,0.04155
vit@mnist-29,0.0115
vit@imagenet-split-1-30,0.06221
vit@frgfm#imagenette-31,0.03729
vit@imagenet-split-1-32,0.01837
vit@mnist-33,0.0259
vit@frgfm#imagenette-34,0.03696
vit@imagenet-split-0-35,0.08558
vit@imagenet-split-0-36,0.07576
vit@imagenet-split-1-37,0.03549
vit@mnist-38,0.02735
vit@imagenet-split-1-39,0.01001
vit@Bingsu#Cat_and_Dog-40,0.04703
vit@imagenet-split-1-41,0.04313
vit@imagenet-split-1-42,0.04703
vit@mnist-43,0.01434
vit@imagenet-split-1-44,0.0504
vit@Bingsu#Cat_and_Dog-45,0.06411
vit@imagenet-split-0-46,0.03738
vit@imagenet-split-1-47,0.00775
vit@imagenet-split-0-48,0.07704
vit@Bingsu#Cat_and_Dog-49,0.10261
vit@imagenet-split-0-50,0.08344
vit@imagenet-split-0-51,0.01972
vit@mnist-52,0.01372
vit@imagenet-split-1-53,0.01595
vit@imagenet-split-0-54,0.01839
vit@Bingsu#Cat_and_Dog-55,0.0449
vit@mnist-56,0.02431
vit@frgfm#imagenette-57,0.04217
vit@mnist-58,0.04127
vit@imagenet-split-2-59,0.02452
vit@mnist-60,0.02409
vit@frgfm#imagenette-61,0.04493
vit@frgfm#imagenette-62,0.02929
vit@Bingsu#Cat_and_Dog-63,0.06411
vit@Bingsu#Cat_and_Dog-64,0.06554
vit@frgfm#imagenette-65,0.05046
vit@imagenet-split-2-66,0.00636
vit@frgfm#imagenette-67,0.02474
vit@frgfm#imagenette-68,0.02474
vit@frgfm#imagenette-69,0.02474
vit@Bingsu#Cat_and_Dog-70,0.05415
vit@Bingsu#Cat_and_Dog-71,0.05415
vit@Bingsu#Cat_and_Dog-72,0.05415
vit@frgfm#imagenette-73,0.04526
vit@frgfm#imagenette-74,0.04395
vit@imagenet-split-0-75,0.00787
vit@frgfm#imagenette-76,0.02116
vit@frgfm#imagenette-77,0.04314
vit@imagenet-split-1-78,0.01951
vit@Bingsu#Cat_and_Dog-79,0.07047
vit@Bingsu#Cat_and_Dog-80,0.06696
vit@frgfm#imagenette-81,0.05046
vit@imagenet-split-2-82,0.04353
vit@imagenet-split-2-83,0.04353
vit@imagenet-split-2-84,0.04351
vit@imagenet-split-2-85,0.04351
vit@imagenet-split-2-86,0.04529
vit@frgfm#imagenette-87,0.04949
vit@imagenet-split-0-88,0.05429
vit@Bingsu#Cat_and_Dog-89,0.10874
vit@frgfm#imagenette-90,0.03319
vit@Bingsu#Cat_and_Dog-91,0.04276
vit@frgfm#imagenette-92,0.04574
vit@frgfm#imagenette-93,0.04282
vit@imagenet-split-1-94,0.02189
vit@frgfm#imagenette-95,0.04981
vit@Bingsu#Cat_and_Dog-96,0.06198
vit@Bingsu#Cat_and_Dog-97,0.06732
vit@Bingsu#Cat_and_Dog-98,0.04668
vit@imagenet-split-2-99,0.02828
vit@Bingsu#Cat_and_Dog-100,0.057
vit@imagenet-split-1-101,0.02738
vit@Bingsu#Cat_and_Dog-102,0.10936
vit@Bingsu#Cat_and_Dog-103,0.03209
vit@imagenet-split-1-104,0.07844
vit@frgfm#imagenette-105,0.0503
vit@imagenet-split-1-106,0.01823
vit@frgfm#imagenette-107,0.0503
vit@mnist-108,0.06603
vit@imagenet-split-2-109,0.04574
vit@frgfm#imagenette-110,0.0368
vit@imagenet-split-2-111,0.06239
vit@Bingsu#Cat_and_Dog-112,0.06554
vit@imagenet-split-2-113,0.04325
vit@mnist-114,0.02417
vit@Bingsu#Cat_and_Dog-115,0.04881
vit@imagenet-split-1-116,0.01668
vit@imagenet-split-0-117,0.10646
vit@imagenet-split-0-118,0.01779
vit@imagenet-split-0-119,0.13227
vit@Bingsu#Cat_and_Dog-120,0.04988
vit@Bingsu#Cat_and_Dog-121,0.04881
vit@Bingsu#Cat_and_Dog-122,0.04205
vit@Bingsu#Cat_and_Dog-123,0.04169
vit@imagenet-split-0-124,0.10287
vit@Bingsu#Cat_and_Dog-125,0.04668
vit@frgfm#imagenette-126,0.03989
vit@Bingsu#Cat_and_Dog-127,0.03422
vit@mnist-128,0.04084
vit@imagenet-split-2-129,0.06162
vit@Bingsu#Cat_and_Dog-130,0.05308
vit@Bingsu#Cat_and_Dog-131,0.03778
vit@imagenet-split-2-132,0.00617
vit@frgfm#imagenette-133,0.04265
vit@imagenet-split-2-134,0.07328
vit@Bingsu#Cat_and_Dog-135,0.05593
vit@imagenet-split-2-136,0.08556
vit@Bingsu#Cat_and_Dog-137,0.03387
vit@imagenet-split-0-138,0.12222
vit@mnist-139,0.05668
vit@imagenet-split-1-140,0.10694
vit@imagenet-split-2-141,0.03396
vit@mnist-142,0.05663
vit@imagenet-split-2-143,0.02303
vit@Bingsu#Cat_and_Dog-144,0.07088
vit@mnist-145,0.07335
vit@imagenet-split-1-146,0.12317
vit@mnist-147,0.05702
vit@imagenet-split-1-148,0.12304
vit@imagenet-split-0-149,0.1459
vit@imagenet-split-0-150,0.1459
vit@mnist-151,0.01153
vit@mnist-152,0.05696
vit@frgfm#imagenette-153,0.03661
vit@imagenet-split-1-154,0.00479
vit@Bingsu#Cat_and_Dog-155,0.12959
vit@imagenet-split-2-156,0.01431
vit@Bingsu#Cat_and_Dog-157,0.0634
vit@imagenet-split-1-158,0.01636
vit@Bingsu#Cat_and_Dog-159,0.04846
vit@mnist-160,0.02496
vit@Bingsu#Cat_and_Dog-161,0.04881
vit@Bingsu#Cat_and_Dog-162,0.057
vit@imagenet-split-0-163,0.09919
