name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.06713
vit-large@imagenet-split-1-1,0.04199
vit-large@food101-2,0.07957
vit-large@imagenet-split-1-3,0.01648
vit-large@imagenet-split-1-4,0.03767
vit-large@imagenet-split-1-5,0.12601
vit-large@imagenet-split-1-6,0.08064
vit-large@imagenet-split-1-7,0.0621
vit-large@imagenet-split-1-8,0.12722
vit-large@frgfm#imagenette-9,0.05537
vit-large@Bingsu#Cat_and_Dog-10,0.15979
vit-large@frgfm#imagenette-11,0.0643
vit-large@imagenet-split-1-12,0.11167
vit-large@imagenet-split-2-13,0.05344
vit-large@imagenet-split-1-14,0.1109
vit-large@food101-15,0.12598
vit-large@imagenet-split-2-16,0.04942
vit-large@imagenet-split-1-17,0.19723
vit-large@imagenet-split-1-18,0.12153
vit-large@imagenet-split-1-19,0.19117
vit-large@imagenet-split-1-20,0.16214
vit-large@imagenet-split-1-21,0.12143
vit-large@imagenet-split-1-22,0.0499
vit-large@imagenet-split-1-23,0.13859
vit-large@imagenet-split-1-24,0.16497
vit-large@imagenet-split-1-25,0.08095
vit-large@frgfm#imagenette-26,0.09265
vit-large@imagenet-split-1-27,0.07292
vit-large@Bingsu#Cat_and_Dog-28,0.19135
vit-large@imagenet-split-1-29,0.05807
vit-large@imagenet-split-1-30,0.0996
vit-large@imagenet-split-1-31,0.0517
vit-large@Bingsu#Cat_and_Dog-32,0.23813
vit-large@Bingsu#Cat_and_Dog-33,0.23732
vit-large@imagenet-split-2-34,0.17967
vit-large@Bingsu#Cat_and_Dog-35,0.21232
vit-large@frgfm#imagenette-36,0.0859
vit-large@frgfm#imagenette-37,0.0859
vit-large@frgfm#imagenette-38,0.0859
vit-large@Bingsu#Cat_and_Dog-39,0.21151
vit-large@Bingsu#Cat_and_Dog-40,0.21151
vit-large@imagenet-split-1-41,0.04004
vit-large@frgfm#imagenette-42,0.07522
vit-large@Bingsu#Cat_and_Dog-43,0.1849
vit-large@frgfm#imagenette-44,0.07214
vit-large@food101-45,0.12115
vit-large@imagenet-split-2-46,0.0544
vit-large@food101-47,0.10603
vit-large@frgfm#imagenette-48,0.11423
vit-large@Bingsu#Cat_and_Dog-49,0.24949
vit-large@Bingsu#Cat_and_Dog-50,0.17062
vit-large@Bingsu#Cat_and_Dog-51,0.09769
vit-large@Bingsu#Cat_and_Dog-52,0.12511
vit-large@frgfm#imagenette-53,0.06081
vit-large@Bingsu#Cat_and_Dog-54,0.14366
vit-large@Bingsu#Cat_and_Dog-55,0.10656
vit-large@food101-56,0.08292
vit-large@Bingsu#Cat_and_Dog-57,0.15576
vit-large@imagenet-split-1-58,0.14986
vit-large@frgfm#imagenette-59,0.09352
vit-large@Bingsu#Cat_and_Dog-60,0.14769
vit-large@imagenet-split-1-61,0.04752
vit-large@Bingsu#Cat_and_Dog-62,0.08076
vit-large@food101-63,0.12402
vit-large@imagenet-split-1-64,0.03127
vit-large@food101-65,0.11816
vit-large@imagenet-split-1-66,0.02437
vit-large@imagenet-split-1-67,0.11597
vit-large@imagenet-split-1-68,0.02492
vit-large@Bingsu#Cat_and_Dog-69,0.11382
vit-large@Bingsu#Cat_and_Dog-70,0.09527
vit-large@frgfm#imagenette-71,0.05689
vit-large@Bingsu#Cat_and_Dog-72,0.07834
vit-large@imagenet-split-1-73,0.03265
vit-large@imagenet-split-2-74,0.12458
vit-large@Bingsu#Cat_and_Dog-75,0.12108
vit-large@Bingsu#Cat_and_Dog-76,0.0864
vit-large@Bingsu#Cat_and_Dog-77,0.11624
vit-large@imagenet-split-1-78,0.04071
vit-large@Bingsu#Cat_and_Dog-79,0.07753
vit-large@imagenet-split-1-80,0.16828
vit-large@food101-81,0.08281
vit-large@imagenet-split-1-82,0.1743
vit-large@frgfm#imagenette-83,0.07454
vit-large@imagenet-split-1-84,0.13917
vit-large@imagenet-split-1-85,0.13917
vit-large@imagenet-split-2-86,0.11763
vit-large@frgfm#imagenette-87,0.07936
vit-large@imagenet-split-1-88,0.2979
vit-large@frgfm#imagenette-89,0.07301
vit-large@imagenet-split-1-90,0.06156
vit-large@imagenet-split-1-91,0.55794
vit-large@imagenet-split-1-92,0.46952
vit-large@imagenet-split-1-93,0.62382
vit-large@imagenet-split-1-94,0.54704
vit-large@imagenet-split-1-95,0.50284
vit-large@imagenet-split-1-96,0.43834
vit-large@imagenet-split-1-97,0.55543
vit-large@imagenet-split-1-98,0.55543
vit-large@imagenet-split-1-99,0.59641
vit-large@frgfm#imagenette-100,0.08742
vit-large@imagenet-split-1-101,0.68174
vit-large@Bingsu#Cat_and_Dog-102,0.19861
vit-large@imagenet-split-1-103,0.68923
vit-large@imagenet-split-1-104,0.68688
vit-large@imagenet-split-1-105,0.68688
vit-large@imagenet-split-1-106,0.68688
vit-large@imagenet-split-1-107,0.71681
vit-large@imagenet-split-1-108,0.68672
vit-large@imagenet-split-1-109,0.68672
vit-large@imagenet-split-1-110,0.68672
vit-large@imagenet-split-1-111,0.68672
vit-large@imagenet-split-1-112,0.68672
vit-large@imagenet-split-1-113,0.68672
vit-large@imagenet-split-1-114,0.68672
vit-large@imagenet-split-1-115,0.68672
vit-large@imagenet-split-1-116,0.68672
vit-large@imagenet-split-1-117,0.68672
vit-large@imagenet-split-1-118,0.68672
vit-large@imagenet-split-1-119,0.68672
vit-large@imagenet-split-1-120,0.68672
vit-large@imagenet-split-1-121,0.68477
vit-large@imagenet-split-1-122,0.68292
vit-large@imagenet-split-1-123,0.68292
vit-large@imagenet-split-1-124,0.6388
vit-large@imagenet-split-1-125,0.58928
vit-large@imagenet-split-1-126,0.12985
vit-large@imagenet-split-1-127,0.1371
vit-large@imagenet-split-1-128,0.13739
vit-large@Bingsu#Cat_and_Dog-129,0.21382
vit-large@imagenet-split-1-130,0.56214
vit-large@imagenet-split-1-131,0.56448
vit-large@imagenet-split-1-132,0.56387
vit-large@Bingsu#Cat_and_Dog-133,0.24124
vit-large@imagenet-split-1-134,0.11767
vit-large@imagenet-split-1-135,0.11487
vit-large@Bingsu#Cat_and_Dog-136,0.2614
vit-large@frgfm#imagenette-137,0.1301
vit-large@Bingsu#Cat_and_Dog-138,0.23479
vit-large@frgfm#imagenette-139,0.12182
vit-large@imagenet-split-1-140,0.12179
vit-large@imagenet-split-2-141,0.15045
vit-large@imagenet-split-1-142,0.44686
vit-large@imagenet-split-1-143,0.44686
vit-large@Bingsu#Cat_and_Dog-144,0.25253
vit-large@imagenet-split-1-145,0.40039
vit-large@imagenet-split-1-146,0.11127
vit-large@imagenet-split-1-147,0.4957
vit-large@imagenet-split-1-148,0.4905
vit-large@imagenet-split-1-149,0.4905
vit-large@imagenet-split-1-150,0.4957
vit-large@imagenet-split-1-151,0.45187
vit-large@imagenet-split-1-152,0.4957
vit-large@imagenet-split-1-153,0.45172
vit-large@imagenet-split-1-154,0.45172
vit-large@imagenet-split-1-155,0.45172
vit-large@imagenet-split-1-156,0.45172
vit-large@imagenet-split-1-157,0.51419
vit-large@imagenet-split-1-158,0.45172
vit-large@imagenet-split-1-159,0.4233
