name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,228.1378710269928,198.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,103,181.1378710269928,245.1378710269928,1,749250.0,4
vit-large@food101-2,786,54,2531.551484107971,3317.551484107971,4,757500,4
vit-large@imagenet-split-1-3,1280,40,483.1378710269928,1763.1378710269928,1,749250.0,24
vit-large@imagenet-split-1-4,1987,53,631.4136130809784,2618.4136130809784,3,749250.0,16
vit-large@imagenet-split-1-5,2229,51,819.689355134964,3048.689355134964,5,749250.0,8
vit-large@imagenet-split-1-6,2634,6,904.8272261619568,3538.827226161957,6,749250.0,8
vit-large@imagenet-split-1-7,2660,100,1040.8272261619568,3700.827226161957,6,749250.0,4
vit-large@imagenet-split-1-8,3002,118,827.5514841079712,3829.551484107971,4,749250.0,12
vit-large@frgfm#imagenette-9,3459,21,254.1378710269928,3713.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-10,3853,107,198.1378710269928,4051.137871026993,1,31680.0,4
vit-large@frgfm#imagenette-11,4072,8,295.1378710269928,4367.137871026993,1,66283.0,12
vit-large@imagenet-split-1-12,4853,134,600.2757420539856,5386.275742053986,2,749250.0,8
vit-large@imagenet-split-2-13,4906,81,547.2757420539856,5439.275742053986,2,1000000.0,2
vit-large@imagenet-split-1-14,5098,62,637.4136130809784,5735.413613080978,3,749250.0,12
vit-large@food101-15,6003,234,1156.4136130809784,7042.413613080978,3,757500,8
vit-large@imagenet-split-2-16,6111,126,1048.4136130809784,7150.413613080978,3,1000000.0,2
vit-large@imagenet-split-1-17,7246,194,1476.9650971889496,8722.96509718895,7,749250.0,4
vit-large@imagenet-split-1-18,7246,74,1104.4136130809784,8350.413613080978,3,749250.0,4
vit-large@imagenet-split-1-19,7328,112,1658.9650971889496,8986.96509718895,7,749250.0,1
vit-large@imagenet-split-1-20,7430,10,1552.689355134964,8982.689355134964,5,749250.0,2
vit-large@imagenet-split-1-21,7490,70,1342.4136130809784,8832.413613080978,3,749250.0,4
vit-large@imagenet-split-1-22,7516,44,1210.1378710269928,8726.137871026993,1,749250.0,4
vit-large@imagenet-split-1-23,7670,10,1442.689355134964,9112.689355134964,5,749250.0,4
vit-large@imagenet-split-1-24,7719,81,1517.8272261619568,9236.827226161957,6,749250.0,8
vit-large@imagenet-split-1-25,7774,26,1192.1378710269928,8966.137871026993,1,749250.0,4
vit-large@frgfm#imagenette-26,8067,93,425.2757420539856,8492.275742053986,2,66283.0,1
vit-large@imagenet-split-1-27,8267,169,397.1378710269928,8531.137871026993,1,749250.0,None
vit-large@Bingsu#Cat_and_Dog-28,8364,72,300.1378710269928,8628.137871026993,1,31680.0,1
vit-large@imagenet-split-1-29,8718,42,988.4136130809784,9706.413613080978,3,749250.0,2
vit-large@imagenet-split-1-30,8748,12,949.5514841079712,9697.551484107971,4,749250.0,1
vit-large@imagenet-split-1-31,8768,112,925.5514841079712,9693.551484107971,4,749250.0,8
vit-large@Bingsu#Cat_and_Dog-32,9026,94,185.1378710269928,9211.137871026993,1,31680.0,4
vit-large@Bingsu#Cat_and_Dog-33,9147,93,184.1378710269928,9331.137871026993,1,31680.0,4
vit-large@imagenet-split-2-34,9491,170,261.1378710269928,9643.137871026993,1,1000000.0,8
vit-large@Bingsu#Cat_and_Dog-35,9538,124,215.1378710269928,9691.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-36,9538,62,371.2757420539856,9909.275742053986,2,66283.0,12
vit-large@frgfm#imagenette-37,9538,123,196.1378710269928,9672.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-38,9538,124,215.1378710269928,9691.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-39,9539,122,213.1378710269928,9691.137871026993,1,31680.0,1
vit-large@Bingsu#Cat_and_Dog-40,9539,122,195.1378710269928,9673.137871026993,1,31680.0,1
vit-large@imagenet-split-1-41,9612,121,212.1378710269928,9716.137871026993,1,749250.0,1
vit-large@frgfm#imagenette-42,9707,26,117.1378710269928,9811.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-43,10052,28,119.1378710269928,10171.137871026993,1,31680.0,4
vit-large@frgfm#imagenette-44,10462,98,435.2757420539856,10897.275742053986,2,66283.0,2
vit-large@food101-45,10617,126,1042.4136130809784,11596.413613080978,3,757500,8
vit-large@imagenet-split-2-46,10618,125,1041.4136130809784,11597.413613080978,3,1000000.0,2
vit-large@food101-47,10618,62,3013.240839242935,13631.240839242935,9,757500,2
vit-large@frgfm#imagenette-48,10835,85,318.1378710269928,11153.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-49,11194,86,177.1378710269928,11371.137871026993,1,31680.0,4
vit-large@Bingsu#Cat_and_Dog-50,11370,30,121.1378710269928,11491.137871026993,1,31680.0,4
vit-large@Bingsu#Cat_and_Dog-51,11370,30,121.1378710269928,11491.137871026993,1,31680.0,4
vit-large@Bingsu#Cat_and_Dog-52,11696,128,194.1378710269928,11826.137871026993,1,31680.0,1
