name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,75,412.2757420539856,457.2757420539856,2,66283.0,2
vit-large@mnist-1,92,28,972.5514841079712,1064.5514841079712,4,600000.0,3
vit-large@imagenet-split-2-2,786,54,1491.689355134964,2277.689355134964,5,1000000.0,16
vit-large@imagenet-split-1-3,1280,40,616.2757420539856,1896.2757420539856,2,749250.0,8
vit-large@imagenet-split-1-4,1987,53,628.4136130809784,2615.4136130809784,3,749250.0,12
vit-large@imagenet-split-0-5,2229,51,989.5514841079712,3218.551484107971,4,250000.0,1
vit-large@imagenet-split-1-6,2634,6,606.4136130809784,3240.4136130809784,3,749250.0,12
vit-large@mnist-7,2660,100,928.2757420539856,3588.2757420539856,2,600000.0,16
vit-large@imagenet-split-0-8,3002,118,1166.5514841079712,4168.551484107971,4,250000.0,12
vit-large@frgfm#imagenette-9,3459,21,358.2757420539856,3817.2757420539856,2,66283.0,2
vit-large@Bingsu#Cat_and_Dog-10,3853,107,198.1378710269928,4051.137871026993,1,31680.0,4
vit-large@frgfm#imagenette-11,4072,8,295.1378710269928,4367.137871026993,1,66283.0,12
vit-large@imagenet-split-0-12,4853,67,962.4136130809784,5815.413613080978,3,250000.0,1
vit-large@imagenet-split-2-13,4906,14,1535.8272261619568,6441.827226161957,6,1000000.0,8
vit-large@mnist-14,5098,62,1015.689355134964,6113.689355134964,5,600000.0,16
vit-large@imagenet-split-2-15,6003,117,1536.5514841079712,7539.551484107971,4,1000000.0,4
vit-large@imagenet-split-2-16,6111,9,1428.5514841079712,7539.551484107971,4,1000000.0,4
vit-large@mnist-17,7246,74,1330.5514841079712,8576.551484107971,4,600000.0,1
vit-large@mnist-18,7246,74,1330.5514841079712,8576.551484107971,4,600000.0,1
vit-large@imagenet-split-1-19,7328,112,1684.9650971889496,9012.96509718895,7,749250.0,1
vit-large@imagenet-split-1-20,7430,10,1413.8272261619568,8843.827226161957,6,749250.0,4
vit-large@mnist-21,7490,70,1265.4136130809784,8755.413613080978,3,600000.0,4
vit-large@mnist-22,7516,44,1356.5514841079712,8872.551484107971,4,600000.0,1
vit-large@imagenet-split-1-23,7670,130,1568.8272261619568,9238.827226161957,6,749250.0,4
vit-large@mnist-24,7719,81,1382.5514841079712,9101.551484107971,4,600000.0,3
vit-large@mnist-25,7774,146,1426.5514841079712,9200.551484107971,4,600000.0,2
vit-large@Bingsu#Cat_and_Dog-26,8067,93,294.2757420539856,8361.275742053986,2,31680.0,1
vit-large@mnist-27,8267,253,1438.689355134964,9705.689355134964,5,600000.0,4
