full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,4,0,2,0
32,4,0,2,0
32,14,0,2,0
32,0,0,1,0
32,0,0,1,0
32,0,0,1,1
32,0,0,2,0
32,13,0,2,0
32,0,0,1,0
32,0,0,1,1
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,8,0,2,0
32,0,0,1,1
32,0,0,2,0
32,0,0,2,1
32,4,0,2,0
32,4,0,2,0
32,8,0,2,1
32,4,0,2,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,1
32,3,0,4,0
32,4,0,2,0
32,4,0,2,1
32,0,0,3,0
32,8,0,2,0
32,18,0,2,0
32,20,0,1,1
32,16,0,2,1
32,8,0,2,0
32,20,0,1,0
32,20,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,4,0,2,0
32,4,0,2,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,3,0,3,0
32,0,0,2,0
32,0,0,2,2
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,2
32,0,0,4,2
32,0,0,6,2
32,0,0,6,1
32,0,0,7,2
32,0,0,9,0
32,0,0,9,0
32,0,0,9,1
32,0,0,10,1
32,6,2,9,1
32,5,2,9,0
32,0,0,11,0
32,0,0,8,2
32,0,0,9,1
32,0,0,8,0
32,0,0,8,1
32,2,0,7,1
32,0,0,6,0
32,0,0,4,0
32,0,0,4,7
32,5,2,8,2
32,8,3,8,0
32,0,0,11,0
32,3,0,5,1
32,0,0,4,0
32,0,0,3,0
32,3,0,3,0
32,0,0,2,1
32,0,0,3,3
32,0,0,5,0
32,0,0,5,1
32,0,0,6,0
32,0,0,4,0
32,0,0,4,1
32,0,0,5,2
32,0,0,7,0
32,0,0,6,0
32,1,0,4,2
32,0,0,5,0
32,0,0,4,0
32,0,0,3,3
32,0,0,6,0
32,0,0,5,0
32,0,0,3,2
32,0,0,5,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,1
32,0,0,3,0
32,0,0,1,0
32,0,0,1,2
32,12,0,3,0
32,20,0,1,0
32,20,0,1,1
32,16,0,2,1
32,4,0,2,2
32,0,0,4,1
32,0,0,5,0
32,0,0,5,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,3,0
32,0,0,3,1
32,0,0,3,1
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,2,0
32,0,0,2,0
32,16,0,1,1
32,28,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,28,0,1,0
32,32,0,0,0
32,32,0,0,3
32,0,0,3,1
32,0,0,4,0
32,0,0,3,0
32,0,0,2,1
32,0,0,3,0
32,0,0,3,1
32,0,0,3,0
32,0,0,2,0
32,0,0,1,1
32,12,0,2,1
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,12,0,2,1
32,4,0,2,0
32,4,0,2,0
32,22,0,2,3
32,0,0,3,3
32,0,0,6,0
32,0,0,6,0
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,2,0,5,1
32,2,0,5,0
32,0,0,4,0
32,0,0,4,0
32,3,0,3,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,1,0
32,0,0,1,1
32,4,0,2,1
32,0,0,3,2
32,0,0,5,0
32,4,0,3,9
32,7,3,8,0
32,7,3,8,0
32,7,3,8,1
32,8,4,8,0
32,8,4,8,0
32,6,3,9,1
32,6,3,9,1
32,0,0,12,0
32,2,0,6,18
32,0,0,23,0
32,0,0,23,0
32,0,0,23,0
32,0,0,23,0
32,0,0,23,1
32,0,0,24,2
32,0,0,26,0
32,0,0,26,0
32,0,0,26,0
32,2,1,24,1
32,0,0,26,0
32,0,0,26,0
32,0,0,26,0
32,0,0,25,1
32,0,0,26,0
32,4,2,18,1
32,0,0,18,2
32,0,0,20,0
32,0,0,20,0
32,0,0,20,0
32,0,0,20,1
32,0,0,20,0
32,2,1,18,2
32,0,0,21,1
32,0,0,22,1
32,0,0,23,1
32,2,1,20,1
32,0,0,18,1
32,0,0,19,2
32,0,0,18,0
32,0,0,18,1
32,0,0,18,0
32,3,1,13,1
32,0,0,8,0
32,2,0,8,1
32,0,0,8,0
32,0,0,8,0
32,0,0,7,3
32,2,1,8,0
32,0,0,8,0
32,2,0,7,1
32,0,0,5,0
32,0,0,4,0
32,0,0,4,1
32,0,0,5,0
32,2,0,4,12
32,2,1,14,0
32,2,1,14,0
32,2,1,14,0
32,2,1,14,1
32,0,0,16,0
32,0,0,16,0
32,3,1,14,0
32,3,1,13,0
32,3,1,13,0
32,3,1,13,0
32,0,0,9,0
32,0,0,9,0
32,0,0,8,0
32,0,0,8,0
32,3,0,5,0
32,2,0,4,0
32,4,0,2,0
32,0,0,1,0
32,31,0,1,0
