name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03336
vit-large@imagenet-split-1-1,0.01365
vit-large@food101-2,0.08306
vit-large@imagenet-split-0-3,0.05763
vit-large@imagenet-split-0-4,0.09243
vit-large@imagenet-split-1-5,0.09568
vit-large@imagenet-split-1-6,0.06092
vit-large@imagenet-split-0-7,0.09891
vit-large@mnist-8,0.1405
vit-large@frgfm#imagenette-9,0.07806
vit-large@frgfm#imagenette-10,0.09679
vit-large@frgfm#imagenette-11,0.0643
vit-large@mnist-12,0.1514
vit-large@food101-13,0.08576
vit-large@fashion_mnist-14,0.13517
vit-large@imagenet-split-2-15,0.07433
vit-large@food101-16,0.02909
vit-large@imagenet-split-0-17,0.12528
vit-large@cifar100-18,0.12732
vit-large@imagenet-split-1-19,0.05333
vit-large@cifar100-20,0.06859
vit-large@imagenet-split-1-21,0.05735
vit-large@cifar100-22,0.02193
vit-large@cifar100-23,0.10492
vit-large@mnist-24,0.11724
vit-large@mnist-25,0.03077
vit-large@Bingsu#Cat_and_Dog-26,0.1485
vit-large@imagenet-split-1-27,0.02686
vit-large@Bingsu#Cat_and_Dog-28,0.10253
vit-large@fashion_mnist-29,0.02035
vit-large@cifar100-30,0.046
vit-large@cifar100-31,0.03181
vit-large@frgfm#imagenette-32,0.07127
vit-large@frgfm#imagenette-33,0.09399
vit-large@food101-34,0.01378
vit-large@frgfm#imagenette-35,0.0643
vit-large@frgfm#imagenette-36,0.06564
vit-large@frgfm#imagenette-37,0.03315
vit-large@frgfm#imagenette-38,0.0905
vit-large@frgfm#imagenette-39,0.06408
vit-large@Bingsu#Cat_and_Dog-40,0.12269
vit-large@imagenet-split-0-41,0.00601
vit-large@Bingsu#Cat_and_Dog-42,0.08398
vit-large@frgfm#imagenette-43,0.06866
vit-large@frgfm#imagenette-44,0.09483
vit-large@food101-45,0.14268
vit-large@food101-46,0.10063
vit-large@food101-47,0.11116
vit-large@frgfm#imagenette-48,0.15163
vit-large@frgfm#imagenette-49,0.15198
vit-large@frgfm#imagenette-50,0.0435
vit-large@Bingsu#Cat_and_Dog-51,0.09769
vit-large@frgfm#imagenette-52,0.08742
vit-large@frgfm#imagenette-53,0.06081
vit-large@frgfm#imagenette-54,0.06975
vit-large@Bingsu#Cat_and_Dog-55,0.08318
vit-large@imagenet-split-2-56,0.00331
vit-large@Bingsu#Cat_and_Dog-57,0.12914
vit-large@imagenet-split-1-58,0.03906
vit-large@Bingsu#Cat_and_Dog-59,0.14769
vit-large@frgfm#imagenette-60,0.04447
vit-large@fashion_mnist-61,0.0195
vit-large@Bingsu#Cat_and_Dog-62,0.08076
vit-large@food101-63,0.12992
vit-large@cifar100-64,0.02754
vit-large@food101-65,0.12205
vit-large@cifar100-66,0.02451
vit-large@imagenet-split-0-67,0.14048
vit-large@imagenet-split-1-68,0.02284
vit-large@Bingsu#Cat_and_Dog-69,0.11382
vit-large@frgfm#imagenette-70,0.06844
vit-large@frgfm#imagenette-71,0.03053
vit-large@frgfm#imagenette-72,0.07479
vit-large@cifar100-73,0.00899
vit-large@food101-74,0.12597
vit-large@frgfm#imagenette-75,0.08633
vit-large@Bingsu#Cat_and_Dog-76,0.0864
vit-large@Bingsu#Cat_and_Dog-77,0.11624
vit-large@cifar100-78,0.05143
vit-large@Bingsu#Cat_and_Dog-79,0.07753
vit-large@cifar100-80,0.14017
vit-large@food101-81,0.02743
vit-large@cifar100-82,0.16011
vit-large@Bingsu#Cat_and_Dog-83,0.1735
vit-large@fashion_mnist-84,0.08801
vit-large@imagenet-split-1-85,0.10106
vit-large@food101-86,0.1301
vit-large@Bingsu#Cat_and_Dog-87,0.12995
vit-large@fashion_mnist-88,0.20247
vit-large@Bingsu#Cat_and_Dog-89,0.15576
vit-large@imagenet-split-0-90,0.06073
vit-large@mnist-91,0.14251
vit-large@fashion_mnist-92,0.13249
vit-large@imagenet-split-1-93,0.07197
vit-large@mnist-94,0.13113
vit-large@cifar100-95,0.15899
vit-large@cifar100-96,0.15736
vit-large@imagenet-split-0-97,0.15022
vit-large@fashion_mnist-98,0.14251
vit-large@imagenet-split-0-99,0.06488
vit-large@Bingsu#Cat_and_Dog-100,0.14124
vit-large@cifar100-101,0.24899
vit-large@frgfm#imagenette-102,0.0606
vit-large@mnist-103,0.21159
vit-large@imagenet-split-1-104,0.26061
vit-large@cifar100-105,0.19444
vit-large@imagenet-split-0-106,0.16262
vit-large@fashion_mnist-107,0.22694
vit-large@cifar100-108,0.22928
vit-large@imagenet-split-1-109,0.26355
vit-large@cifar100-110,0.27541
vit-large@imagenet-split-1-111,0.26355
vit-large@mnist-112,0.30489
vit-large@imagenet-split-0-113,0.16248
vit-large@fashion_mnist-114,0.23547
vit-large@mnist-115,0.27519
vit-large@mnist-116,0.16204
vit-large@cifar100-117,0.27541
vit-large@imagenet-split-1-118,0.21941
vit-large@fashion_mnist-119,0.21159
vit-large@cifar100-120,0.23302
vit-large@imagenet-split-1-121,0.26544
vit-large@fashion_mnist-122,0.23501
vit-large@mnist-123,0.23501
vit-large@imagenet-split-1-124,0.20456
vit-large@fashion_mnist-125,0.16179
vit-large@imagenet-split-1-126,0.03229
vit-large@mnist-127,0.02313
vit-large@imagenet-split-1-128,0.02779
vit-large@frgfm#imagenette-129,0.05842
vit-large@fashion_mnist-130,0.09541
vit-large@imagenet-split-1-131,0.10956
vit-large@fashion_mnist-132,0.13796
vit-large@frgfm#imagenette-133,0.06583
vit-large@imagenet-split-0-134,0.05377
vit-large@cifar100-135,0.03305
vit-large@frgfm#imagenette-136,0.07127
vit-large@Bingsu#Cat_and_Dog-137,0.1493
vit-large@Bingsu#Cat_and_Dog-138,0.12269
vit-large@frgfm#imagenette-139,0.08593
vit-large@imagenet-split-0-140,0.0607
vit-large@food101-141,0.08653
vit-large@imagenet-split-0-142,0.02414
vit-large@imagenet-split-1-143,0.10275
vit-large@Bingsu#Cat_and_Dog-144,0.14043
vit-large@cifar100-145,0.19304
vit-large@fashion_mnist-146,0.03915
vit-large@mnist-147,0.15601
vit-large@cifar100-148,0.16826
vit-large@fashion_mnist-149,0.16686
vit-large@imagenet-split-1-150,0.12507
vit-large@mnist-151,0.16686
vit-large@fashion_mnist-152,0.15601
vit-large@imagenet-split-1-153,0.15882
vit-large@fashion_mnist-154,0.1383
vit-large@imagenet-split-1-155,0.13622
vit-large@imagenet-split-0-156,0.11276
vit-large@fashion_mnist-157,0.14022
vit-large@cifar100-158,0.14235
vit-large@imagenet-split-1-159,0.15427
