name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,75,187.39900946617126,232.39900946617126,1,9170,2
roberta-base@qnli-1,786,54,1119.5910851955414,1905.5910851955414,9,261860,4
roberta-base@qnli-2,1280,40,782.9950473308563,2062.9950473308563,5,261860,1
roberta-base@sst2-3,1987,53,976.7930662631989,2963.793066263199,7,168380,1
roberta-base@qnli-4,2634,6,843.7930662631989,3477.793066263199,7,261860,2
roberta-base@qnli-5,2660,100,1290.9900946617126,3950.9900946617126,10,261860,4
roberta-base@qnli-6,3002,118,1507.7881135940552,4509.788113594055,12,261860,1
roberta-base@stsb-7,3459,21,211.79801893234253,3670.7980189323425,2,12942.0,1
roberta-base@rte-8,4072,8,101.39900946617126,4173.399009466171,1,4984.0,2
roberta-base@qnli-9,4853,134,837.3940567970276,5623.394056797028,6,261860,8
roberta-base@mnli-10,4906,81,784.3940567970276,5676.394056797028,6,883584.0,2
roberta-base@qqp-11,6003,234,2029.1871230602264,7915.187123060226,13,909620.0,16
roberta-base@mnli-12,6111,126,1921.1871230602264,8023.187123060226,13,883584.0,2
roberta-base@qnli-13,7246,74,1316.1920757293701,8562.19207572937,8,261860,2
roberta-base@sst2-14,7328,112,922.3940567970276,8250.394056797028,6,168380,2
roberta-base@wnli-15,7516,44,105.39900946617126,7621.399009466171,1,159.0,4
roberta-base@sst2-16,7774,26,711.3940567970276,8485.394056797028,6,168380,1
roberta-base@rte-17,8067,93,212.39900946617126,8279.399009466171,1,4984.0,1
roberta-base@sst2-18,8267,13,845.3940567970276,9112.394056797028,6,168380,2
roberta-base@rte-19,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@stsb-20,8718,84,158.39900946617126,8834.399009466171,1,12942.0,1
roberta-base@qnli-21,8748,54,128.39900946617126,8864.399009466171,1,261860,2
roberta-base@qnli-22,8768,112,1185.5910851955414,9953.591085195541,9,261860,8
roberta-base@wnli-23,9147,93,155.39900946617126,9302.399009466171,1,159.0,1
roberta-base@wnli-24,9538,124,186.39900946617126,9662.399009466171,1,159.0,1
roberta-base@mrpc-25,9538,124,186.39900946617126,9662.399009466171,1,9170,1
roberta-base@wnli-26,9538,62,124.39900946617126,9662.399009466171,1,159.0,1
roberta-base@wnli-27,9539,61,123.39900946617126,9662.399009466171,1,159.0,1
roberta-base@qnli-28,9612,121,183.39900946617126,9687.399009466171,1,261860,1
roberta-base@wnli-29,9707,26,88.39900946617126,9782.399009466171,1,159.0,1
roberta-base@wnli-30,10052,28,89.39900946617126,10141.399009466171,1,159.0,8
roberta-base@rte-31,10462,98,178.39900946617126,10640.399009466171,1,4984.0,8
roberta-base@snli-32,10617,125,1803.389104127884,12357.389104127884,11,1373440,8
roberta-base@mnli-33,10618,124,1802.389104127884,12358.389104127884,11,883584.0,8
roberta-base@rte-34,11194,86,205.39900946617126,11399.399009466171,1,4984.0,1
roberta-base@rte-35,11696,128,204.39900946617126,11836.399009466171,1,4984.0,1
roberta-base@stsb-36,11714,110,186.39900946617126,11854.399009466171,1,12942.0,1
roberta-base@stsb-37,12079,82,166.39900946617126,12204.399009466171,1,12942.0,1
roberta-base@snli-38,12082,79,163.39900946617126,12207.399009466171,1,1373440,8
roberta-base@sst2-39,12456,24,736.9950473308563,13192.995047330856,5,168380,8
roberta-base@stsb-40,13108,92,203.39900946617126,13311.399009466171,1,12942.0,4
roberta-base@rte-41,13468,184,250.39900946617126,13626.399009466171,1,4984.0,1
roberta-base@qnli-42,13470,182,248.39900946617126,13628.399009466171,1,261860,4
roberta-base@wnli-43,13911,9,70.39900946617126,13981.399009466171,1,159.0,8
roberta-base@qqp-44,14031,9,3576.773255586624,17607.773255586624,27,909620.0,1
roberta-base@qnli-45,14066,188,1257.1920757293701,15229.19207572937,8,261860,1
roberta-base@qqp-46,14109,145,1214.1920757293701,15272.19207572937,8,909620.0,8
roberta-base@sst2-47,14275,5,677.3940567970276,14952.394056797028,6,168380,1
