name,finish_time_fairness
roberta-base@mrpc-0,0.36745
roberta-base@qnli-1,0.06246
roberta-base@qnli-2,0.03534
roberta-base@sst2-3,0.05378
roberta-base@qnli-4,0.07923
roberta-base@qnli-5,0.07821
roberta-base@qnli-6,0.30567
roberta-base@stsb-7,0.11576
roberta-base@rte-8,0.19977
roberta-base@qnli-9,0.29362
roberta-base@mnli-10,0.03311
roberta-base@qqp-11,0.18815
roberta-base@mnli-12,0.05959
roberta-base@qnli-13,0.13187
roberta-base@sst2-14,0.1859
roberta-base@wnli-15,7.09327
roberta-base@sst2-16,0.05939
roberta-base@rte-17,0.42124
roberta-base@sst2-18,0.05275
roberta-base@rte-19,0.35118
roberta-base@stsb-20,0.10177
roberta-base@qnli-21,0.01406
roberta-base@qnli-22,0.06541
roberta-base@wnli-23,10.35993
roberta-base@wnli-24,8.29327
roberta-base@mrpc-25,0.24392
roberta-base@wnli-26,8.29327
roberta-base@wnli-27,8.2266
roberta-base@qnli-28,0.00519
roberta-base@wnli-29,5.0266
roberta-base@wnli-30,5.95993
roberta-base@rte-31,0.40316
roberta-base@snli-32,0.06042
roberta-base@mnli-33,0.114
roberta-base@rte-34,0.736
roberta-base@rte-35,0.34666
roberta-base@stsb-36,0.13412
roberta-base@stsb-37,0.10876
roberta-base@snli-38,0.0067
roberta-base@sst2-39,0.40008
roberta-base@stsb-40,0.17784
roberta-base@rte-41,0.40768
roberta-base@qnli-42,0.03295
roberta-base@wnli-43,4.69327
roberta-base@qqp-44,0.23264
roberta-base@qnli-45,0.04756
roberta-base@qqp-46,0.05616
roberta-base@sst2-47,0.06361
roberta-base@qnli-48,0.25592
roberta-base@sst2-49,0.03768
roberta-base@rte-50,0.32407
roberta-base@mrpc-51,0.23804
roberta-base@mrpc-52,0.1851
roberta-base@qnli-53,0.0114
roberta-base@qqp-54,0.08071
roberta-base@wnli-55,7.69327
roberta-base@sst2-56,0.14618
roberta-base@rte-57,0.22237
roberta-base@qnli-58,0.25481
roberta-base@qqp-59,0.0204
roberta-base@sst2-60,0.32536
roberta-base@stsb-61,0.16647
roberta-base@sst2-62,0.09634
roberta-base@sst2-63,0.38254
roberta-base@mnli-64,0.17414
roberta-base@stsb-65,0.15598
roberta-base@qnli-66,0.01229
roberta-base@qnli-67,0.27474
roberta-base@qnli-68,0.23717
roberta-base@sst2-69,0.42697
roberta-base@qnli-70,0.24726
roberta-base@sst2-71,0.36857
roberta-base@rte-72,0.42576
roberta-base@qnli-73,0.49608
roberta-base@mrpc-74,0.40666
roberta-base@qnli-75,0.3818
roberta-base@sst2-76,0.60063
roberta-base@qnli-77,0.63368
roberta-base@qnli-78,0.62984
roberta-base@sst2-79,0.59446
roberta-base@sst2-80,0.60124
roberta-base@qnli-81,0.70433
roberta-base@sst2-82,0.59334
roberta-base@sst2-83,0.72804
roberta-base@sst2-84,0.79018
roberta-base@qnli-85,0.71182
roberta-base@qnli-86,0.66637
roberta-base@qnli-87,0.5584
roberta-base@sst2-88,0.71964
roberta-base@sst2-89,0.64303
roberta-base@qnli-90,0.41377
roberta-base@qnli-91,0.35992
roberta-base@sst2-92,0.38861
roberta-base@sst2-93,0.06447
roberta-base@sst2-94,0.06218
roberta-base@qnli-95,0.03999
roberta-base@stsb-96,0.128
roberta-base@qnli-97,0.25169
roberta-base@sst2-98,0.27051
roberta-base@sst2-99,0.04935
roberta-base@rte-100,0.48226
roberta-base@rte-101,0.3896
roberta-base@mrpc-102,0.33804
roberta-base@wnli-103,7.8266
roberta-base@sst2-104,0.06122
roberta-base@qnli-105,0.0744
roberta-base@qnli-106,0.04669
roberta-base@qnli-107,0.31804
roberta-base@wnli-108,9.55993
roberta-base@sst2-109,0.2192
roberta-base@sst2-110,0.08647
roberta-base@sst2-111,0.33983
roberta-base@qnli-112,0.28913
roberta-base@sst2-113,0.39985
roberta-base@sst2-114,0.44933
roberta-base@sst2-115,0.51248
roberta-base@qnli-116,0.21867
roberta-base@sst2-117,0.60397
roberta-base@sst2-118,0.46927
roberta-base@sst2-119,0.25867
