name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,1280,40,751.3823719024658,2031.3823719024658,4,235674.0,1
roberta-large@sst2-1,1987,53,292.6911859512329,2279.691185951233,2,84190.0,20
roberta-large@qnli-2,2634,6,725.7279648780823,3359.7279648780823,5,235674.0,12
roberta-large@mnli-3,4906,14,1987.801522731781,6893.801522731781,11,785408.0,1
roberta-large@qqp-4,6003,234,2232.801522731781,8118.801522731781,11,909620.0,8
roberta-large@mnli-5,6111,126,2124.801522731781,8226.801522731781,11,785408.0,8
roberta-large@wnli-6,7516,44,145.34559297561646,7661.3455929756165,1,1590.0,1
roberta-large@rte-7,8364,36,135.34559297561646,8499.345592975616,1,4984.0,4
roberta-large@qnli-8,8748,12,940.0735578536987,9688.073557853699,6,235674.0,16
roberta-large@qnli-9,8768,112,929.7279648780823,9697.727964878082,5,235674.0,12
roberta-large@rte-10,9147,93,192.34559297561646,9339.345592975616,1,4984.0,4
roberta-large@wnli-11,9538,124,224.34559297561646,9700.345592975616,1,1590.0,1
roberta-large@mrpc-12,9538,124,224.34559297561646,9700.345592975616,1,9170,1
roberta-large@wnli-13,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@wnli-14,10052,28,89.34559297561646,10141.345592975616,1,1590.0,8
roberta-large@mrpc-15,10462,98,190.34559297561646,10652.345592975616,1,9170,8
roberta-large@sst2-16,10617,126,364.6911859512329,10918.691185951233,2,84190.0,2
roberta-large@qnli-17,10618,125,363.6911859512329,10919.691185951233,2,235674.0,2
roberta-large@rte-18,11696,128,217.34559297561646,11849.345592975616,1,4984.0,1
roberta-large@stsb-19,11714,110,199.34559297561646,11867.345592975616,1,12942.0,1
roberta-large@sst2-20,12456,24,263.6911859512329,12719.691185951233,2,84190.0,20
roberta-large@sst2-21,13470,90,325.6911859512329,13795.691185951233,2,84190.0,24
roberta-large@qqp-22,14031,9,3436.220673561096,17467.220673561096,18,909620.0,12
roberta-large@qqp-23,14109,51,3526.9486384391785,17635.94863843918,23,909620.0,8
roberta-large@sst2-24,14275,5,621.7279648780823,14896.727964878082,5,84190.0,1
roberta-large@rte-25,16030,50,149.34559297561646,16179.345592975616,1,4984.0,4
roberta-large@mrpc-26,17132,28,120.34559297561646,17252.345592975616,1,9170,8
roberta-large@sst2-27,19137,63,302.34559297561646,19439.345592975616,1,84190.0,16
roberta-large@sst2-28,19137,63,416.03677892684937,19553.03677892685,3,84190.0,16
roberta-large@sst2-29,19247,73,529.3823719024658,19776.382371902466,4,84190.0,1
roberta-large@qnli-30,20006,34,621.0367789268494,20627.03677892685,3,235674.0,24
roberta-large@stsb-31,21258,102,206.34559297561646,21464.345592975616,1,12942.0,8
roberta-large@sst2-32,21548,104,328.6911859512329,21824.691185951233,2,84190.0,8
roberta-large@qnli-33,21548,104,328.6911859512329,21824.691185951233,2,235674.0,8
roberta-large@mrpc-34,21891,69,161.34559297561646,22052.345592975616,1,9170,8
roberta-large@qnli-35,22260,60,1483.4559297561646,23743.455929756165,10,235674.0,1
roberta-large@wnli-36,22395,45,146.34559297561646,22541.345592975616,1,1590.0,1
roberta-large@qnli-37,22654,51,880.7279648780823,23508.727964878082,5,235674.0,8
roberta-large@sst2-38,22654,292,1301.7647438049316,23809.76474380493,8,84190.0,8
roberta-large@sst2-39,22655,50,879.7279648780823,23509.727964878082,5,84190.0,8
roberta-large@sst2-40,22655,25,721.0367789268494,23376.03677892685,3,84190.0,1
roberta-large@qnli-41,22655,291,1300.7647438049316,23810.76474380493,8,235674.0,8
roberta-large@sst2-42,22655,25,735.7279648780823,23390.727964878082,5,84190.0,12
roberta-large@sst2-43,22655,25,863.3823719024658,23518.382371902466,4,84190.0,4
roberta-large@sst2-44,23166,114,831.7279648780823,23997.727964878082,5,84190.0,2
roberta-large@sst2-45,23298,102,568.3823719024658,23866.382371902466,4,84190.0,24
roberta-large@qnli-46,23833,47,647.0367789268494,24480.03677892685,3,235674.0,28
roberta-large@qnli-47,24715,5,720.7279648780823,25435.727964878082,5,235674.0,16
roberta-large@sst2-48,25326,114,570.3823719024658,25896.382371902466,4,84190.0,1
roberta-large@sst2-49,25475,85,556.3823719024658,26031.382371902466,4,84190.0,1
roberta-large@rte-50,25946,94,206.34559297561646,26152.345592975616,1,4984.0,3
roberta-large@wnli-51,26099,61,122.34559297561646,26221.345592975616,1,1590.0,8
roberta-large@stsb-52,26344,56,160.34559297561646,26504.345592975616,1,12942.0,8
roberta-large@qnli-53,26539,101,941.0735578536987,27480.0735578537,6,235674.0,16
roberta-large@qnli-54,26857,23,986.4191508293152,27843.419150829315,7,235674.0,1
roberta-large@qnli-55,27150,173,235.34559297561646,27295.345592975616,1,235674.0,8
roberta-large@wnli-56,27157,166,228.34559297561646,27302.345592975616,1,1590.0,1
roberta-large@sst2-57,28092,216,773.3823719024658,28757.382371902466,4,84190.0,8
roberta-large@qnli-58,28092,216,773.3823719024658,28757.382371902466,4,235674.0,8
roberta-large@sst2-59,28093,107,413.6911859512329,28506.691185951233,2,84190.0,12
