name,finish_time_fairness
roberta-large@qnli-0,0.04632
roberta-large@sst2-1,0.0878
roberta-large@qnli-2,0.1328
roberta-large@mnli-3,0.3198
roberta-large@qqp-4,0.3391
roberta-large@mnli-5,0.33107
roberta-large@wnli-6,0.74536
roberta-large@rte-7,0.22211
roberta-large@qnli-8,0.16079
roberta-large@qnli-9,0.10281
roberta-large@rte-10,0.33698
roberta-large@wnli-11,0.83254
roberta-large@mrpc-12,0.23151
roberta-large@wnli-13,0.83254
roberta-large@wnli-14,0.66331
roberta-large@mrpc-15,0.51863
roberta-large@sst2-16,0.13302
roberta-large@qnli-17,0.04501
roberta-large@rte-18,0.22046
roberta-large@stsb-19,0.15644
roberta-large@sst2-20,0.36731
roberta-large@sst2-21,0.39663
roberta-large@qqp-22,0.31493
roberta-large@qqp-23,0.29925
roberta-large@sst2-24,0.16263
roberta-large@rte-25,0.24508
roberta-large@mrpc-26,0.17162
roberta-large@sst2-27,0.62842
roberta-large@sst2-28,0.71683
roberta-large@sst2-29,0.60484
roberta-large@qnli-30,0.09725
roberta-large@stsb-31,0.49495
roberta-large@sst2-32,0.21767
roberta-large@qnli-33,0.05963
roberta-large@mrpc-34,0.40883
roberta-large@qnli-35,0.43423
roberta-large@wnli-36,0.75049
roberta-large@qnli-37,0.2001
roberta-large@sst2-38,0.73045
roberta-large@sst2-39,1.34061
roberta-large@sst2-40,0.97437
roberta-large@qnli-41,0.36724
roberta-large@sst2-42,0.80889
roberta-large@sst2-43,1.06873
roberta-large@sst2-44,0.70618
roberta-large@sst2-45,0.80257
roberta-large@qnli-46,0.23815
roberta-large@qnli-47,0.07233
roberta-large@sst2-48,0.58456
roberta-large@sst2-49,0.54368
roberta-large@rte-50,0.31729
roberta-large@wnli-51,0.62741
roberta-large@stsb-52,0.18672
roberta-large@qnli-53,0.07206
roberta-large@qnli-54,0.11867
roberta-large@qnli-55,0.05007
roberta-large@wnli-56,0.94023
roberta-large@sst2-57,0.3343
roberta-large@qnli-58,0.09158
roberta-large@sst2-59,0.42835
