name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03336
vit-large@imagenet-split-1-1,0.01365
vit-large@food101-2,0.09936
vit-large@imagenet-split-0-3,0.0694
vit-large@imagenet-split-0-4,0.09443
vit-large@imagenet-split-1-5,0.12601
vit-large@imagenet-split-1-6,0.08486
vit-large@imagenet-split-0-7,0.08755
vit-large@mnist-8,0.1593
vit-large@frgfm#imagenette-9,0.08135
vit-large@frgfm#imagenette-10,0.09657
vit-large@frgfm#imagenette-11,0.07765
vit-large@mnist-12,0.14937
vit-large@food101-13,0.08651
vit-large@fashion_mnist-14,0.13167
vit-large@imagenet-split-2-15,0.16907
vit-large@food101-16,0.09776
vit-large@imagenet-split-0-17,0.14442
vit-large@cifar100-18,0.15716
vit-large@imagenet-split-1-19,0.08249
vit-large@cifar100-20,0.10608
vit-large@imagenet-split-1-21,0.07033
vit-large@cifar100-22,0.0404
vit-large@cifar100-23,0.09045
vit-large@mnist-24,0.13235
vit-large@mnist-25,0.04014
vit-large@Bingsu#Cat_and_Dog-26,0.23732
vit-large@imagenet-split-1-27,0.0331
vit-large@Bingsu#Cat_and_Dog-28,0.11463
vit-large@fashion_mnist-29,0.0173
vit-large@cifar100-30,0.03911
vit-large@cifar100-31,0.04011
vit-large@frgfm#imagenette-32,0.09421
vit-large@frgfm#imagenette-33,0.09399
vit-large@food101-34,0.01025
vit-large@frgfm#imagenette-35,0.03315
vit-large@frgfm#imagenette-36,0.0643
vit-large@frgfm#imagenette-37,0.09334
vit-large@frgfm#imagenette-38,0.0859
vit-large@frgfm#imagenette-39,0.09156
vit-large@Bingsu#Cat_and_Dog-40,0.12269
vit-large@imagenet-split-0-41,0.02427
vit-large@Bingsu#Cat_and_Dog-42,0.18076
vit-large@frgfm#imagenette-43,0.05689
vit-large@frgfm#imagenette-44,0.08546
vit-large@food101-45,0.15066
vit-large@food101-46,0.11795
vit-large@food101-47,0.14788
vit-large@frgfm#imagenette-48,0.15127
vit-large@frgfm#imagenette-49,0.15778
vit-large@frgfm#imagenette-50,0.0435
vit-large@Bingsu#Cat_and_Dog-51,0.09769
vit-large@frgfm#imagenette-52,0.08767
vit-large@frgfm#imagenette-53,0.06081
vit-large@frgfm#imagenette-54,0.09268
vit-large@Bingsu#Cat_and_Dog-55,0.08318
vit-large@imagenet-split-2-56,0.00331
vit-large@Bingsu#Cat_and_Dog-57,0.13882
vit-large@imagenet-split-1-58,0.04198
vit-large@Bingsu#Cat_and_Dog-59,0.14769
vit-large@frgfm#imagenette-60,0.06455
vit-large@fashion_mnist-61,0.0283
vit-large@Bingsu#Cat_and_Dog-62,0.09285
vit-large@food101-63,0.15871
vit-large@cifar100-64,0.02737
vit-large@food101-65,0.12193
vit-large@cifar100-66,0.03216
vit-large@imagenet-split-0-67,0.15202
vit-large@imagenet-split-1-68,0.02291
vit-large@Bingsu#Cat_and_Dog-69,0.11382
vit-large@frgfm#imagenette-70,0.07936
vit-large@frgfm#imagenette-71,0.09685
vit-large@frgfm#imagenette-72,0.02574
vit-large@cifar100-73,0.00758
vit-large@food101-74,0.1476
vit-large@frgfm#imagenette-75,0.10687
vit-large@Bingsu#Cat_and_Dog-76,0.0985
vit-large@Bingsu#Cat_and_Dog-77,0.11624
vit-large@cifar100-78,0.05844
vit-large@Bingsu#Cat_and_Dog-79,0.07753
vit-large@cifar100-80,0.14017
vit-large@food101-81,0.02743
vit-large@cifar100-82,0.13691
vit-large@Bingsu#Cat_and_Dog-83,0.14447
vit-large@fashion_mnist-84,0.14911
vit-large@imagenet-split-1-85,0.02754
vit-large@food101-86,0.19061
vit-large@Bingsu#Cat_and_Dog-87,0.21877
vit-large@fashion_mnist-88,0.18602
vit-large@Bingsu#Cat_and_Dog-89,0.15576
vit-large@imagenet-split-0-90,0.01115
vit-large@mnist-91,0.26804
vit-large@fashion_mnist-92,0.26804
vit-large@imagenet-split-1-93,0.17211
vit-large@mnist-94,0.26789
vit-large@cifar100-95,0.24045
vit-large@cifar100-96,0.17985
vit-large@imagenet-split-0-97,0.18887
vit-large@fashion_mnist-98,0.2305
vit-large@imagenet-split-0-99,0.16685
vit-large@Bingsu#Cat_and_Dog-100,0.23801
vit-large@cifar100-101,0.39742
vit-large@frgfm#imagenette-102,0.1262
vit-large@mnist-103,0.33536
vit-large@imagenet-split-1-104,0.38032
vit-large@cifar100-105,0.37046
vit-large@imagenet-split-0-106,0.21742
vit-large@fashion_mnist-107,0.33363
vit-large@cifar100-108,0.3702
vit-large@imagenet-split-1-109,0.52264
vit-large@cifar100-110,0.36362
vit-large@imagenet-split-1-111,0.51331
vit-large@mnist-112,0.34717
vit-large@imagenet-split-0-113,0.2389
vit-large@fashion_mnist-114,0.36526
vit-large@mnist-115,0.38385
vit-large@mnist-116,0.35023
vit-large@cifar100-117,0.09306
vit-large@imagenet-split-1-118,0.49466
vit-large@fashion_mnist-119,0.37077
vit-large@cifar100-120,0.3882
vit-large@imagenet-split-1-121,0.49598
vit-large@fashion_mnist-122,0.34103
vit-large@mnist-123,0.34103
vit-large@imagenet-split-1-124,0.42856
vit-large@fashion_mnist-125,0.3239
vit-large@imagenet-split-1-126,0.06909
vit-large@mnist-127,0.04959
vit-large@imagenet-split-1-128,0.05957
vit-large@frgfm#imagenette-129,0.08372
vit-large@fashion_mnist-130,0.18743
vit-large@imagenet-split-1-131,0.21523
vit-large@fashion_mnist-132,0.05307
vit-large@frgfm#imagenette-133,0.08636
vit-large@imagenet-split-0-134,0.08819
vit-large@cifar100-135,0.03577
vit-large@frgfm#imagenette-136,0.0362
vit-large@Bingsu#Cat_and_Dog-137,0.1614
vit-large@Bingsu#Cat_and_Dog-138,0.13398
vit-large@frgfm#imagenette-139,0.08459
vit-large@imagenet-split-0-140,0.07205
vit-large@food101-141,0.11965
vit-large@imagenet-split-0-142,0.02414
vit-large@imagenet-split-1-143,0.12217
vit-large@Bingsu#Cat_and_Dog-144,0.14043
vit-large@cifar100-145,0.21273
vit-large@fashion_mnist-146,0.05348
vit-large@mnist-147,0.24737
vit-large@cifar100-148,0.30432
vit-large@fashion_mnist-149,0.24737
vit-large@imagenet-split-1-150,0.29122
vit-large@mnist-151,0.26855
vit-large@fashion_mnist-152,0.2822
vit-large@imagenet-split-1-153,0.15557
vit-large@fashion_mnist-154,0.28477
vit-large@imagenet-split-1-155,0.345
vit-large@imagenet-split-0-156,0.14026
vit-large@fashion_mnist-157,0.31546
vit-large@cifar100-158,0.22868
vit-large@imagenet-split-1-159,0.29961
