name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,232.1378710269928,202.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,103,185.1378710269928,249.1378710269928,1,749250.0,4
vit-large@food101-2,786,54,3759.5846467018127,4545.584646701813,26,757500,12
vit-large@imagenet-split-0-3,1280,40,1241.1029682159424,2521.1029682159424,8,250000.0,4
vit-large@imagenet-split-0-4,1987,53,1092.8272261619568,3079.827226161957,6,250000.0,1
vit-large@imagenet-split-1-5,2229,51,1113.1029682159424,3342.1029682159424,8,749250.0,1
vit-large@imagenet-split-1-6,2634,6,903.9650971889496,3537.9650971889496,7,749250.0,12
vit-large@imagenet-split-0-7,2660,100,1130.8272261619568,3790.827226161957,6,250000.0,1
vit-large@mnist-8,3002,118,1417.5165812969208,4419.516581296921,11,600000.0,2
vit-large@frgfm#imagenette-9,3459,21,254.1378710269928,3713.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-10,3853,107,541.5514841079712,4394.551484107971,4,66283.0,1
vit-large@frgfm#imagenette-11,4072,8,346.4136130809784,4418.413613080978,3,66283.0,4
vit-large@mnist-12,4853,67,1113.8272261619568,5966.827226161957,6,600000.0,4
vit-large@food101-13,4906,254,3815.1710336208344,8721.171033620834,23,757500,3
vit-large@fashion_mnist-14,5098,62,1254.2408392429352,6352.240839242935,9,600000.0,4
vit-large@imagenet-split-2-15,6003,126,1298.1029682159424,7184.102968215942,8,1000000.0,8
vit-large@food101-16,6111,18,1190.1029682159424,7292.102968215942,8,757500,2
vit-large@imagenet-split-0-17,7246,74,1401.2408392429352,8647.240839242935,9,250000.0,1
vit-large@cifar100-18,7246,74,1231.1029682159424,8477.102968215942,8,500000.0,1
vit-large@imagenet-split-1-19,7328,242,701.2757420539856,7917.275742053986,2,749250.0,4
vit-large@cifar100-20,7430,140,599.2757420539856,8019.275742053986,2,500000.0,4
vit-large@imagenet-split-1-21,7490,114,1157.2408392429352,8577.240839242935,9,749250.0,4
vit-large@cifar100-22,7516,88,1131.2408392429352,8603.240839242935,9,500000.0,1
vit-large@cifar100-23,7670,10,1145.9650971889496,8815.96509718895,7,500000.0,8
vit-large@mnist-24,7719,321,1484.689355134964,9203.689355134964,5,600000.0,8
vit-large@mnist-25,7774,146,1757.6544523239136,9531.654452323914,12,600000.0,1
vit-large@Bingsu#Cat_and_Dog-26,8067,93,184.1378710269928,8251.137871026993,1,31680.0,4
vit-large@imagenet-split-1-27,8267,133,1192.8272261619568,9459.827226161957,6,749250.0,8
vit-large@Bingsu#Cat_and_Dog-28,8364,36,142.1378710269928,8506.137871026993,1,31680.0,3
vit-large@fashion_mnist-29,8718,54,832.689355134964,9508.689355134964,5,600000.0,1
vit-large@cifar100-30,8748,24,802.689355134964,9538.689355134964,5,500000.0,2
vit-large@cifar100-31,8768,112,1161.9650971889496,9929.96509718895,7,500000.0,4
vit-large@frgfm#imagenette-32,9026,94,433.4136130809784,9459.413613080978,3,66283.0,3
vit-large@frgfm#imagenette-33,9147,213,501.2757420539856,9648.275742053986,2,66283.0,4
vit-large@food101-34,9491,171,518.4136130809784,9900.413613080978,3,757500,8
vit-large@frgfm#imagenette-35,9538,62,357.2757420539856,9895.275742053986,2,66283.0,3
vit-large@frgfm#imagenette-36,9538,123,214.1378710269928,9690.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-37,9538,124,471.4136130809784,9947.413613080978,3,66283.0,1
vit-large@frgfm#imagenette-38,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-39,9539,61,415.4136130809784,9954.413613080978,3,66283.0,2
vit-large@Bingsu#Cat_and_Dog-40,9539,122,213.1378710269928,9691.137871026993,1,31680.0,1
vit-large@imagenet-split-0-41,9612,121,340.2757420539856,9844.275742053986,2,250000.0,1
vit-large@Bingsu#Cat_and_Dog-42,9707,26,245.2757420539856,9939.275742053986,2,31680.0,1
vit-large@frgfm#imagenette-43,10052,28,394.4136130809784,10446.413613080978,3,66283.0,12
vit-large@frgfm#imagenette-44,10462,98,392.2757420539856,10854.275742053986,2,66283.0,4
vit-large@food101-45,10617,63,3664.5846467018127,14281.584646701813,26,757500,2
vit-large@food101-46,10618,62,3625.44677567482,14243.44677567482,25,757500,1
vit-large@food101-47,10618,62,3764.7225177288055,14382.722517728806,27,757500,4
vit-large@frgfm#imagenette-48,10835,85,423.4136130809784,11258.413613080978,3,66283.0,4
vit-large@frgfm#imagenette-49,11194,86,319.1378710269928,11513.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-50,11370,60,165.1378710269928,11505.137871026993,1,66283.0,2
vit-large@Bingsu#Cat_and_Dog-51,11370,60,165.1378710269928,11505.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-52,11696,64,297.1378710269928,11993.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-53,11714,46,392.4136130809784,12106.413613080978,3,66283.0,3
vit-large@frgfm#imagenette-54,12033,87,440.4136130809784,12473.413613080978,3,66283.0,8
vit-large@Bingsu#Cat_and_Dog-55,12079,82,147.1378710269928,12185.137871026993,1,31680.0,1
vit-large@imagenet-split-2-56,12082,79,144.1378710269928,12188.137871026993,1,1000000.0,2
vit-large@Bingsu#Cat_and_Dog-57,12378,204,263.1378710269928,12539.137871026993,1,31680.0,1
vit-large@imagenet-split-1-58,12456,126,185.1378710269928,12617.137871026993,1,749250.0,16
vit-large@Bingsu#Cat_and_Dog-59,13108,92,183.1378710269928,13291.137871026993,1,31680.0,4
vit-large@frgfm#imagenette-60,13468,184,296.1378710269928,13672.137871026993,1,66283.0,1
vit-large@fashion_mnist-61,13470,182,294.1378710269928,13674.137871026993,1,600000.0,4
vit-large@Bingsu#Cat_and_Dog-62,13911,9,100.1378710269928,14011.137871026993,1,31680.0,4
vit-large@food101-63,14031,9,3479.1710336208344,17510.171033620834,23,757500,4
vit-large@cifar100-64,14066,188,1139.1029682159424,15111.102968215942,8,500000.0,1
