name,finish_time_fairness
vit@frgfm#imagenette-0,0.02604
vit@imagenet-split-1-1,0.01213
vit@Bingsu#Cat_and_Dog-2,0.09656
vit@food101-3,0.01243
vit@imagenet-split-0-4,0.02365
vit@Bingsu#Cat_and_Dog-5,0.11257
vit@mnist-6,0.09928
vit@Bingsu#Cat_and_Dog-7,0.08944
vit@imagenet-split-2-8,0.06243
vit@imagenet-split-1-9,0.10725
vit@imagenet-split-2-10,0.06824
vit@imagenet-split-1-11,0.07295
vit@imagenet-split-0-12,0.06372
vit@mnist-13,0.11035
vit@mnist-14,0.10991
vit@imagenet-split-0-15,0.13772
vit@imagenet-split-1-16,0.07076
vit@frgfm#imagenette-17,0.0552
vit@frgfm#imagenette-18,0.0545
vit@frgfm#imagenette-19,0.04983
vit@Bingsu#Cat_and_Dog-20,0.10047
vit@Bingsu#Cat_and_Dog-21,0.04668
vit@mnist-22,0.07961
vit@fashion_mnist-23,0.10647
vit@food101-24,0.0626
vit@food101-25,0.04269
vit@fashion_mnist-26,0.10525
vit@imagenet-split-2-27,0.03664
vit@food101-28,0.04836
vit@fashion_mnist-29,0.02258
vit@mnist-30,0.10123
vit@frgfm#imagenette-31,0.03924
vit@mnist-32,0.04355
vit@cifar100-33,0.03966
vit@frgfm#imagenette-34,0.05504
vit@imagenet-split-0-35,0.13682
vit@cifar100-36,0.04731
vit@imagenet-split-1-37,0.06999
vit@cifar100-38,0.1078
vit@imagenet-split-1-39,0.01813
vit@Bingsu#Cat_and_Dog-40,0.08517
vit@cifar100-41,0.09403
vit@mnist-42,0.10598
vit@mnist-43,0.03942
vit@imagenet-split-0-44,0.08952
vit@Bingsu#Cat_and_Dog-45,0.10154
vit@fashion_mnist-46,0.02773
vit@cifar100-47,0.04327
vit@imagenet-split-1-48,0.01372
vit@Bingsu#Cat_and_Dog-49,0.06447
vit@imagenet-split-1-50,0.04672
vit@imagenet-split-1-51,0.02959
vit@cifar100-52,0.02795
vit@imagenet-split-0-53,0.0221
vit@imagenet-split-1-54,0.00982
vit@Bingsu#Cat_and_Dog-55,0.13321
vit@imagenet-split-1-56,0.0244
vit@Bingsu#Cat_and_Dog-57,0.05237
vit@cifar100-58,0.01157
vit@imagenet-split-2-59,0.01504
vit@cifar100-60,0.029
vit@frgfm#imagenette-61,0.05488
vit@Bingsu#Cat_and_Dog-62,0.11008
vit@Bingsu#Cat_and_Dog-63,0.06981
vit@frgfm#imagenette-64,0.06057
vit@frgfm#imagenette-65,0.06528
vit@food101-66,0.01177
vit@frgfm#imagenette-67,0.06187
vit@frgfm#imagenette-68,0.04786
vit@frgfm#imagenette-69,0.05794
vit@frgfm#imagenette-70,0.06168
vit@frgfm#imagenette-71,0.04718
vit@frgfm#imagenette-72,0.06187
vit@frgfm#imagenette-73,0.0552
vit@Bingsu#Cat_and_Dog-74,0.05949
vit@imagenet-split-0-75,0.00479
vit@Bingsu#Cat_and_Dog-76,0.02817
vit@frgfm#imagenette-77,0.04135
vit@mnist-78,0.0122
vit@Bingsu#Cat_and_Dog-79,0.13785
vit@frgfm#imagenette-80,0.04702
vit@Bingsu#Cat_and_Dog-81,0.06518
vit@food101-82,0.00568
vit@imagenet-split-2-83,0.06322
vit@food101-84,0.06388
vit@food101-85,0.06683
vit@imagenet-split-2-86,0.06993
vit@frgfm#imagenette-87,0.09788
vit@fashion_mnist-88,0.06067
vit@frgfm#imagenette-89,0.11828
vit@frgfm#imagenette-90,0.0628
vit@Bingsu#Cat_and_Dog-91,0.0809
vit@frgfm#imagenette-92,0.05826
vit@frgfm#imagenette-93,0.05813
vit@mnist-94,0.04272
vit@frgfm#imagenette-95,0.02832
vit@Bingsu#Cat_and_Dog-96,0.06198
vit@frgfm#imagenette-97,0.06574
vit@Bingsu#Cat_and_Dog-98,0.05237
vit@imagenet-split-2-99,0.00511
vit@Bingsu#Cat_and_Dog-100,0.05949
vit@imagenet-split-1-101,0.02857
vit@frgfm#imagenette-102,0.08706
vit@Bingsu#Cat_and_Dog-103,0.03778
vit@imagenet-split-1-104,0.08708
vit@Bingsu#Cat_and_Dog-105,0.10332
vit@fashion_mnist-106,0.02084
vit@frgfm#imagenette-107,0.06282
vit@fashion_mnist-108,0.08202
vit@imagenet-split-2-109,0.07086
vit@Bingsu#Cat_and_Dog-110,0.07378
vit@food101-111,0.09175
vit@Bingsu#Cat_and_Dog-112,0.05771
vit@food101-113,0.00503
vit@cifar100-114,0.02029
vit@frgfm#imagenette-115,0.04574
