name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,150,235.16124963760376,205.16124963760376,1,85221.0,1
vit@imagenet-split-1-1,92,103,188.16124963760376,252.16124963760376,1,750000,4
vit@Bingsu#Cat_and_Dog-2,766,148,345.3224992752075,1037.3224992752075,2,63680.0,1
vit@food101-3,786,128,325.3224992752075,1057.3224992752075,2,757500.0,8
vit@imagenet-split-0-4,1280,40,394.4837489128113,1674.4837489128113,3,250000.0,4
vit@Bingsu#Cat_and_Dog-5,1322,118,316.3224992752075,1638.3224992752075,2,63680.0,1
vit@mnist-6,1576,104,1709.6124963760376,3285.6124963760376,10,600000.0,2
vit@Bingsu#Cat_and_Dog-7,1747,53,251.32249927520752,1998.3224992752075,2,63680.0,1
vit@imagenet-split-2-8,1987,53,2683.0637431144714,4670.063743114471,19,1000000.0,1
vit@imagenet-split-1-9,2229,51,857.9674978256226,3086.9674978256226,6,750000,1
vit@imagenet-split-2-10,2296,104,2715.9024934768677,5011.902493476868,18,1000000.0,3
vit@imagenet-split-1-11,2634,6,660.8062481880188,3294.806248188019,5,750000,4
vit@imagenet-split-0-12,2660,100,572.4837489128113,3232.4837489128113,3,250000.0,1
vit@mnist-13,3002,118,1790.9349956512451,4792.934995651245,12,600000.0,2
vit@mnist-14,3002,118,1791.0962452888489,4793.096245288849,13,600000.0,2
vit@imagenet-split-0-15,3014,106,555.3224992752075,3569.3224992752075,2,250000.0,2
vit@imagenet-split-1-16,3350,10,904.9674978256226,4254.967497825623,6,750000,1
vit@frgfm#imagenette-17,3459,21,349.4837489128113,3808.4837489128113,3,85221.0,2
vit@frgfm#imagenette-18,3853,107,419.4837489128113,4272.483748912811,3,85221.0,3
vit@frgfm#imagenette-19,4072,8,326.4837489128113,4398.483748912811,3,85221.0,3
vit@Bingsu#Cat_and_Dog-20,4256,64,154.16124963760376,4410.161249637604,1,63680.0,4
vit@Bingsu#Cat_and_Dog-21,4295,25,223.32249927520752,4518.3224992752075,2,63680.0,1
vit@mnist-22,4853,134,1519.9349956512451,6305.934995651245,12,600000.0,8
vit@fashion_mnist-23,4853,134,577.4837489128113,5363.483748912811,3,600000.0,8
vit@food101-24,4906,81,524.4837489128113,5416.483748912811,3,757500.0,2
vit@food101-25,4906,81,1466.9349956512451,6358.934995651245,12,757500.0,2
vit@fashion_mnist-26,5098,62,762.644998550415,5860.644998550415,4,600000.0,1
vit@imagenet-split-2-27,6003,126,1784.0962452888489,7670.096245288849,13,1000000.0,2
vit@food101-28,6111,18,1676.0962452888489,7778.096245288849,13,757500.0,2
vit@fashion_mnist-29,6432,96,533.4837489128113,6917.483748912811,3,600000.0,1
vit@mnist-30,6467,61,498.4837489128113,6952.483748912811,3,600000.0,8
vit@frgfm#imagenette-31,6828,12,319.4837489128113,7147.483748912811,3,85221.0,1
vit@mnist-32,6858,102,2084.741243839264,8942.741243839264,17,600000.0,1
vit@cifar100-33,7000,80,388.3224992752075,7388.3224992752075,2,500000.0,1
