name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,75,187.39900946617126,232.39900946617126,1,9170,2
roberta-base@qnli-1,786,54,250.3929901123047,1036.3929901123047,1,261860,16
roberta-base@qnli-2,1280,40,236.3929901123047,1516.3929901123047,1,261860,16
roberta-base@sst2-3,1987,53,285.7859802246094,2272.7859802246094,2,168380,2
roberta-base@qnli-4,2634,6,321.79199957847595,2955.791999578476,2,261860,16
roberta-base@qnli-5,2660,100,296.3929901123047,2956.3929901123047,1,261860,16
roberta-base@qnli-6,3002,118,314.3929901123047,3316.3929901123047,1,261860,16
roberta-base@stsb-7,3459,21,132.39900946617126,3591.3990094661713,1,12942.0,4
roberta-base@rte-8,4072,8,101.39900946617126,4173.399009466171,1,4984.0,2
roberta-base@qnli-9,4853,134,331.7859802246094,5117.785980224609,2,261860,8
roberta-base@mnli-10,4906,81,278.7859802246094,5170.785980224609,2,883584.0,2
roberta-base@qqp-11,6003,234,691.3929901123047,6577.392990112305,1,909620.0,16
roberta-base@mnli-12,6111,126,583.3929901123047,6685.392990112305,1,883584.0,2
roberta-base@qnli-13,7246,74,270.3929901123047,7516.392990112305,1,261860,16
roberta-base@sst2-14,7328,112,336.79199957847595,7664.791999578476,2,168380,16
roberta-base@wnli-15,7516,44,106.39900946617126,7622.399009466171,1,159.0,1
roberta-base@sst2-16,7774,26,258.7859802246094,8032.785980224609,2,168380,2
roberta-base@rte-17,8067,93,186.39900946617126,8253.399009466171,1,4984.0,2
roberta-base@sst2-18,8267,13,241.79199957847595,8508.791999578476,2,168380,8
roberta-base@rte-19,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@stsb-20,8718,84,125.39299011230469,8801.392990112305,1,12942.0,1
roberta-base@qnli-21,8748,54,95.39299011230469,8831.392990112305,1,261860,2
roberta-base@qnli-22,8768,112,308.3929901123047,9076.392990112305,1,261860,16
roberta-base@wnli-23,9147,93,154.39900946617126,9301.399009466171,1,159.0,2
roberta-base@wnli-24,9538,124,186.39900946617126,9662.399009466171,1,159.0,1
roberta-base@mrpc-25,9538,124,186.39900946617126,9662.399009466171,1,9170,1
roberta-base@wnli-26,9538,62,124.39900946617126,9662.399009466171,1,159.0,1
roberta-base@wnli-27,9539,61,95.39299011230469,9634.392990112305,1,159.0,1
roberta-base@qnli-28,9612,121,183.39900946617126,9687.399009466171,1,261860,1
roberta-base@wnli-29,9707,26,88.39900946617126,9782.399009466171,1,159.0,1
roberta-base@wnli-30,10052,28,89.39900946617126,10141.399009466171,1,159.0,2
roberta-base@rte-31,10462,98,191.39900946617126,10653.399009466171,1,4984.0,2
roberta-base@snli-32,10617,125,570.3929901123047,11124.392990112305,1,1373440,8
roberta-base@mnli-33,10618,124,569.3929901123047,11125.392990112305,1,883584.0,8
roberta-base@rte-34,11194,86,179.39900946617126,11373.399009466171,1,4984.0,2
roberta-base@rte-35,11696,128,176.3929901123047,11808.392990112305,1,4984.0,1
roberta-base@stsb-36,11714,110,158.3929901123047,11826.392990112305,1,12942.0,1
roberta-base@stsb-37,12079,82,126.39299011230469,12164.392990112305,1,12942.0,1
roberta-base@snli-38,12082,79,123.39299011230469,12167.392990112305,1,1373440,8
roberta-base@sst2-39,12456,24,256.7859802246094,12712.78598022461,2,168380,2
roberta-base@stsb-40,13108,92,203.39900946617126,13311.399009466171,1,12942.0,4
roberta-base@rte-41,13468,184,220.3929901123047,13596.392990112305,1,4984.0,1
roberta-base@qnli-42,13470,182,218.3929901123047,13598.392990112305,1,261860,4
roberta-base@wnli-43,13911,9,70.39900946617126,13981.399009466171,1,159.0,2
roberta-base@qqp-44,14031,9,1164.3639600276947,15195.363960027695,6,909620.0,2
roberta-base@qnli-45,14066,188,519.1849896907806,14491.18498969078,3,261860,1
roberta-base@qqp-46,14109,145,476.18498969078064,14534.18498969078,3,909620.0,8
roberta-base@sst2-47,14275,5,428.5900185108185,14703.590018510818,4,168380,1
roberta-base@qnli-48,15165,75,271.3929901123047,15436.392990112305,1,261860,16
roberta-base@sst2-49,15342,18,242.79199957847595,15584.791999578476,2,168380,16
roberta-base@rte-50,16030,50,143.39900946617126,16173.399009466171,1,4984.0,2
roberta-base@mrpc-51,16773,27,139.39900946617126,16912.39900946617,1,9170,2
roberta-base@mrpc-52,17132,56,93.39299011230469,17197.392990112305,1,9170,1
roberta-base@qnli-53,17159,29,66.39299011230469,17224.392990112305,1,261860,2
roberta-base@qqp-54,17263,17,955.7859802246094,18218.78598022461,2,909620.0,8
roberta-base@wnli-55,18187,53,114.39900946617126,18301.39900946617,1,159.0,2
roberta-base@sst2-56,18254,106,338.7859802246094,18592.78598022461,2,168380,2
roberta-base@rte-57,18835,5,98.39900946617126,18933.39900946617,1,4984.0,2
roberta-base@qnli-58,19136,127,335.79199957847595,19407.791999578476,2,261860,8
roberta-base@qqp-59,19137,63,1352.9769892692566,20489.976989269257,5,909620.0,16
roberta-base@sst2-60,19137,126,334.79199957847595,19408.791999578476,2,168380,8
roberta-base@stsb-61,19211,218,294.39900946617126,19396.39900946617,1,12942.0,1
roberta-base@sst2-62,19247,73,463.1910090446472,19710.191009044647,3,168380,1
roberta-base@sst2-63,19247,182,258.39900946617126,19432.39900946617,1,168380,8
roberta-base@mnli-64,20006,34,599.7859802246094,20605.78598022461,2,883584.0,2
roberta-base@stsb-65,21258,204,245.3929901123047,21401.392990112305,1,12942.0,1
roberta-base@qnli-66,21333,129,170.3929901123047,21476.392990112305,1,261860,1
roberta-base@qnli-67,21547,105,313.39900946617126,21807.39900946617,1,261860,8
roberta-base@qnli-68,21547,105,327.7859802246094,21821.78598022461,2,261860,8
roberta-base@sst2-69,21548,104,326.7859802246094,21822.78598022461,2,168380,8
roberta-base@qnli-70,21548,52,373.17897033691406,21921.178970336914,3,261860,4
roberta-base@sst2-71,21548,104,312.39900946617126,21808.39900946617,1,168380,8
roberta-base@rte-72,21891,69,162.39900946617126,22053.39900946617,1,4984.0,2
roberta-base@qnli-73,22260,60,256.3929901123047,22516.392990112305,1,261860,16
roberta-base@mrpc-74,22395,45,157.39900946617126,22552.39900946617,1,9170,2
roberta-base@qnli-75,22654,52,611.791999578476,23239.791999578476,2,261860,8
roberta-base@sst2-76,22654,52,611.791999578476,23239.791999578476,2,168380,8
roberta-base@qnli-77,22654,26,843.5779798030853,23497.577979803085,4,261860,4
roberta-base@qnli-78,22654,26,730.7859802246094,23384.78598022461,2,261860,4
roberta-base@sst2-79,22655,25,739.5900185108185,23394.59001851082,4,168380,1
roberta-base@sst2-80,22655,25,610.1849896907806,23265.18498969078,3,168380,2
roberta-base@qnli-81,22655,25,842.5779798030853,23497.577979803085,4,261860,4
roberta-base@sst2-82,22655,25,738.9830086231232,23393.983008623123,5,168380,4
roberta-base@sst2-83,22655,25,739.5900185108185,23394.59001851082,4,168380,1
roberta-base@sst2-84,22655,25,739.5900185108185,23394.59001851082,4,168380,1
roberta-base@qnli-85,22655,25,729.7859802246094,23384.78598022461,2,261860,4
roberta-base@qnli-86,22655,25,890.791999578476,23545.791999578476,2,261860,1
roberta-base@qnli-87,22655,25,865.1910090446472,23520.191009044647,3,261860,3
roberta-base@sst2-88,23166,114,451.18498969078064,23617.18498969078,3,168380,12
roberta-base@sst2-89,23298,204,438.79199957847595,23634.791999578476,2,168380,8
roberta-base@qnli-90,23298,204,438.79199957847595,23634.791999578476,2,261860,8
roberta-base@qnli-91,23833,47,243.3929901123047,24076.392990112305,1,261860,16
roberta-base@sst2-92,24306,54,286.7859802246094,24592.78598022461,2,168380,2
roberta-base@sst2-93,24583,17,245.79199957847595,24828.791999578476,2,168380,8
roberta-base@sst2-94,24611,218,329.3929901123047,24831.392990112305,1,168380,1
roberta-base@qnli-95,24715,114,225.3929901123047,24935.392990112305,1,261860,1
roberta-base@stsb-96,25165,35,146.39900946617126,25311.39900946617,1,12942.0,4
roberta-base@qnli-97,25326,114,310.3929901123047,25636.392990112305,1,261860,16
roberta-base@sst2-98,25475,85,309.79199957847595,25784.791999578476,2,168380,16
roberta-base@sst2-99,25688,112,344.7859802246094,26032.78598022461,2,168380,2
roberta-base@rte-100,25946,94,187.39900946617126,26133.39900946617,1,4984.0,2
roberta-base@rte-101,26066,188,276.39900946617126,26248.39900946617,1,4984.0,1
roberta-base@mrpc-102,26099,155,243.39900946617126,26281.39900946617,1,9170,1
roberta-base@wnli-103,26344,56,117.39900946617126,26461.39900946617,1,159.0,2
roberta-base@sst2-104,26539,101,333.7859802246094,26872.78598022461,2,168380,2
roberta-base@qnli-105,26857,23,219.3929901123047,27076.392990112305,1,261860,16
roberta-base@qnli-106,27150,90,548.5900185108185,27698.59001851082,4,261860,8
roberta-base@qnli-107,27150,90,286.3929901123047,27436.392990112305,1,261860,16
roberta-base@wnli-108,27157,83,145.39900946617126,27302.39900946617,1,159.0,1
roberta-base@sst2-109,27565,35,267.7859802246094,27832.78598022461,2,168380,2
roberta-base@sst2-110,27871,89,321.7859802246094,28192.78598022461,2,168380,2
roberta-base@sst2-111,28092,216,543.791999578476,28527.791999578476,2,168380,8
roberta-base@qnli-112,28092,216,543.791999578476,28527.791999578476,2,261860,8
roberta-base@sst2-113,28092,216,543.791999578476,28527.791999578476,2,168380,8
roberta-base@sst2-114,28092,108,427.7859802246094,28519.78598022461,2,168380,2
roberta-base@sst2-115,28093,107,426.7859802246094,28519.78598022461,2,168380,2
roberta-base@qnli-116,28093,215,542.791999578476,28528.791999578476,2,261860,8
roberta-base@sst2-117,28093,107,581.5900185108185,28674.59001851082,4,168380,3
roberta-base@sst2-118,28093,107,586.5839991569519,28679.583999156952,4,168380,1
roberta-base@sst2-119,28634,46,278.7859802246094,28912.78598022461,2,168380,2
