name,finish_time_fairness
roberta-large@qnli-0,0.02928
roberta-large@sst2-1,0.12455
roberta-large@qnli-2,0.08209
roberta-large@mnli-3,0.12902
roberta-large@qqp-4,0.10132
roberta-large@mnli-5,0.15311
roberta-large@wnli-6,0.62229
roberta-large@rte-7,0.22211
roberta-large@qnli-8,0.08862
roberta-large@qnli-9,0.04888
roberta-large@rte-10,0.30597
roberta-large@wnli-11,0.83254
roberta-large@mrpc-12,0.23151
roberta-large@wnli-13,0.83254
roberta-large@wnli-14,0.54023
roberta-large@mrpc-15,0.39329
roberta-large@sst2-16,0.16965
roberta-large@qnli-17,0.05741
roberta-large@rte-18,0.25182
roberta-large@stsb-19,0.17869
roberta-large@sst2-20,0.51318
roberta-large@sst2-21,0.24289
roberta-large@qqp-22,0.19605
roberta-large@qqp-23,0.18729
roberta-large@sst2-24,0.0429
roberta-large@rte-25,0.23541
roberta-large@mrpc-26,0.29347
roberta-large@sst2-27,0.41086
roberta-large@sst2-28,0.29652
roberta-large@sst2-29,0.398
roberta-large@qnli-30,0.05239
roberta-large@stsb-31,0.38986
roberta-large@sst2-32,0.50402
roberta-large@qnli-33,0.13807
roberta-large@mrpc-34,0.23008
roberta-large@qnli-35,0.17912
roberta-large@wnli-36,0.75049
roberta-large@qnli-37,0.15224
roberta-large@sst2-38,0.55575
roberta-large@sst2-39,0.61667
roberta-large@sst2-40,0.57534
roberta-large@qnli-41,0.16893
roberta-large@sst2-42,0.56029
roberta-large@sst2-43,0.57614
roberta-large@sst2-44,0.42891
roberta-large@sst2-45,0.42691
roberta-large@qnli-46,0.1323
roberta-large@qnli-47,0.02713
roberta-large@sst2-48,0.42891
roberta-large@sst2-49,0.40997
roberta-large@rte-50,0.31729
roberta-large@wnli-51,0.70946
roberta-large@stsb-52,0.3363
roberta-large@qnli-53,0.03302
roberta-large@qnli-54,0.06366
roberta-large@qnli-55,0.05007
roberta-large@wnli-56,0.94023
roberta-large@sst2-57,0.43289
roberta-large@qnli-58,0.16538
roberta-large@sst2-59,0.60371
