name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,232.92240047454834,202.92240047454834,1,66283.0,1
vit-large@imagenet-split-1-1,92,103,185.92240047454834,249.92240047454834,1,749250.0,4
vit-large@food101-2,786,54,2157.767201423645,2943.767201423645,3,757500,1
vit-large@imagenet-split-0-3,1280,40,735.9224004745483,2015.9224004745483,1,250000.0,8
vit-large@imagenet-split-0-4,1987,53,860.9826719760895,2847.9826719760895,3,250000.0,1
vit-large@imagenet-split-1-5,2229,51,620.0602715015411,2849.060271501541,2,749250.0,8
vit-large@imagenet-split-1-6,2634,6,692.3360135555267,3326.3360135555267,4,749250.0,8
vit-large@imagenet-split-0-7,2660,100,913.9050724506378,3573.905072450638,4,250000.0,3
vit-large@mnist-8,3002,118,807.9224004745483,3809.9224004745483,1,600000.0,12
vit-large@frgfm#imagenette-9,3459,21,226.92240047454834,3685.9224004745483,1,66283.0,4
vit-large@frgfm#imagenette-10,3853,107,324.92240047454834,4177.922400474548,1,66283.0,8
vit-large@frgfm#imagenette-11,4072,8,225.92240047454834,4297.922400474548,1,66283.0,8
vit-large@mnist-12,4853,67,756.9224004745483,5609.922400474548,1,600000.0,12
vit-large@food101-13,4906,14,2007.767201423645,6913.767201423645,3,757500,4
vit-large@fashion_mnist-14,5098,62,886.9826719760895,5984.9826719760895,3,600000.0,8
vit-large@imagenet-split-2-15,6003,126,927.8448009490967,6813.844800949097,2,1000000.0,8
vit-large@food101-16,6111,18,819.8448009490967,6921.844800949097,2,757500,2
vit-large@imagenet-split-0-17,7246,74,895.1205430030823,8141.120543003082,4,250000.0,2
vit-large@cifar100-18,7246,74,878.9050724506378,8124.905072450638,4,500000.0,2
vit-large@imagenet-split-1-19,7328,122,717.5514841079712,7933.551484107971,4,749250.0,4
vit-large@cifar100-20,7430,20,615.5514841079712,8035.551484107971,4,500000.0,4
vit-large@imagenet-split-1-21,7490,114,809.4738845825195,8229.47388458252,5,749250.0,4
vit-large@cifar100-22,7516,88,783.4738845825195,8255.47388458252,5,500000.0,1
vit-large@cifar100-23,7670,10,1064.02561545372,8734.02561545372,8,500000.0,3
vit-large@mnist-24,7719,81,915.9826719760895,8634.98267197609,3,600000.0,8
vit-large@mnist-25,7774,26,1202.02561545372,8976.02561545372,8,600000.0,1
vit-large@Bingsu#Cat_and_Dog-26,8067,93,184.1378710269928,8251.137871026993,1,31680.0,4
vit-large@imagenet-split-1-27,8267,13,728.4136130809784,8995.413613080978,3,749250.0,12
vit-large@Bingsu#Cat_and_Dog-28,8364,36,127.1378710269928,8491.137871026993,1,31680.0,4
vit-large@fashion_mnist-29,8718,54,637.9050724506378,9313.905072450638,4,600000.0,1
vit-large@cifar100-30,8748,24,607.9050724506378,9343.905072450638,4,500000.0,2
vit-large@cifar100-31,8768,112,1056.3186855316162,9824.318685531616,7,500000.0,8
vit-large@frgfm#imagenette-32,9026,94,299.92240047454834,9325.922400474548,1,66283.0,4
vit-large@frgfm#imagenette-33,9147,93,298.92240047454834,9445.922400474548,1,66283.0,4
vit-large@food101-34,9491,171,354.1378710269928,9736.137871026993,1,757500,8
vit-large@frgfm#imagenette-35,9538,62,267.92240047454834,9805.922400474548,1,66283.0,4
vit-large@frgfm#imagenette-36,9538,62,267.92240047454834,9805.922400474548,1,66283.0,4
vit-large@frgfm#imagenette-37,9538,124,307.1378710269928,9783.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-38,9538,62,267.92240047454834,9805.922400474548,1,66283.0,4
vit-large@frgfm#imagenette-39,9539,61,266.92240047454834,9805.922400474548,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-40,9539,61,152.1378710269928,9691.137871026993,1,31680.0,4
vit-large@imagenet-split-0-41,9612,121,226.1378710269928,9730.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-42,9707,26,131.1378710269928,9825.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-43,10052,28,245.92240047454834,10297.922400474548,1,66283.0,8
vit-large@frgfm#imagenette-44,10462,98,431.9826719760895,10893.98267197609,3,66283.0,1
vit-large@food101-45,10617,63,2318.594674348831,12935.594674348831,8,757500,8
vit-large@food101-46,10618,62,2210.53440284729,12828.53440284729,6,757500,8
vit-large@food101-47,10618,62,1941.9224004745483,12559.922400474548,1,757500,4
vit-large@frgfm#imagenette-48,10835,85,290.92240047454834,11125.922400474548,1,66283.0,4
vit-large@frgfm#imagenette-49,11194,86,419.19814252853394,11613.198142528534,3,66283.0,3
vit-large@frgfm#imagenette-50,11370,30,235.92240047454834,11605.922400474548,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-51,11370,30,121.1378710269928,11491.137871026993,1,31680.0,4
