name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,150,462.96465611457825,432.96465611457825,2,85221.0,1
vit@imagenet-split-1-1,92,103,415.96465611457825,479.96465611457825,2,750000,4
vit@Bingsu#Cat_and_Dog-2,766,148,466.96465611457825,1158.9646561145782,2,63680.0,1
vit@food101-3,786,128,446.96465611457825,1178.9646561145782,2,757500.0,8
vit@imagenet-split-0-4,1280,40,272.96465611457825,1552.9646561145782,1,250000.0,16
vit@Bingsu#Cat_and_Dog-5,1322,118,208.16124963760376,1530.1612496376038,1,63680.0,4
vit@mnist-6,1576,104,931.9293122291565,2507.9293122291565,2,600000.0,4
vit@Bingsu#Cat_and_Dog-7,1747,53,143.16124963760376,1890.1612496376038,1,63680.0,4
vit@imagenet-split-2-8,1987,53,1575.0905618667603,3562.0905618667603,5,1000000.0,2
vit@imagenet-split-1-9,2229,51,728.2871553897858,2957.2871553897858,4,750000,8
vit@imagenet-split-2-10,2296,104,1513.0905618667603,3809.0905618667603,4,1000000.0,2
vit@imagenet-split-1-11,2634,6,699.644998550415,3333.644998550415,5,750000,8
vit@imagenet-split-0-12,2660,100,336.96465611457825,2996.9646561145782,1,250000.0,8
vit@mnist-13,3002,118,824.9646561145782,3826.9646561145782,1,600000.0,4
vit@mnist-14,3002,118,824.9646561145782,3826.9646561145782,1,600000.0,4
vit@imagenet-split-0-15,3014,106,444.4837489128113,3458.4837489128113,3,250000.0,4
vit@imagenet-split-1-16,3350,10,812.2871553897858,4162.287155389786,5,750000,8
vit@frgfm#imagenette-17,3459,21,236.96465611457825,3695.9646561145782,1,85221.0,4
vit@frgfm#imagenette-18,3853,107,560.9646561145782,4413.964656114578,3,85221.0,8
vit@frgfm#imagenette-19,4072,8,341.96465611457825,4413.964656114578,2,85221.0,8
vit@Bingsu#Cat_and_Dog-20,4256,64,154.16124963760376,4410.161249637604,1,63680.0,4
vit@Bingsu#Cat_and_Dog-21,4295,25,115.16124963760376,4410.161249637604,1,63680.0,4
vit@mnist-22,4853,134,1057.251811504364,5843.251811504364,5,600000.0,8
vit@fashion_mnist-23,4853,67,628.3224992752075,5481.3224992752075,4,600000.0,16
vit@food101-24,4906,81,1004.251811504364,5896.251811504364,5,757500.0,2
vit@food101-25,4906,14,1184.0905618667603,6090.09056186676,4,757500.0,8
vit@fashion_mnist-26,5098,62,523.2871553897858,5621.287155389786,3,600000.0,2
vit@imagenet-split-2-27,6003,126,963.9293122291565,6849.9293122291565,3,1000000.0,2
vit@food101-28,6111,18,855.9293122291565,6957.9293122291565,3,757500.0,2
vit@fashion_mnist-29,6432,48,382.3224992752075,6814.3224992752075,2,600000.0,8
vit@mnist-30,6467,13,1299.0552179813385,7766.0552179813385,6,600000.0,1
vit@frgfm#imagenette-31,6828,12,227.96465611457825,7055.964656114578,1,85221.0,4
vit@mnist-32,6858,102,1147.0552179813385,8005.0552179813385,4,600000.0,4
vit@cifar100-33,7000,80,388.3224992752075,7388.3224992752075,2,500000.0,1
vit@frgfm#imagenette-34,7190,10,345.96465611457825,7535.964656114578,2,85221.0,4
vit@imagenet-split-0-35,7246,74,501.9293122291565,7747.9293122291565,2,250000.0,3
vit@cifar100-36,7246,74,416.4837489128113,7662.483748912811,3,500000.0,12
vit@imagenet-split-1-37,7328,122,710.4837489128113,7926.483748912811,5,750000,4
vit@cifar100-38,7430,20,608.4837489128113,8028.483748912811,5,500000.0,4
vit@imagenet-split-1-39,7490,354,419.16124963760376,7719.161249637604,1,750000,4
vit@Bingsu#Cat_and_Dog-40,7516,328,393.16124963760376,7745.161249637604,1,63680.0,1
vit@cifar100-41,7670,10,574.2871553897858,8244.287155389786,4,500000.0,8
vit@mnist-42,7719,81,1368.2164676189423,9087.216467618942,6,600000.0,4
vit@mnist-43,7774,26,959.0905618667603,8733.09056186676,3,600000.0,3
vit@imagenet-split-0-44,7814,106,440.125905752182,8254.125905752182,2,250000.0,8
vit@Bingsu#Cat_and_Dog-45,7949,182,239.16124963760376,8097.161249637604,1,63680.0,1
vit@fashion_mnist-46,8016,115,172.16124963760376,8164.161249637604,1,600000.0,4
vit@cifar100-47,8044,476,1283.8062481880188,9327.806248188019,7,500000.0,4
vit@imagenet-split-1-48,8065,188,276.16124963760376,8246.161249637604,1,750000,4
vit@Bingsu#Cat_and_Dog-49,8067,186,274.16124963760376,8248.161249637604,1,63680.0,1
vit@imagenet-split-1-50,8169,111,813.2871553897858,8982.287155389786,3,750000,4
vit@imagenet-split-1-51,8245,35,1107.9674978256226,9352.967497825623,9,750000,12
vit@cifar100-52,8260,260,955.251811504364,9215.251811504364,4,500000.0,2
vit@imagenet-split-0-53,8264,32,708.125905752182,8956.125905752182,5,250000.0,1
vit@imagenet-split-1-54,8267,29,705.125905752182,8959.125905752182,5,750000,1
vit@Bingsu#Cat_and_Dog-55,8364,72,389.96465611457825,8717.964656114578,2,63680.0,1
vit@imagenet-split-1-56,8389,47,364.96465611457825,8742.964656114578,2,750000,1
vit@Bingsu#Cat_and_Dog-57,8718,84,148.16124963760376,8824.161249637604,1,63680.0,1
vit@cifar100-58,8748,54,118.16124963760376,8854.161249637604,1,500000.0,2
vit@imagenet-split-2-59,8767,353,1860.2164676189423,10627.216467618942,5,1000000.0,8
vit@cifar100-60,8768,171,602.9646561145782,9258.964656114578,3,500000.0,1
vit@frgfm#imagenette-61,8821,118,549.9646561145782,9311.964656114578,3,85221.0,1
vit@Bingsu#Cat_and_Dog-62,8909,91,181.16124963760376,9090.161249637604,1,63680.0,4
