name,finish_time_fairness
vit@frgfm#imagenette-0,0.06308
vit@imagenet-split-1-1,0.02939
vit@Bingsu#Cat_and_Dog-2,0.13985
vit@food101-3,0.01801
vit@imagenet-split-0-4,0.0165
vit@Bingsu#Cat_and_Dog-5,0.07408
vit@mnist-6,0.05393
vit@Bingsu#Cat_and_Dog-7,0.05095
vit@imagenet-split-2-8,0.03703
vit@imagenet-split-1-9,0.09104
vit@imagenet-split-2-10,0.03558
vit@imagenet-split-1-11,0.053
vit@imagenet-split-0-12,0.03887
vit@mnist-13,0.04774
vit@mnist-14,0.04774
vit@imagenet-split-0-15,0.09222
vit@imagenet-split-1-16,0.06154
vit@frgfm#imagenette-17,0.03853
vit@frgfm#imagenette-18,0.09121
vit@frgfm#imagenette-19,0.0556
vit@Bingsu#Cat_and_Dog-20,0.05486
vit@Bingsu#Cat_and_Dog-21,0.04098
vit@mnist-22,0.05731
vit@fashion_mnist-23,0.10759
vit@food101-24,0.03073
vit@food101-25,0.03675
vit@fashion_mnist-26,0.0896
vit@imagenet-split-2-27,0.01991
vit@food101-28,0.02629
vit@fashion_mnist-29,0.01444
vit@mnist-30,0.07518
vit@frgfm#imagenette-31,0.03707
vit@mnist-32,0.0265
vit@cifar100-33,0.0176
vit@frgfm#imagenette-34,0.05625
vit@imagenet-split-0-35,0.10413
vit@cifar100-36,0.0486
vit@imagenet-split-1-37,0.04534
vit@cifar100-38,0.06983
vit@imagenet-split-1-39,0.01736
vit@Bingsu#Cat_and_Dog-40,0.08155
vit@cifar100-41,0.06701
vit@mnist-42,0.07987
vit@mnist-43,0.02216
vit@imagenet-split-0-44,0.09131
vit@Bingsu#Cat_and_Dog-45,0.05273
vit@fashion_mnist-46,0.0144
vit@cifar100-47,0.0582
vit@imagenet-split-1-48,0.01372
vit@Bingsu#Cat_and_Dog-49,0.06447
vit@imagenet-split-1-50,0.06161
vit@imagenet-split-1-51,0.02977
vit@cifar100-52,0.0433
vit@imagenet-split-0-53,0.04185
vit@imagenet-split-1-54,0.0186
vit@Bingsu#Cat_and_Dog-55,0.12597
vit@imagenet-split-1-56,0.00951
vit@Bingsu#Cat_and_Dog-57,0.03778
vit@cifar100-58,0.00835
vit@imagenet-split-2-59,0.04374
vit@cifar100-60,0.02226
vit@frgfm#imagenette-61,0.07983
vit@Bingsu#Cat_and_Dog-62,0.06447
vit@Bingsu#Cat_and_Dog-63,0.06411
vit@frgfm#imagenette-64,0.0504
vit@frgfm#imagenette-65,0.06943
vit@food101-66,0.01215
vit@frgfm#imagenette-67,0.06363
vit@frgfm#imagenette-68,0.06471
vit@frgfm#imagenette-69,0.04542
vit@frgfm#imagenette-70,0.04574
vit@frgfm#imagenette-71,0.06213
vit@frgfm#imagenette-72,0.06213
vit@frgfm#imagenette-73,0.06197
vit@Bingsu#Cat_and_Dog-74,0.05379
vit@imagenet-split-0-75,0.00618
vit@Bingsu#Cat_and_Dog-76,0.03636
vit@frgfm#imagenette-77,0.03934
vit@mnist-78,0.0129
vit@Bingsu#Cat_and_Dog-79,0.14578
vit@frgfm#imagenette-80,0.05073
vit@Bingsu#Cat_and_Dog-81,0.07088
vit@food101-82,0.0684
vit@imagenet-split-2-83,0.0658
vit@food101-84,0.06023
vit@food101-85,0.06085
vit@imagenet-split-2-86,0.00468
vit@frgfm#imagenette-87,0.0785
vit@fashion_mnist-88,0.04866
vit@frgfm#imagenette-89,0.14971
vit@frgfm#imagenette-90,0.06634
vit@Bingsu#Cat_and_Dog-91,0.08547
vit@frgfm#imagenette-92,0.04574
vit@frgfm#imagenette-93,0.0426
vit@mnist-94,0.00957
vit@frgfm#imagenette-95,0.06802
