name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,75,187.39900946617126,232.39900946617126,1,9170,2
roberta-base@qnli-1,786,54,293.39900946617126,1079.3990094661713,1,261860,20
roberta-base@qnli-2,1280,40,279.39900946617126,1559.3990094661713,1,261860,20
roberta-base@sst2-3,1987,53,400.1970283985138,2387.197028398514,3,168380,8
roberta-base@qnli-4,2634,6,422.1970283985138,3056.197028398514,3,261860,8
roberta-base@qnli-5,2660,100,578.5960378646851,3238.596037864685,4,261860,8
roberta-base@qnli-6,3002,118,357.39900946617126,3359.3990094661713,1,261860,20
roberta-base@stsb-7,3459,21,96.39299011230469,3555.3929901123047,1,12942.0,2
roberta-base@rte-8,4072,8,127.39900946617126,4199.399009466171,1,4984.0,1
roberta-base@qnli-9,4853,134,488.1910090446472,5274.191009044647,3,261860,8
roberta-base@mnli-10,4906,81,435.1910090446472,5327.191009044647,3,883584.0,2
roberta-base@qqp-11,6003,234,1204.3940567970276,7090.394056797028,6,909620.0,16
roberta-base@mnli-12,6111,126,1096.3940567970276,7198.394056797028,6,883584.0,2
roberta-base@qnli-13,7246,74,490.1970283985138,7736.197028398514,3,261860,8
roberta-base@sst2-14,7328,112,332.79199957847595,7660.791999578476,2,168380,12
roberta-base@wnli-15,7516,44,106.39900946617126,7622.399009466171,1,159.0,1
roberta-base@sst2-16,7774,26,373.1970283985138,8147.197028398514,3,168380,8
roberta-base@rte-17,8067,93,212.39900946617126,8279.399009466171,1,4984.0,1
roberta-base@sst2-18,8267,13,360.1970283985138,8627.197028398514,3,168380,8
roberta-base@rte-19,8364,36,98.39299011230469,8462.392990112305,1,4984.0,1
roberta-base@stsb-20,8718,84,153.39900946617126,8829.399009466171,1,12942.0,1
roberta-base@qnli-21,8748,54,123.39900946617126,8859.399009466171,1,261860,2
roberta-base@qnli-22,8768,112,351.39900946617126,9119.399009466171,1,261860,20
roberta-base@wnli-23,9147,93,155.39900946617126,9302.399009466171,1,159.0,1
roberta-base@wnli-24,9538,124,186.39900946617126,9662.399009466171,1,159.0,1
roberta-base@mrpc-25,9538,124,186.39900946617126,9662.399009466171,1,9170,1
roberta-base@wnli-26,9538,62,124.39900946617126,9662.399009466171,1,159.0,1
roberta-base@wnli-27,9539,61,95.39299011230469,9634.392990112305,1,159.0,1
roberta-base@qnli-28,9612,121,155.3929901123047,9659.392990112305,1,261860,1
roberta-base@wnli-29,9707,26,60.39299011230469,9754.392990112305,1,159.0,1
roberta-base@wnli-30,10052,28,90.39900946617126,10142.399009466171,1,159.0,1
roberta-base@rte-31,10462,98,217.39900946617126,10679.399009466171,1,4984.0,1
roberta-base@snli-32,10617,125,1073.3940567970276,11627.394056797028,6,1373440,8
roberta-base@mnli-33,10618,124,1072.3940567970276,11628.394056797028,6,883584.0,8
roberta-base@rte-34,11194,86,148.3929901123047,11342.392990112305,1,4984.0,1
roberta-base@rte-35,11696,128,204.39900946617126,11836.399009466171,1,4984.0,1
roberta-base@stsb-36,11714,110,186.39900946617126,11854.399009466171,1,12942.0,1
roberta-base@stsb-37,12079,82,153.39900946617126,12191.399009466171,1,12942.0,1
roberta-base@snli-38,12082,79,150.39900946617126,12194.399009466171,1,1373440,8
roberta-base@sst2-39,12456,24,371.1970283985138,12827.197028398514,3,168380,8
roberta-base@stsb-40,13108,92,167.3929901123047,13275.392990112305,1,12942.0,2
roberta-base@rte-41,13468,184,247.39900946617126,13623.399009466171,1,4984.0,1
roberta-base@qnli-42,13470,182,245.39900946617126,13625.399009466171,1,261860,4
roberta-base@wnli-43,13911,9,71.39900946617126,13982.399009466171,1,159.0,1
roberta-base@qqp-44,14031,9,1312.7930662631989,15343.793066263199,7,909620.0,8
roberta-base@qnli-45,14066,188,657.5900185108185,14629.590018510818,4,261860,1
roberta-base@qqp-46,14109,145,614.5900185108185,14672.590018510818,4,909620.0,8
roberta-base@sst2-47,14275,5,361.1970283985138,14636.197028398514,3,168380,12
roberta-base@qnli-48,15165,75,510.5900185108185,15675.590018510818,4,261860,8
roberta-base@sst2-49,15342,18,351.1910090446472,15693.191009044647,3,168380,4
roberta-base@rte-50,16030,50,169.39900946617126,16199.399009466171,1,4984.0,1
roberta-base@mrpc-51,16773,27,139.39900946617126,16912.39900946617,1,9170,2
roberta-base@mrpc-52,17132,56,121.39900946617126,17225.39900946617,1,9170,1
roberta-base@qnli-53,17159,29,94.39900946617126,17252.39900946617,1,261860,2
roberta-base@qqp-54,17263,17,947.1910090446472,18210.191009044647,3,909620.0,4
roberta-base@wnli-55,18187,53,115.39900946617126,18302.39900946617,1,159.0,1
roberta-base@sst2-56,18254,106,453.1970283985138,18707.197028398514,3,168380,8
roberta-base@rte-57,18835,5,124.39900946617126,18959.39900946617,1,4984.0,1
roberta-base@qnli-58,19136,127,473.1910090446472,19545.191009044647,3,261860,8
roberta-base@qqp-59,19137,63,1230.596037864685,20367.596037864685,4,909620.0,8
roberta-base@sst2-60,19137,126,472.1910090446472,19546.191009044647,3,168380,8
roberta-base@stsb-61,19211,218,292.39900946617126,19394.39900946617,1,12942.0,1
roberta-base@sst2-62,19247,73,429.1970283985138,19676.197028398514,3,168380,12
roberta-base@sst2-63,19247,182,256.39900946617126,19430.39900946617,1,168380,8
roberta-base@mnli-64,20006,34,750.7980189323425,20756.798018932343,2,883584.0,3
roberta-base@stsb-65,21258,204,273.39900946617126,21429.39900946617,1,12942.0,1
roberta-base@qnli-66,21333,129,198.39900946617126,21504.39900946617,1,261860,1
roberta-base@qnli-67,21547,105,334.39900946617126,21828.39900946617,1,261860,8
roberta-base@qnli-68,21547,53,501.1910090446472,22048.191009044647,3,261860,3
roberta-base@sst2-69,21548,104,333.39900946617126,21829.39900946617,1,168380,8
roberta-base@qnli-70,21548,52,500.1910090446472,22048.191009044647,3,261860,3
roberta-base@sst2-71,21548,52,402.79801893234253,21950.798018932343,2,168380,2
roberta-base@rte-72,21891,69,131.3929901123047,22022.392990112305,1,4984.0,1
roberta-base@qnli-73,22260,60,299.39900946617126,22559.39900946617,1,261860,20
roberta-base@mrpc-74,22395,45,157.39900946617126,22552.39900946617,1,9170,2
roberta-base@qnli-75,22654,52,611.791999578476,23239.791999578476,2,261860,8
roberta-base@sst2-76,22654,52,611.791999578476,23239.791999578476,2,168380,8
roberta-base@qnli-77,22654,26,859.5839991569519,23513.583999156952,4,261860,8
roberta-base@qnli-78,22654,26,891.791999578476,23545.791999578476,2,261860,1
roberta-base@sst2-79,22655,25,739.5900185108185,23394.59001851082,4,168380,1
roberta-base@sst2-80,22655,25,676.5839991569519,23331.583999156952,4,168380,2
roberta-base@qnli-81,22655,25,890.791999578476,23545.791999578476,2,261860,1
roberta-base@sst2-82,22655,25,739.5900185108185,23394.59001851082,4,168380,1
roberta-base@sst2-83,22655,25,610.1849896907806,23265.18498969078,3,168380,2
roberta-base@sst2-84,22655,25,739.5900185108185,23394.59001851082,4,168380,1
roberta-base@qnli-85,22655,25,865.1910090446472,23520.191009044647,3,261860,3
roberta-base@qnli-86,22655,25,890.791999578476,23545.791999578476,2,261860,1
roberta-base@qnli-87,22655,25,954.9769892692566,23609.976989269257,5,261860,4
roberta-base@sst2-88,23166,468,745.1910090446472,23677.191009044647,3,168380,None
roberta-base@sst2-89,23298,102,547.5900185108185,23845.59001851082,4,168380,4
roberta-base@qnli-90,23298,336,613.1910090446472,23809.191009044647,3,261860,8
roberta-base@qnli-91,23833,47,286.39900946617126,24119.39900946617,1,261860,20
roberta-base@sst2-92,24306,54,401.1970283985138,24707.197028398514,3,168380,8
roberta-base@sst2-93,24583,17,366.1910090446472,24949.191009044647,3,168380,2
roberta-base@sst2-94,24611,218,524.1970283985138,25026.197028398514,3,168380,1
roberta-base@qnli-95,24715,114,420.1970283985138,25130.197028398514,3,261860,1
roberta-base@stsb-96,25165,35,110.39299011230469,25275.392990112305,1,12942.0,2
roberta-base@qnli-97,25326,114,642.9890279769897,25968.98902797699,5,261860,1
roberta-base@sst2-98,25475,85,418.1910090446472,25893.191009044647,3,168380,4
roberta-base@sst2-99,25688,112,445.1910090446472,26133.191009044647,3,168380,3
roberta-base@rte-100,25946,94,213.39900946617126,26159.39900946617,1,4984.0,1
roberta-base@rte-101,26066,188,247.3929901123047,26219.392990112305,1,4984.0,1
roberta-base@mrpc-102,26099,155,214.3929901123047,26252.392990112305,1,9170,1
roberta-base@wnli-103,26344,56,118.39900946617126,26462.39900946617,1,159.0,1
roberta-base@sst2-104,26539,101,448.1970283985138,26987.197028398514,3,168380,8
