name,finish_time_fairness
roberta-base@mrpc-0,0.36745
roberta-base@qnli-1,0.03543
roberta-base@qnli-2,0.01924
roberta-base@sst2-3,0.07515
roberta-base@qnli-4,0.07711
roberta-base@qnli-5,0.06988
roberta-base@qnli-6,0.11637
roberta-base@stsb-7,0.08428
roberta-base@rte-8,0.28791
roberta-base@qnli-9,0.13714
roberta-base@mnli-10,0.01547
roberta-base@qqp-11,0.12607
roberta-base@mnli-12,0.03993
roberta-base@qnli-13,0.08953
roberta-base@sst2-14,0.09451
roberta-base@wnli-15,7.09327
roberta-base@sst2-16,0.03997
roberta-base@rte-17,0.48
roberta-base@sst2-18,0.03858
roberta-base@rte-19,0.22236
roberta-base@stsb-20,0.0974
roberta-base@qnli-21,0.01345
roberta-base@qnli-22,0.0242
roberta-base@wnli-23,10.35993
roberta-base@wnli-24,8.29327
roberta-base@mrpc-25,0.24392
roberta-base@wnli-26,8.29327
roberta-base@wnli-27,6.35953
roberta-base@qnli-28,0.00326
roberta-base@wnli-29,3.15953
roberta-base@wnli-30,6.0266
roberta-base@rte-31,0.4913
roberta-base@snli-32,0.05442
roberta-base@mnli-33,0.10268
roberta-base@rte-34,0.60879
roberta-base@rte-35,0.31729
roberta-base@stsb-36,0.12275
roberta-base@stsb-37,0.09827
roberta-base@snli-38,0.00605
roberta-base@sst2-39,0.30646
roberta-base@stsb-40,0.14635
roberta-base@rte-41,0.35118
roberta-base@qnli-42,0.02838
roberta-base@wnli-43,4.75993
roberta-base@qqp-44,0.10676
roberta-base@qnli-45,0.03881
roberta-base@qqp-46,0.04583
roberta-base@sst2-47,0.03868
roberta-base@qnli-48,0.16625
roberta-base@sst2-49,0.03761
roberta-base@rte-50,0.38282
roberta-base@mrpc-51,0.27333
roberta-base@mrpc-52,0.18314
roberta-base@qnli-53,0.01128
roberta-base@qqp-54,0.02469
roberta-base@wnli-55,7.69327
roberta-base@sst2-56,0.08511
roberta-base@rte-57,0.28113
roberta-base@qnli-58,0.13323
roberta-base@qqp-59,0.03208
roberta-base@sst2-60,0.20705
roberta-base@stsb-61,0.16035
roberta-base@sst2-62,0.21718
roberta-base@sst2-63,0.0928
roberta-base@mnli-64,0.0763
roberta-base@stsb-65,0.14986
roberta-base@qnli-66,0.0118
roberta-base@qnli-67,0.09162
roberta-base@qnli-68,0.16319
roberta-base@sst2-69,0.14239
roberta-base@qnli-70,0.16286
roberta-base@sst2-71,0.20382
roberta-base@rte-72,0.29693
roberta-base@qnli-73,0.09748
roberta-base@mrpc-74,0.30863
roberta-base@qnli-75,0.19073
roberta-base@sst2-76,0.29642
roberta-base@qnli-77,0.27988
roberta-base@qnli-78,0.29037
roberta-base@sst2-79,0.37424
roberta-base@sst2-80,0.34236
roberta-base@qnli-81,0.29004
roberta-base@sst2-82,0.37424
roberta-base@sst2-83,0.30876
roberta-base@sst2-84,0.37424
roberta-base@qnli-85,0.28171
roberta-base@qnli-86,0.29004
roberta-base@qnli-87,0.31094
roberta-base@sst2-88,0.25867
roberta-base@sst2-89,0.27709
roberta-base@qnli-90,0.16644
roberta-base@qnli-91,0.09325
roberta-base@sst2-92,0.20301
roberta-base@sst2-93,0.03922
roberta-base@sst2-94,0.04447
roberta-base@qnli-95,0.02859
roberta-base@stsb-96,0.09652
roberta-base@qnli-97,0.20936
roberta-base@sst2-98,0.21161
roberta-base@sst2-99,0.04768
roberta-base@rte-100,0.48226
roberta-base@rte-101,0.34665
roberta-base@mrpc-102,0.30077
roberta-base@wnli-103,7.89327
roberta-base@sst2-104,0.048
roberta-base@qnli-105,0.03169
roberta-base@qnli-106,0.13799
roberta-base@qnli-107,0.13799
roberta-base@wnli-108,9.69327
roberta-base@sst2-109,0.1934
roberta-base@sst2-110,0.04693
roberta-base@sst2-111,0.3375
roberta-base@qnli-112,0.22974
roberta-base@sst2-113,0.33507
roberta-base@sst2-114,0.34438
roberta-base@sst2-115,0.28629
roberta-base@qnli-116,0.21717
roberta-base@sst2-117,0.35673
roberta-base@sst2-118,0.28629
roberta-base@sst2-119,0.19896
