name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,1280,40,517.3455929756165,1797.3455929756165,1,235674.0,16
roberta-large@sst2-1,1987,53,490.3823719024658,2477.382371902466,4,84190.0,1
roberta-large@qnli-2,2634,6,483.34559297561646,3117.3455929756165,1,235674.0,16
roberta-large@mnli-3,4906,14,1330.0367789268494,6236.036778926849,3,785408.0,8
roberta-large@qqp-4,6003,234,1307.3455929756165,7193.3455929756165,1,909620.0,8
roberta-large@mnli-5,6111,126,1199.3455929756165,7301.3455929756165,1,785408.0,8
roberta-large@wnli-6,7516,44,145.34559297561646,7661.3455929756165,1,1590.0,1
roberta-large@rte-7,8364,36,129.4507565498352,8493.450756549835,1,4984.0,2
roberta-large@qnli-8,8748,12,588.6911859512329,9336.691185951233,2,235674.0,12
roberta-large@qnli-9,8768,112,855.0367789268494,9623.03677892685,3,235674.0,1
roberta-large@rte-10,9147,93,192.34559297561646,9339.345592975616,1,4984.0,4
roberta-large@wnli-11,9538,124,224.34559297561646,9700.345592975616,1,1590.0,1
roberta-large@mrpc-12,9538,124,224.34559297561646,9700.345592975616,1,9170,1
roberta-large@wnli-13,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@wnli-14,10052,28,129.34559297561646,10181.345592975616,1,1590.0,1
roberta-large@mrpc-15,10462,98,190.34559297561646,10652.345592975616,1,9170,8
roberta-large@sst2-16,10617,126,521.0367789268494,11075.03677892685,3,84190.0,2
roberta-large@qnli-17,10618,125,520.0367789268494,11076.03677892685,3,235674.0,2
roberta-large@rte-18,11696,128,217.4507565498352,11849.450756549835,1,4984.0,1
roberta-large@stsb-19,11714,110,199.4507565498352,11867.450756549835,1,12942.0,1
roberta-large@sst2-20,12456,24,461.3823719024658,12917.382371902466,4,84190.0,1
roberta-large@sst2-21,13470,90,527.3823719024658,13997.382371902466,4,84190.0,1
roberta-large@qqp-22,14031,9,2160.7279648780823,16191.727964878082,5,909620.0,12
roberta-large@qqp-23,14109,51,2159.382371902466,16268.382371902466,4,909620.0,1
roberta-large@sst2-24,14275,5,488.3823719024658,14763.382371902466,4,84190.0,1
roberta-large@rte-25,16030,50,149.34559297561646,16179.345592975616,1,4984.0,4
roberta-large@mrpc-26,17132,28,120.34559297561646,17252.345592975616,1,9170,8
roberta-large@sst2-27,19137,63,546.3823719024658,19683.382371902466,4,84190.0,1
roberta-large@sst2-28,19137,63,411.03677892684937,19548.03677892685,3,84190.0,8
roberta-large@sst2-29,19247,73,304.79634952545166,19551.79634952545,2,84190.0,16
roberta-large@qnli-30,20006,34,511.34559297561646,20517.345592975616,1,235674.0,16
roberta-large@stsb-31,21258,102,206.34559297561646,21464.345592975616,1,12942.0,8
roberta-large@sst2-32,21548,104,499.03677892684937,21995.03677892685,3,84190.0,8
roberta-large@qnli-33,21548,104,499.03677892684937,21995.03677892685,3,235674.0,8
roberta-large@mrpc-34,21891,69,161.34559297561646,22052.345592975616,1,9170,8
roberta-large@qnli-35,22260,60,987.0434556007385,23247.04345560074,5,235674.0,1
roberta-large@wnli-36,22395,45,146.34559297561646,22541.345592975616,1,1590.0,1
roberta-large@qnli-37,22654,51,736.389048576355,23364.389048576355,6,235674.0,8
roberta-large@sst2-38,22654,52,737.389048576355,23365.389048576355,6,84190.0,8
roberta-large@sst2-39,22655,265,616.6911859512329,23271.691185951233,2,84190.0,8
roberta-large@sst2-40,22655,50,735.389048576355,23365.389048576355,6,84190.0,8
roberta-large@qnli-41,22655,51,736.389048576355,23366.389048576355,6,235674.0,8
roberta-large@sst2-42,22655,25,616.6978626251221,23271.697862625122,4,84190.0,1
roberta-large@sst2-43,22655,25,696.9382920265198,23351.93829202652,5,84190.0,1
roberta-large@sst2-44,23166,114,461.1419425010681,23627.141942501068,3,84190.0,2
roberta-large@sst2-45,23298,102,556.3823719024658,23854.382371902466,4,84190.0,1
roberta-large@qnli-46,23833,47,524.3455929756165,24357.345592975616,1,235674.0,16
roberta-large@qnli-47,24715,5,482.34559297561646,25197.345592975616,1,235674.0,16
roberta-large@sst2-48,25326,114,461.1419425010681,25787.141942501068,3,84190.0,2
roberta-large@sst2-49,25475,85,539.3823719024658,26014.382371902466,4,84190.0,1
roberta-large@rte-50,25946,94,187.4507565498352,26133.450756549835,1,4984.0,2
roberta-large@wnli-51,26099,61,162.34559297561646,26261.345592975616,1,1590.0,1
roberta-large@stsb-52,26344,56,160.34559297561646,26504.345592975616,1,12942.0,8
roberta-large@qnli-53,26539,101,1005.1787214279175,27544.178721427917,6,235674.0,1
roberta-large@qnli-54,26857,23,849.833128452301,27706.8331284523,5,235674.0,2
roberta-large@qnli-55,27150,90,798.3823719024658,27948.382371902466,4,235674.0,8
roberta-large@wnli-56,27157,83,184.34559297561646,27341.345592975616,1,1590.0,1
roberta-large@sst2-57,28092,108,309.34559297561646,28401.345592975616,1,84190.0,12
roberta-large@qnli-58,28092,215,565.0367789268494,28549.03677892685,3,235674.0,8
roberta-large@sst2-59,28093,214,564.0367789268494,28550.03677892685,3,84190.0,8
