name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03532
vit-large@imagenet-split-1-1,0.01445
vit-large@food101-2,0.04523
vit-large@imagenet-split-0-3,0.03395
vit-large@imagenet-split-0-4,0.05745
vit-large@imagenet-split-1-5,0.10813
vit-large@imagenet-split-1-6,0.07376
vit-large@imagenet-split-0-7,0.06193
vit-large@mnist-8,0.12706
vit-large@frgfm#imagenette-9,0.05317
vit-large@frgfm#imagenette-10,0.07191
vit-large@frgfm#imagenette-11,0.05034
vit-large@mnist-12,0.12023
vit-large@food101-13,0.04398
vit-large@fashion_mnist-14,0.11956
vit-large@imagenet-split-2-15,0.08461
vit-large@food101-16,0.03311
vit-large@imagenet-split-0-17,0.10536
vit-large@cifar100-18,0.11716
vit-large@imagenet-split-1-19,0.05243
vit-large@cifar100-20,0.06742
vit-large@imagenet-split-1-21,0.04475
vit-large@cifar100-22,0.01711
vit-large@cifar100-23,0.10894
vit-large@mnist-24,0.10814
vit-large@mnist-25,0.02772
vit-large@Bingsu#Cat_and_Dog-26,0.1485
vit-large@imagenet-split-1-27,0.02393
vit-large@Bingsu#Cat_and_Dog-28,0.10253
vit-large@fashion_mnist-29,0.01671
vit-large@cifar100-30,0.03777
vit-large@cifar100-31,0.02764
vit-large@frgfm#imagenette-32,0.07087
vit-large@frgfm#imagenette-33,0.06886
vit-large@food101-34,0.01826
vit-large@frgfm#imagenette-35,0.08697
vit-large@frgfm#imagenette-36,0.08649
vit-large@frgfm#imagenette-37,0.08649
vit-large@frgfm#imagenette-38,0.08649
vit-large@frgfm#imagenette-39,0.08627
vit-large@Bingsu#Cat_and_Dog-40,0.21151
vit-large@imagenet-split-0-41,0.00682
vit-large@Bingsu#Cat_and_Dog-42,0.09527
vit-large@frgfm#imagenette-43,0.0547
vit-large@frgfm#imagenette-44,0.07174
vit-large@food101-45,0.10518
vit-large@food101-46,0.07694
vit-large@food101-47,0.10612
vit-large@frgfm#imagenette-48,0.11244
vit-large@frgfm#imagenette-49,0.1128
vit-large@frgfm#imagenette-50,0.0435
vit-large@Bingsu#Cat_and_Dog-51,0.09769
vit-large@frgfm#imagenette-52,0.06474
vit-large@frgfm#imagenette-53,0.08436
vit-large@frgfm#imagenette-54,0.09329
vit-large@Bingsu#Cat_and_Dog-55,0.08963
vit-large@imagenet-split-2-56,0.00357
vit-large@Bingsu#Cat_and_Dog-57,0.13721
vit-large@imagenet-split-1-58,0.0415
vit-large@Bingsu#Cat_and_Dog-59,0.14769
vit-large@frgfm#imagenette-60,0.06864
vit-large@fashion_mnist-61,0.08798
vit-large@Bingsu#Cat_and_Dog-62,0.08945
vit-large@food101-63,0.08403
vit-large@cifar100-64,0.02584
vit-large@food101-65,0.03468
vit-large@cifar100-66,0.024
vit-large@imagenet-split-0-67,0.08666
vit-large@imagenet-split-1-68,0.02099
vit-large@Bingsu#Cat_and_Dog-69,0.11382
vit-large@frgfm#imagenette-70,0.05448
vit-large@frgfm#imagenette-71,0.05649
vit-large@frgfm#imagenette-72,0.0499
vit-large@cifar100-73,0.05207
vit-large@food101-74,0.06413
vit-large@frgfm#imagenette-75,0.06256
vit-large@Bingsu#Cat_and_Dog-76,0.0951
vit-large@Bingsu#Cat_and_Dog-77,0.11624
vit-large@cifar100-78,0.05168
vit-large@Bingsu#Cat_and_Dog-79,0.08623
vit-large@cifar100-80,0.12181
vit-large@food101-81,0.02383
vit-large@cifar100-82,0.12243
vit-large@Bingsu#Cat_and_Dog-83,0.14447
vit-large@fashion_mnist-84,0.02398
vit-large@imagenet-split-1-85,0.11152
vit-large@food101-86,0.07204
vit-large@Bingsu#Cat_and_Dog-87,0.12995
vit-large@fashion_mnist-88,0.16898
vit-large@Bingsu#Cat_and_Dog-89,0.13398
vit-large@imagenet-split-0-90,0.00959
vit-large@mnist-91,0.14729
vit-large@fashion_mnist-92,0.14729
vit-large@imagenet-split-1-93,0.153
vit-large@mnist-94,0.18182
vit-large@cifar100-95,0.15988
vit-large@cifar100-96,0.19898
vit-large@imagenet-split-0-97,0.11653
vit-large@fashion_mnist-98,0.21354
vit-large@imagenet-split-0-99,0.11653
vit-large@Bingsu#Cat_and_Dog-100,0.40253
vit-large@cifar100-101,0.08018
vit-large@frgfm#imagenette-102,0.05467
vit-large@mnist-103,0.27178
vit-large@imagenet-split-1-104,0.3121
vit-large@cifar100-105,0.26476
vit-large@imagenet-split-0-106,0.11754
vit-large@fashion_mnist-107,0.26816
vit-large@cifar100-108,0.2731
vit-large@imagenet-split-1-109,0.13022
vit-large@cifar100-110,0.2646
vit-large@imagenet-split-1-111,0.36987
vit-large@mnist-112,0.30594
vit-large@imagenet-split-0-113,0.1174
vit-large@fashion_mnist-114,0.27551
vit-large@mnist-115,0.27486
vit-large@mnist-116,0.29027
vit-large@cifar100-117,0.29144
vit-large@imagenet-split-1-118,0.13037
vit-large@fashion_mnist-119,0.32288
vit-large@cifar100-120,0.31039
vit-large@imagenet-split-1-121,0.34717
vit-large@fashion_mnist-122,0.25612
vit-large@mnist-123,0.25612
vit-large@imagenet-split-1-124,0.2813
vit-large@fashion_mnist-125,0.22919
vit-large@imagenet-split-1-126,0.02812
vit-large@mnist-127,0.0234
vit-large@imagenet-split-1-128,0.03563
vit-large@frgfm#imagenette-129,0.08191
vit-large@fashion_mnist-130,0.09401
vit-large@imagenet-split-1-131,0.10796
vit-large@fashion_mnist-132,0.137
vit-large@frgfm#imagenette-133,0.0599
vit-large@imagenet-split-0-134,0.061
vit-large@cifar100-135,0.02478
vit-large@frgfm#imagenette-136,0.09481
vit-large@Bingsu#Cat_and_Dog-137,0.1493
vit-large@Bingsu#Cat_and_Dog-138,0.12269
vit-large@frgfm#imagenette-139,0.0619
vit-large@imagenet-split-0-140,0.03747
vit-large@food101-141,0.05731
vit-large@imagenet-split-0-142,0.09387
vit-large@imagenet-split-1-143,0.02843
vit-large@Bingsu#Cat_and_Dog-144,0.14913
vit-large@cifar100-145,0.13899
vit-large@fashion_mnist-146,0.04644
vit-large@mnist-147,0.15074
vit-large@cifar100-148,0.18089
vit-large@fashion_mnist-149,0.23298
vit-large@imagenet-split-1-150,0.14374
vit-large@mnist-151,0.2319
vit-large@fashion_mnist-152,0.25066
vit-large@imagenet-split-1-153,0.29059
vit-large@fashion_mnist-154,0.21837
vit-large@imagenet-split-1-155,0.27148
vit-large@imagenet-split-0-156,0.1296
vit-large@fashion_mnist-157,0.23528
vit-large@cifar100-158,0.22746
vit-large@imagenet-split-1-159,0.26754
