name,finish_time_fairness
vit@frgfm#imagenette-0,0.04555
vit@imagenet-split-1-1,0.02122
vit@Bingsu#Cat_and_Dog-2,0.10112
vit@food101-3,0.01302
vit@imagenet-split-0-4,0.0165
vit@Bingsu#Cat_and_Dog-5,0.07408
vit@mnist-6,0.05393
vit@Bingsu#Cat_and_Dog-7,0.05095
vit@imagenet-split-2-8,0.05657
vit@imagenet-split-1-9,0.06442
vit@imagenet-split-2-10,0.04715
vit@imagenet-split-1-11,0.03563
vit@imagenet-split-0-12,0.03612
vit@mnist-13,0.09509
vit@mnist-14,0.10886
vit@imagenet-split-0-15,0.11483
vit@imagenet-split-1-16,0.03639
vit@frgfm#imagenette-17,0.03853
vit@frgfm#imagenette-18,0.07225
vit@frgfm#imagenette-19,0.03642
vit@Bingsu#Cat_and_Dog-20,0.05486
vit@Bingsu#Cat_and_Dog-21,0.04098
vit@mnist-22,0.05041
vit@fashion_mnist-23,0.08653
vit@food101-24,0.02704
vit@food101-25,0.03303
vit@fashion_mnist-26,0.06512
vit@imagenet-split-2-27,0.01982
vit@food101-28,0.02616
vit@fashion_mnist-29,0.01471
vit@mnist-30,0.05967
vit@frgfm#imagenette-31,0.03707
vit@mnist-32,0.04229
vit@cifar100-33,0.01861
vit@frgfm#imagenette-34,0.03674
vit@imagenet-split-0-35,0.10944
vit@cifar100-36,0.0619
vit@imagenet-split-1-37,0.03428
vit@cifar100-38,0.0528
vit@imagenet-split-1-39,0.01001
vit@Bingsu#Cat_and_Dog-40,0.04703
vit@cifar100-41,0.0388
vit@mnist-42,0.10708
vit@mnist-43,0.05179
vit@imagenet-split-0-44,0.06622
vit@Bingsu#Cat_and_Dog-45,0.04988
vit@fashion_mnist-46,0.01362
vit@cifar100-47,0.03543
vit@imagenet-split-1-48,0.06861
vit@Bingsu#Cat_and_Dog-49,0.06518
vit@imagenet-split-1-50,0.03752
vit@imagenet-split-1-51,0.01987
vit@cifar100-52,0.02245
vit@imagenet-split-0-53,0.02195
vit@imagenet-split-1-54,0.00976
vit@Bingsu#Cat_and_Dog-55,0.03351
vit@imagenet-split-1-56,0.00253
vit@Bingsu#Cat_and_Dog-57,0.03315
vit@cifar100-58,0.00732
vit@imagenet-split-2-59,0.06172
vit@cifar100-60,0.0117
vit@frgfm#imagenette-61,0.04198
vit@Bingsu#Cat_and_Dog-62,0.06447
vit@Bingsu#Cat_and_Dog-63,0.06411
vit@frgfm#imagenette-64,0.0504
vit@frgfm#imagenette-65,0.06975
vit@food101-66,0.0155
vit@frgfm#imagenette-67,0.08119
vit@frgfm#imagenette-68,0.12325
vit@frgfm#imagenette-69,0.04116
vit@frgfm#imagenette-70,0.04574
vit@frgfm#imagenette-71,0.06073
vit@frgfm#imagenette-72,0.06213
vit@frgfm#imagenette-73,0.06197
vit@Bingsu#Cat_and_Dog-74,0.05379
vit@imagenet-split-0-75,0.00618
vit@Bingsu#Cat_and_Dog-76,0.03636
vit@frgfm#imagenette-77,0.07837
vit@mnist-78,0.00634
vit@Bingsu#Cat_and_Dog-79,0.0717
vit@frgfm#imagenette-80,0.05073
vit@Bingsu#Cat_and_Dog-81,0.07088
vit@food101-82,0.03725
vit@imagenet-split-2-83,0.00468
vit@food101-84,0.03834
vit@food101-85,0.03722
vit@imagenet-split-2-86,0.05966
vit@frgfm#imagenette-87,0.04231
vit@fashion_mnist-88,0.02623
vit@frgfm#imagenette-89,0.08379
vit@frgfm#imagenette-90,0.03319
vit@Bingsu#Cat_and_Dog-91,0.04276
vit@frgfm#imagenette-92,0.06471
vit@frgfm#imagenette-93,0.0426
vit@mnist-94,0.03249
vit@frgfm#imagenette-95,0.06877
vit@Bingsu#Cat_and_Dog-96,0.06767
vit@frgfm#imagenette-97,0.06812
vit@Bingsu#Cat_and_Dog-98,0.04668
vit@imagenet-split-2-99,0.0066
vit@Bingsu#Cat_and_Dog-100,0.11678
vit@imagenet-split-1-101,0.0561
vit@frgfm#imagenette-102,0.08369
vit@Bingsu#Cat_and_Dog-103,0.03209
vit@imagenet-split-1-104,0.07254
vit@Bingsu#Cat_and_Dog-105,0.06483
vit@fashion_mnist-106,0.02453
vit@frgfm#imagenette-107,0.02539
vit@fashion_mnist-108,0.01518
vit@imagenet-split-2-109,0.03139
vit@Bingsu#Cat_and_Dog-110,0.03529
vit@food101-111,0.05404
vit@Bingsu#Cat_and_Dog-112,0.06554
vit@food101-113,0.03402
vit@cifar100-114,0.01462
vit@frgfm#imagenette-115,0.04276
vit@imagenet-split-1-116,0.01696
vit@imagenet-split-0-117,0.1309
vit@imagenet-split-1-118,0.01331
vit@fashion_mnist-119,0.07468
vit@Bingsu#Cat_and_Dog-120,0.04988
vit@Bingsu#Cat_and_Dog-121,0.04881
vit@frgfm#imagenette-122,0.03934
