name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-1,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-2,0,120,240.39900946617126,240,1,9170,1
roberta-base@mrpc-3,0,120,240.39900946617126,240,1,9170,1
roberta-base@mrpc-4,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-5,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-6,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-7,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-8,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-9,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-10,0,120,240.39900946617126,240,1,9170,1
roberta-base@mrpc-11,0,120,240.39900946617126,240,1,9170,1
roberta-base@mrpc-12,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-13,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-14,0,480,702.7980189323425,702.7980189323425,2,9170,1
roberta-base@mrpc-15,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-16,0,480,649.3990094661713,649.3990094661713,1,9170,1
roberta-base@mrpc-17,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-18,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-19,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-20,0,480,649.3990094661713,649.3990094661713,1,9170,1
roberta-base@mrpc-21,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-22,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-23,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-24,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-25,0,480,600.3990094661713,600,1,9170,1
roberta-base@mrpc-26,0,240,360.39900946617126,360,1,9170,1
roberta-base@stsb-27,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-28,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-29,0,600,720.3990094661713,720,1,14380,1
roberta-base@stsb-30,0,360,480.39900946617126,480,1,14380,1
roberta-base@stsb-31,0,720,950.3990094661713,950.3990094661713,1,14380,1
roberta-base@stsb-32,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-33,0,600,720.3990094661713,720,1,14380,1
roberta-base@stsb-34,0,600,720.3990094661713,720,1,14380,1
roberta-base@stsb-35,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-36,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-37,0,600,720.3990094661713,720,1,14380,1
roberta-base@stsb-38,0,360,480.39900946617126,480,1,14380,1
roberta-base@stsb-39,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-40,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-41,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-42,0,360,480.39900946617126,480,1,14380,1
roberta-base@stsb-43,0,720,950.3990094661713,950.3990094661713,1,14380,1
roberta-base@stsb-44,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-45,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-46,0,360,480.39900946617126,480,1,14380,1
roberta-base@stsb-47,0,960,1186.7980189323425,1186.7980189323425,2,14380,3
roberta-base@stsb-48,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-49,0,720,840.3990094661713,840,1,14380,1
roberta-base@stsb-50,0,600,720.3990094661713,720,1,14380,1
roberta-base@stsb-51,0,960,1077.3990094661713,1077.3990094661713,1,14380,4
roberta-base@stsb-52,0,960,1080.3990094661713,1080,1,14380,1
roberta-base@stsb-53,0,960,1080.3990094661713,1080,1,14380,1
