name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,0,240,360.34559297561646,360,1,9170,1
roberta-large@mrpc-1,0,240,480.34559297561646,480,1,9170,1
roberta-large@mrpc-2,0,120,240.34559297561646,240,1,9170,1
roberta-large@mrpc-3,0,0,120.34559297561646,120,1,9170,1
roberta-large@mrpc-4,0,240,480.34559297561646,480,1,9170,1
roberta-large@mrpc-5,0,240,360.34559297561646,360,1,9170,1
roberta-large@mrpc-6,0,120,240.34559297561646,240,1,9170,1
roberta-large@mrpc-7,0,240,360.34559297561646,360,1,9170,1
roberta-large@mrpc-8,0,360,480.34559297561646,480,1,9170,1
roberta-large@mrpc-9,0,360,600.3455929756165,600,1,9170,1
roberta-large@mrpc-10,0,120,240.34559297561646,240,1,9170,1
roberta-large@mrpc-11,0,120,240.34559297561646,240,1,9170,1
roberta-large@mrpc-12,0,360,709.3455929756165,709.3455929756165,1,9170,1
roberta-large@mrpc-13,0,360,480.34559297561646,480,1,9170,1
roberta-large@mrpc-14,0,240,635.6911859512329,635.6911859512329,2,9170,1
roberta-large@mrpc-15,0,240,360.34559297561646,360,1,9170,1
roberta-large@mrpc-16,0,360,709.3455929756165,709.3455929756165,1,9170,1
roberta-large@mrpc-17,0,360,480.34559297561646,480,1,9170,1
roberta-large@mrpc-18,0,360,600.6911859512329,600,2,9170,1
roberta-large@mrpc-19,0,360,480.34559297561646,480,1,9170,1
roberta-large@mrpc-20,0,360,480.34559297561646,480,1,9170,1
roberta-large@mrpc-21,0,360,600.6911859512329,600,2,9170,1
roberta-large@mrpc-22,0,240,360.34559297561646,360,1,9170,1
roberta-large@mrpc-23,0,360,480.34559297561646,480,1,9170,1
roberta-large@mrpc-24,0,360,600.3455929756165,600,1,9170,1
roberta-large@mrpc-25,0,360,480.34559297561646,480,1,9170,1
roberta-large@mrpc-26,0,360,480.34559297561646,480,1,9170,1
roberta-large@sst2-27,0,1800,2400.3455929756165,2400,1,168380,1
roberta-large@sst2-28,0,2160,3960.3455929756165,3960,1,168380,1
roberta-large@sst2-29,0,1320,1920.3455929756165,1920,1,168380,1
roberta-large@sst2-30,0,1320,1920.3455929756165,1920,1,168380,1
roberta-large@sst2-31,0,2160,3960.3455929756165,3960,1,168380,1
roberta-large@sst2-32,0,2160,2760.3455929756165,2760,1,168380,1
roberta-large@sst2-33,0,1320,1920.3455929756165,1920,1,168380,1
roberta-large@sst2-34,0,1680,2280.3455929756165,2280,1,168380,1
roberta-large@sst2-35,0,1920,2520.3455929756165,2520,1,168380,1
roberta-large@sst2-36,0,1560,3360.3455929756165,3360,1,168380,1
roberta-large@sst2-37,0,1320,1920.3455929756165,1920,1,168380,1
roberta-large@sst2-38,0,960,1560.3455929756165,1560,1,168380,1
roberta-large@sst2-39,0,6120,8160.691185951233,8160,2,168380,4
roberta-large@sst2-40,0,1560,2160.3455929756165,2160,1,168380,1
roberta-large@sst2-41,0,2160,7200.691185951233,7200,2,168380,1
roberta-large@sst2-42,0,1080,1680.3455929756165,1680,1,168380,1
roberta-large@sst2-43,0,7200,7440.3455929756165,7440,1,168380,8
roberta-large@sst2-44,0,6840,7680.691185951233,7680,2,168380,8
roberta-large@sst2-45,0,1200,1800.3455929756165,1800,1,168380,1
roberta-large@sst2-46,0,6480,8230.03677892685,8230.03677892685,3,168380,8
roberta-large@sst2-47,0,2400,2760.3455929756165,2760,1,168380,2
roberta-large@sst2-48,0,2760,3840.691185951233,3840,2,168380,3
roberta-large@sst2-49,0,1800,2400.3455929756165,2400,1,168380,1
roberta-large@sst2-50,0,2160,2760.3455929756165,2760,1,168380,1
roberta-large@sst2-51,0,3360,4080.3455929756165,4080,1,168380,3
roberta-large@sst2-52,0,3120,3720.3455929756165,3720,1,168380,1
roberta-large@sst2-53,0,3120,3720.3455929756165,3720,1,168380,1
