name,finish_time_fairness
roberta-large@mrpc-0,0.08919
roberta-large@mrpc-1,0.19014
roberta-large@mrpc-2,0.10519
roberta-large@mrpc-3,0.05487
roberta-large@mrpc-4,0.11891
roberta-large@mrpc-5,0.1426
roberta-large@mrpc-6,0.10519
roberta-large@mrpc-7,0.16461
roberta-large@mrpc-8,0.11891
roberta-large@mrpc-9,0.23767
roberta-large@mrpc-10,0.10519
roberta-large@mrpc-11,0.10974
roberta-large@mrpc-12,0.17573
roberta-large@mrpc-13,0.19014
roberta-large@mrpc-14,0.27863
roberta-large@mrpc-15,0.16461
roberta-large@mrpc-16,0.17573
roberta-large@mrpc-17,0.19014
roberta-large@mrpc-18,0.26298
roberta-large@mrpc-19,0.21948
roberta-large@mrpc-20,0.11891
roberta-large@mrpc-21,0.23767
roberta-large@mrpc-22,0.15779
roberta-large@mrpc-23,0.21948
roberta-large@mrpc-24,0.14864
roberta-large@mrpc-25,0.19014
roberta-large@mrpc-26,0.21039
roberta-large@snli-27,0.0236
roberta-large@snli-28,0.06315
roberta-large@snli-29,0.02876
roberta-large@snli-30,0.01611
roberta-large@snli-31,0.04562
roberta-large@snli-32,0.04919
roberta-large@snli-33,0.02876
roberta-large@snli-34,0.0432
roberta-large@snli-35,0.0238
roberta-large@snli-36,0.06791
roberta-large@snli-37,0.02876
roberta-large@snli-38,0.02892
roberta-large@snli-39,0.02777
roberta-large@snli-40,0.11265
roberta-large@snli-41,0.10944
roberta-large@snli-42,0.02929
roberta-large@snli-43,0.03193
roberta-large@snli-44,0.07489
roberta-large@snli-45,0.02841
roberta-large@snli-46,0.13187
roberta-large@snli-47,0.02777
roberta-large@snli-48,0.03776
roberta-large@snli-49,0.11295
roberta-large@snli-50,0.04283
roberta-large@snli-51,0.03193
roberta-large@snli-52,0.03776
roberta-large@snli-53,0.08278
