name,finish_time_fairness
roberta-large@sst2-0,0.02427
roberta-large@sst2-1,0.06471
roberta-large@sst2-2,0.02861
roberta-large@sst2-3,0.02986
roberta-large@sst2-4,0.04044
roberta-large@sst2-5,0.03883
roberta-large@sst2-6,0.02861
roberta-large@sst2-7,0.04479
roberta-large@sst2-8,0.03236
roberta-large@sst2-9,0.07765
roberta-large@sst2-10,0.02861
roberta-large@sst2-11,0.02986
roberta-large@sst2-12,0.17148
roberta-large@sst2-13,0.03883
roberta-large@sst2-14,0.16307
roberta-large@sst2-15,0.02986
roberta-large@sst2-16,0.03236
roberta-large@sst2-17,0.07765
roberta-large@sst2-18,0.02861
roberta-large@sst2-19,0.32362
roberta-large@sst2-20,0.03236
roberta-large@sst2-21,0.07765
roberta-large@sst2-22,0.04291
roberta-large@sst2-23,0.05972
roberta-large@sst2-24,0.05662
roberta-large@sst2-25,0.06471
roberta-large@sst2-26,0.07152
roberta-large@snli-27,0.00297
roberta-large@snli-28,0.04538
roberta-large@snli-29,0.00351
roberta-large@snli-30,0.00366
roberta-large@snli-31,0.02717
roberta-large@snli-32,0.00476
roberta-large@snli-33,0.00351
roberta-large@snli-34,0.00549
roberta-large@snli-35,0.00397
roberta-large@snli-36,0.04696
roberta-large@snli-37,0.00351
roberta-large@snli-38,0.00366
roberta-large@snli-39,0.06743
roberta-large@snli-40,0.00476
roberta-large@snli-41,0.09155
roberta-large@snli-42,0.00366
roberta-large@snli-43,0.00397
roberta-large@snli-44,0.05236
roberta-large@snli-45,0.00351
roberta-large@snli-46,0.12628
roberta-large@snli-47,0.00397
roberta-large@snli-48,0.06474
roberta-large@snli-49,0.00526
roberta-large@snli-50,0.00732
roberta-large@snli-51,0.05712
roberta-large@snli-52,0.00793
roberta-large@snli-53,0.00877
