name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,0,1920,2880.3455929756165,2880,1,261860,1
roberta-large@qnli-1,0,1920,4560.3455929756165,4560,1,261860,1
roberta-large@qnli-2,0,0,960.3455929756165,960,1,261860,1
roberta-large@qnli-3,0,960,1920.3455929756165,1920,1,261860,1
roberta-large@qnli-4,0,1920,4560.3455929756165,4560,1,261860,1
roberta-large@qnli-5,0,1920,2880.3455929756165,2880,1,261860,1
roberta-large@qnli-6,0,960,1920.3455929756165,1920,1,261860,1
roberta-large@qnli-7,0,1920,2880.3455929756165,2880,1,261860,1
roberta-large@qnli-8,0,2880,3840.3455929756165,3840,1,261860,1
roberta-large@qnli-9,0,2880,5520.3455929756165,5520,1,261860,1
roberta-large@qnli-10,0,960,1920.3455929756165,1920,1,261860,1
roberta-large@qnli-11,0,960,1920.3455929756165,1920,1,261860,1
roberta-large@qnli-12,0,2880,3840.3455929756165,3840,1,261860,1
roberta-large@qnli-13,0,1920,2880.3455929756165,2880,1,261860,1
roberta-large@qnli-14,0,2880,10680.691185951233,10680,2,261860,1
roberta-large@qnli-15,0,960,1920.3455929756165,1920,1,261860,1
roberta-large@qnli-16,0,2880,5520.3455929756165,5520,1,261860,1
roberta-large@qnli-17,0,2880,3840.3455929756165,3840,1,261860,1
roberta-large@qnli-18,0,5280,13511.03677892685,13511.03677892685,3,261860,2
roberta-large@qnli-19,0,960,1920.3455929756165,1920,1,261860,1
roberta-large@qnli-20,0,2880,3840.3455929756165,3840,1,261860,1
roberta-large@qnli-21,0,1920,2880.3455929756165,2880,1,261860,1
roberta-large@qnli-22,0,3240,11041.03677892685,11040,3,261860,1
roberta-large@qnli-23,0,2880,5520.691185951233,5520,2,261860,1
roberta-large@qnli-24,0,3600,4200.3455929756165,4200,1,261860,2
roberta-large@qnli-25,0,1920,2880.3455929756165,2880,1,261860,1
roberta-large@qnli-26,0,3240,5880.691185951233,5880,2,261860,1
roberta-large@qqp-27,0,2880,2880,2880,0,909620,1
roberta-large@qqp-28,0,9720,18720.345592975616,18720,1,909620,1
roberta-large@qqp-29,0,960,960,960,0,909620,1
roberta-large@qqp-30,0,1920,1920,1920,0,909620,1
roberta-large@qqp-31,0,8520,13440.345592975616,13440,1,909620,2
roberta-large@qqp-32,0,2880,2880,2880,0,909620,1
roberta-large@qqp-33,0,1920,1920,1920,0,909620,1
roberta-large@qqp-34,0,2880,2880,2880,0,909620,1
roberta-large@qqp-35,0,3840,3840,3840,0,909620,1
roberta-large@qqp-36,0,25200,26520.345592975616,26520,1,909620,8
roberta-large@qqp-37,0,1920,1920,1920,0,909620,1
roberta-large@qqp-38,0,1920,1920,1920,0,909620,1
roberta-large@qqp-39,0,3840,3840,3840,0,909620,1
roberta-large@qqp-40,0,2880,2880,2880,0,909620,1
roberta-large@qqp-41,0,11760,25200.691185951233,25200,2,909620,4
roberta-large@qqp-42,0,1920,1920,1920,0,909620,1
roberta-large@qqp-43,0,13440,18360.345592975616,18360,1,909620,2
roberta-large@qqp-44,0,3840,3840,3840,0,909620,1
roberta-large@qqp-45,0,17640,29253.691185951233,29253.691185951233,2,909620,8
roberta-large@qqp-46,0,1920,1920,1920,0,909620,1
roberta-large@qqp-47,0,3840,3840,3840,0,909620,1
roberta-large@qqp-48,0,2880,2880,2880,0,909620,1
roberta-large@qqp-49,0,10440,15000.345592975616,15000,1,909620,2
roberta-large@qqp-50,0,15480,28920.691185951233,28920,2,909620,4
roberta-large@qqp-51,0,4200,4200,4200,0,909620,1
roberta-large@qqp-52,0,2880,2880,2880,0,909620,1
roberta-large@qqp-53,0,18360,20640.345592975616,20640,1,909620,4
