full_resource,free_resource,pending_num,running_num,submit_num
8,8,0,0,54
8,0,46,8,0
8,0,46,8,0
8,0,45,8,0
8,0,45,8,0
8,0,39,8,0
8,0,39,8,0
8,0,36,8,0
8,0,36,8,0
8,0,36,8,0
8,0,32,8,0
8,0,32,8,0
8,0,28,8,0
8,0,24,8,0
8,0,24,8,0
8,0,21,8,0
8,0,18,8,0
8,0,18,8,0
8,0,18,8,0
8,0,15,8,0
8,0,15,8,0
8,0,14,8,0
8,0,12,8,0
8,2,14,6,0
8,0,12,6,0
8,0,10,5,0
8,0,8,5,0
8,1,8,4,0
8,2,8,3,0
8,4,7,2,0
8,4,5,2,0
8,4,5,2,0
8,4,5,2,0
8,2,4,2,0
8,2,4,2,0
8,2,3,2,0
8,2,3,2,0
8,2,3,2,0
8,0,3,2,0
8,4,3,1,0
8,4,2,1,0
8,4,2,1,0
8,0,1,1,0
8,0,1,1,0
8,0,1,1,0
8,5,0,1,0
