name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@mnist-0,0,480,840.1612496376038,840,1,600000,1
vit@mnist-1,0,480,1200.1612496376038,1200,1,600000,1
vit@mnist-2,0,240,480.16124963760376,480,1,600000,1
vit@mnist-3,0,0,240.16124963760376,240,1,600000,1
vit@mnist-4,0,600,1320.1612496376038,1320,1,600000,1
vit@mnist-5,0,600,840.1612496376038,840,1,600000,1
vit@mnist-6,0,240,480.16124963760376,480,1,600000,1
vit@mnist-7,0,480,720.1612496376038,720,1,600000,1
vit@mnist-8,0,840,1560.1612496376038,1560,1,600000,1
vit@mnist-9,0,720,1440.1612496376038,1440,1,600000,1
vit@mnist-10,0,240,480.16124963760376,480,1,600000,1
vit@mnist-11,0,240,480.16124963760376,480,1,600000,1
vit@mnist-12,0,960,3000.3224992752075,3000,2,600000,1
vit@mnist-13,0,840,1080.1612496376038,1080,1,600000,1
vit@mnist-14,0,840,2760.3224992752075,2760,2,600000,1
vit@mnist-15,0,240,480.16124963760376,480,1,600000,1
vit@mnist-16,0,720,1080.1612496376038,1080,1,600000,1
vit@mnist-17,0,1080,3168.4837489128113,3168.4837489128113,3,600000,1
vit@mnist-18,0,840,1080.1612496376038,1080,1,600000,1
vit@mnist-19,0,240,480.16124963760376,480,1,600000,1
vit@mnist-20,0,720,1080.1612496376038,1080,1,600000,1
vit@mnist-21,0,480,720.1612496376038,720,1,600000,1
vit@mnist-22,0,840,1560.3224992752075,1560,2,600000,1
vit@mnist-23,0,480,720.1612496376038,720,1,600000,1
vit@mnist-24,0,960,1680.1612496376038,1680,1,600000,1
vit@mnist-25,0,480,720.1612496376038,720,1,600000,1
vit@mnist-26,0,1080,1320.1612496376038,1320,1,600000,1
vit@imagenet-split-2-27,0,2880,3360.1612496376038,3360,1,1000000,1
vit@imagenet-split-2-28,0,2760,3840.1612496376038,3840,1,1000000,1
vit@imagenet-split-2-29,0,2400,2880.1612496376038,2880,1,1000000,1
vit@imagenet-split-2-30,0,1680,2160.1612496376038,2160,1,1000000,1
vit@imagenet-split-2-31,0,3000,4200.161249637604,4200,1,1000000,1
vit@imagenet-split-2-32,0,3000,3480.1612496376038,3480,1,1000000,1
vit@imagenet-split-2-33,0,2400,2880.1612496376038,2880,1,1000000,1
vit@imagenet-split-2-34,0,2640,3120.1612496376038,3120,1,1000000,1
vit@imagenet-split-2-35,0,3120,3600.1612496376038,3600,1,1000000,1
vit@imagenet-split-2-36,0,2520,3000.1612496376038,3000,1,1000000,1
vit@imagenet-split-2-37,0,3120,4200.3224992752075,4200,2,1000000,1
vit@imagenet-split-2-38,0,1920,2400.1612496376038,2400,1,1000000,1
vit@imagenet-split-2-39,0,3240,3600.1612496376038,3600,1,1000000,2
vit@imagenet-split-2-40,0,2520,3000.1612496376038,3000,1,1000000,1
vit@imagenet-split-2-41,0,3840,5280.483748912811,5280,3,1000000,4
vit@imagenet-split-2-42,0,1920,2400.1612496376038,2400,1,1000000,1
vit@imagenet-split-2-43,0,4800,6512.161249637604,6512.161249637604,1,1000000,4
vit@imagenet-split-2-44,0,4560,5040.161249637604,5040,1,1000000,1
vit@imagenet-split-2-45,0,4320,5400.3224992752075,5400,2,1000000,1
vit@imagenet-split-2-46,0,2040,2520.1612496376038,2520,1,1000000,1
vit@imagenet-split-2-47,0,3600,3960.1612496376038,3960,1,1000000,2
vit@imagenet-split-2-48,0,2760,3240.1612496376038,3240,1,1000000,1
vit@imagenet-split-2-49,0,3480,4200.3224992752075,4200,2,1000000,3
vit@imagenet-split-2-50,0,4920,6360.483748912811,6360,3,1000000,4
vit@imagenet-split-2-51,0,3960,4680.161249637604,4680,1,1000000,2
vit@imagenet-split-2-52,0,3840,4320.161249637604,4320,1,1000000,1
vit@imagenet-split-2-53,0,3840,4320.161249637604,4320,1,1000000,1
