name,finish_time_fairness
vit@Bingsu#Cat_and_Dog-0,0.09243
vit@Bingsu#Cat_and_Dog-1,0.10082
vit@Bingsu#Cat_and_Dog-2,0.08956
vit@Bingsu#Cat_and_Dog-3,0.05036
vit@Bingsu#Cat_and_Dog-4,0.12324
vit@Bingsu#Cat_and_Dog-5,0.10082
vit@Bingsu#Cat_and_Dog-6,0.08956
vit@Bingsu#Cat_and_Dog-7,0.15109
vit@Bingsu#Cat_and_Dog-8,0.09243
vit@Bingsu#Cat_and_Dog-9,0.10082
vit@Bingsu#Cat_and_Dog-10,0.08956
vit@Bingsu#Cat_and_Dog-11,0.10072
vit@Bingsu#Cat_and_Dog-12,0.09243
vit@Bingsu#Cat_and_Dog-13,0.10082
vit@Bingsu#Cat_and_Dog-14,0.25873
vit@Bingsu#Cat_and_Dog-15,0.10072
vit@Bingsu#Cat_and_Dog-16,0.12324
vit@Bingsu#Cat_and_Dog-17,0.13443
vit@Bingsu#Cat_and_Dog-18,0.25873
vit@Bingsu#Cat_and_Dog-19,0.10072
vit@Bingsu#Cat_and_Dog-20,0.12324
vit@Bingsu#Cat_and_Dog-21,0.10082
vit@Bingsu#Cat_and_Dog-22,0.30351
vit@Bingsu#Cat_and_Dog-23,0.25181
vit@Bingsu#Cat_and_Dog-24,0.15405
vit@Bingsu#Cat_and_Dog-25,0.13443
vit@Bingsu#Cat_and_Dog-26,0.17912
vit@imagenet-split-1-27,0.04272
vit@imagenet-split-1-28,0.05731
vit@imagenet-split-1-29,0.04299
vit@imagenet-split-1-30,0.06447
vit@imagenet-split-1-31,0.05586
vit@imagenet-split-1-32,0.05015
vit@imagenet-split-1-33,0.05732
vit@imagenet-split-1-34,0.06447
vit@imagenet-split-1-35,0.04929
vit@imagenet-split-1-36,0.06806
vit@imagenet-split-1-37,0.05732
vit@imagenet-split-1-38,0.04835
vit@imagenet-split-1-39,0.04929
vit@imagenet-split-1-40,0.04298
vit@imagenet-split-1-41,0.10407
vit@imagenet-split-1-42,0.04835
vit@imagenet-split-1-43,0.1286
vit@imagenet-split-1-44,0.06448
vit@imagenet-split-1-45,0.10986
vit@imagenet-split-1-46,0.04835
vit@imagenet-split-1-47,0.05915
vit@imagenet-split-1-48,0.04298
vit@imagenet-split-1-49,0.11463
vit@imagenet-split-1-50,0.20416
vit@imagenet-split-1-51,0.09201
vit@imagenet-split-1-52,0.09313
vit@imagenet-split-1-53,0.12419
