name,finish_time_fairness
vit-large@fashion_mnist-0,0.04705
vit-large@fashion_mnist-1,0.07068
vit-large@fashion_mnist-2,0.05722
vit-large@fashion_mnist-3,0.01515
vit-large@fashion_mnist-4,0.06202
vit-large@fashion_mnist-5,0.05553
vit-large@fashion_mnist-6,0.05722
vit-large@fashion_mnist-7,0.06816
vit-large@fashion_mnist-8,0.04705
vit-large@fashion_mnist-9,0.07068
vit-large@fashion_mnist-10,0.05722
vit-large@fashion_mnist-11,0.03029
vit-large@fashion_mnist-12,0.12484
vit-large@fashion_mnist-13,0.04544
vit-large@fashion_mnist-14,0.15819
vit-large@fashion_mnist-15,0.03029
vit-large@fashion_mnist-16,0.04705
vit-large@fashion_mnist-17,0.13883
vit-large@fashion_mnist-18,0.02693
vit-large@fashion_mnist-19,0.10602
vit-large@fashion_mnist-20,0.05346
vit-large@fashion_mnist-21,0.04544
vit-large@fashion_mnist-22,0.10434
vit-large@fashion_mnist-23,0.0833
vit-large@fashion_mnist-24,0.07271
vit-large@fashion_mnist-25,0.06815
vit-large@fashion_mnist-26,0.09087
vit-large@food101-27,0.07283
vit-large@food101-28,0.09797
vit-large@food101-29,0.07464
vit-large@food101-30,0.03899
vit-large@food101-31,0.09316
vit-large@food101-32,0.07997
vit-large@food101-33,0.08797
vit-large@food101-34,0.10796
vit-large@food101-35,0.06944
vit-large@food101-36,0.10196
vit-large@food101-37,0.08797
vit-large@food101-38,0.04199
vit-large@food101-39,0.13638
vit-large@food101-40,0.06798
vit-large@food101-41,0.17594
vit-large@food101-42,0.04199
vit-large@food101-43,0.07961
vit-large@food101-44,0.10796
vit-large@food101-45,0.21059
vit-large@food101-46,0.04199
vit-large@food101-47,0.08638
vit-large@food101-48,0.07597
vit-large@food101-49,0.18127
vit-large@food101-50,0.13195
vit-large@food101-51,0.09824
vit-large@food101-52,0.10596
vit-large@food101-53,0.14128
