name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@imagenet-split-1-0,0,3000,3600.137871026993,3600,1,750000,1
vit-large@imagenet-split-1-1,0,3000,4440.137871026993,4440,1,750000,1
vit-large@imagenet-split-1-2,0,1800,2400.137871026993,2400,1,750000,1
vit-large@imagenet-split-1-3,0,600,1200.1378710269928,1200,1,750000,1
vit-large@imagenet-split-1-4,0,3000,4680.137871026993,4680,1,750000,1
vit-large@imagenet-split-1-5,0,3000,3600.137871026993,3600,1,750000,1
vit-large@imagenet-split-1-6,0,1800,2400.137871026993,2400,1,750000,1
vit-large@imagenet-split-1-7,0,1800,2400.137871026993,2400,1,750000,1
vit-large@imagenet-split-1-8,0,3240,3840.137871026993,3840,1,750000,1
vit-large@imagenet-split-1-9,0,3240,4680.137871026993,4680,1,750000,1
vit-large@imagenet-split-1-10,0,1800,2400.137871026993,2400,1,750000,1
vit-large@imagenet-split-1-11,0,600,1200.1378710269928,1200,1,750000,1
vit-large@imagenet-split-1-12,0,4320,8202.275742053986,8202.275742053986,2,750000,2
vit-large@imagenet-split-1-13,0,1800,2400.137871026993,2400,1,750000,1
vit-large@imagenet-split-1-14,0,3600,7800.413613080978,7800,3,750000,1
vit-large@imagenet-split-1-15,0,600,1200.1378710269928,1200,1,750000,1
vit-large@imagenet-split-1-16,0,3600,4200.137871026993,4200,1,750000,1
vit-large@imagenet-split-1-17,0,3600,5040.275742053986,5040,2,750000,1
vit-large@imagenet-split-1-18,0,3720,7920.413613080978,7920,3,750000,1
vit-large@imagenet-split-1-19,0,1200,1800.1378710269928,1800,1,750000,1
vit-large@imagenet-split-1-20,0,3600,4200.137871026993,4200,1,750000,1
vit-large@imagenet-split-1-21,0,1800,2400.137871026993,2400,1,750000,1
vit-large@imagenet-split-1-22,0,3600,5040.275742053986,5040,2,750000,1
vit-large@imagenet-split-1-23,0,3240,3840.137871026993,3840,1,750000,1
vit-large@imagenet-split-1-24,0,3840,5520.137871026993,5520,1,750000,1
vit-large@imagenet-split-1-25,0,3840,4440.137871026993,4440,1,750000,1
vit-large@imagenet-split-1-26,0,3840,4440.137871026993,4440,1,750000,1
vit-large@food101-27,0,3840,4440.137871026993,4440,1,757500,1
vit-large@food101-28,0,3840,5280.137871026993,5280,1,757500,1
vit-large@food101-29,0,2400,3000.137871026993,3000,1,757500,1
vit-large@food101-30,0,1200,1800.1378710269928,1800,1,757500,1
vit-large@food101-31,0,4680,5760.137871026993,5760,1,757500,2
vit-large@food101-32,0,4560,5160.137871026993,5160,1,757500,1
vit-large@food101-33,0,2400,3000.137871026993,3000,1,757500,1
vit-large@food101-34,0,2400,3000.137871026993,3000,1,757500,1
vit-large@food101-35,0,4440,5040.137871026993,5040,1,757500,1
vit-large@food101-36,0,4800,6240.137871026993,6240,1,757500,1
vit-large@food101-37,0,2400,3000.137871026993,3000,1,757500,1
vit-large@food101-38,0,1200,1800.1378710269928,1800,1,757500,1
vit-large@food101-39,0,7920,10546.413613080978,10546.413613080978,3,757500,4
vit-large@food101-40,0,2400,3000.137871026993,3000,1,757500,1
vit-large@food101-41,0,6600,9480.413613080978,9480,3,757500,2
vit-large@food101-42,0,1200,1800.1378710269928,1800,1,757500,1
vit-large@food101-43,0,5520,6000.137871026993,6000,1,757500,2
vit-large@food101-44,0,8880,9720.275742053986,9720,2,757500,8
vit-large@food101-45,0,8640,10306.413613080978,10306.413613080978,3,757500,8
vit-large@food101-46,0,1200,1800.1378710269928,1800,1,757500,1
vit-large@food101-47,0,5040,5520.137871026993,5520,1,757500,2
vit-large@food101-48,0,3000,3600.137871026993,3600,1,757500,1
vit-large@food101-49,0,7200,8160.275742053986,8160,2,757500,4
vit-large@food101-50,0,6480,7080.137871026993,7080,1,757500,1
vit-large@food101-51,0,6600,7680.137871026993,7680,1,757500,2
vit-large@food101-52,0,5400,6000.137871026993,6000,1,757500,1
vit-large@food101-53,0,5400,6000.137871026993,6000,1,757500,1
