name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@imagenet-split-0-0,0,480,720.1378710269928,720,1,250000,1
vit-large@imagenet-split-0-1,0,480,1080.1378710269928,1080,1,250000,1
vit-large@imagenet-split-0-2,0,240,480.1378710269928,480,1,250000,1
vit-large@imagenet-split-0-3,0,0,240.1378710269928,240,1,250000,1
vit-large@imagenet-split-0-4,0,480,1080.1378710269928,1080,1,250000,1
vit-large@imagenet-split-0-5,0,480,720.1378710269928,720,1,250000,1
vit-large@imagenet-split-0-6,0,240,480.1378710269928,480,1,250000,1
vit-large@imagenet-split-0-7,0,480,720.1378710269928,720,1,250000,1
vit-large@imagenet-split-0-8,0,720,960.1378710269928,960,1,250000,1
vit-large@imagenet-split-0-9,0,720,1320.1378710269928,1320,1,250000,1
vit-large@imagenet-split-0-10,0,240,480.1378710269928,480,1,250000,1
vit-large@imagenet-split-0-11,0,240,480.1378710269928,480,1,250000,1
vit-large@imagenet-split-0-12,0,720,960.1378710269928,960,1,250000,1
vit-large@imagenet-split-0-13,0,480,720.1378710269928,720,1,250000,1
vit-large@imagenet-split-0-14,0,720,2160.2757420539856,2160,2,250000,1
vit-large@imagenet-split-0-15,0,240,480.1378710269928,480,1,250000,1
vit-large@imagenet-split-0-16,0,720,960.1378710269928,960,1,250000,1
vit-large@imagenet-split-0-17,0,720,2276.2757420539856,2276.2757420539856,2,250000,1
vit-large@imagenet-split-0-18,0,720,1320.2757420539856,1320,2,250000,1
vit-large@imagenet-split-0-19,0,240,480.1378710269928,480,1,250000,1
vit-large@imagenet-split-0-20,0,720,960.1378710269928,960,1,250000,1
vit-large@imagenet-split-0-21,0,480,720.1378710269928,720,1,250000,1
vit-large@imagenet-split-0-22,0,720,1320.2757420539856,1320,2,250000,1
vit-large@imagenet-split-0-23,0,720,2160.2757420539856,2160,2,250000,1
vit-large@imagenet-split-0-24,0,960,1320.1378710269928,1320,1,250000,2
vit-large@imagenet-split-0-25,0,840,1080.1378710269928,1080,1,250000,1
vit-large@imagenet-split-0-26,0,840,1080.1378710269928,1080,1,250000,1
vit-large@mnist-27,0,720,720,720,0,600000,1
vit-large@mnist-28,0,2040,2760.137871026993,2760,1,600000,2
vit-large@mnist-29,0,480,480,480,0,600000,1
vit-large@mnist-30,0,240,240,240,0,600000,1
vit-large@mnist-31,0,2280,3120.137871026993,3120,1,600000,2
vit-large@mnist-32,0,720,720,720,0,600000,1
vit-large@mnist-33,0,480,480,480,0,600000,1
vit-large@mnist-34,0,720,720,720,0,600000,1
vit-large@mnist-35,0,960,960,960,0,600000,1
vit-large@mnist-36,0,1680,2400.137871026993,2400,1,600000,2
vit-large@mnist-37,0,480,480,480,0,600000,1
vit-large@mnist-38,0,480,480,480,0,600000,1
vit-large@mnist-39,0,960,960,960,0,600000,1
vit-large@mnist-40,0,720,720,720,0,600000,1
vit-large@mnist-41,0,2400,4440.275742053986,4440,2,600000,3
vit-large@mnist-42,0,480,480,480,0,600000,1
vit-large@mnist-43,0,960,960,960,0,600000,1
vit-large@mnist-44,0,3720,5132.275742053986,5132.275742053986,2,600000,3
vit-large@mnist-45,0,2400,3600.137871026993,3600,1,600000,1
vit-large@mnist-46,0,480,480,480,0,600000,1
vit-large@mnist-47,0,960,960,960,0,600000,1
vit-large@mnist-48,0,720,720,720,0,600000,1
vit-large@mnist-49,0,1920,3120.137871026993,3120,1,600000,1
vit-large@mnist-50,0,3360,4979.275742053986,4979.275742053986,2,600000,8
vit-large@mnist-51,0,3960,4560.137871026993,4560,1,600000,4
vit-large@mnist-52,0,1080,1080,1080,0,600000,1
vit-large@mnist-53,0,1080,1080,1080,0,600000,1
