name,finish_time_fairness
roberta-base@mrpc-0,0.42536
roberta-base@sst2-1,0.08584
roberta-base@rte-2,0.31548
roberta-base@snli-3,0.03557
roberta-base@qnli-4,0.0261
roberta-base@qqp-5,0.20713
roberta-base@sst2-6,0.29699
roberta-base@qnli-7,0.09008
roberta-base@qnli-8,0.12164
roberta-base@qnli-9,0.25371
roberta-base@sst2-10,0.44873
roberta-base@sst2-11,0.24957
roberta-base@mrpc-12,0.7234
roberta-base@wnli-13,4.81773
roberta-base@rte-14,0.31397
roberta-base@qnli-15,0.1605
roberta-base@mnli-16,0.0989
roberta-base@qqp-17,0.03526
roberta-base@sst2-18,0.11483
roberta-base@qqp-19,0.16667
roberta-base@mnli-20,0.14549
roberta-base@sst2-21,0.15902
roberta-base@qnli-22,0.14578
roberta-base@sst2-23,0.15275
roberta-base@sst2-24,0.21542
roberta-base@qnli-25,0.18693
roberta-base@sst2-26,0.21504
roberta-base@sst2-27,0.07924
roberta-base@sst2-28,0.21632
roberta-base@sst2-29,0.24124
roberta-base@qnli-30,0.06775
roberta-base@rte-31,0.64241
roberta-base@qnli-32,0.07007
roberta-base@sst2-33,0.07081
roberta-base@rte-34,0.62734
roberta-base@qnli-35,0.06337
roberta-base@qnli-36,0.10863
roberta-base@qnli-37,0.06204
roberta-base@mrpc-38,0.5051
roberta-base@wnli-39,9.52884
roberta-base@mnli-40,0.07636
roberta-base@wnli-41,5.4844
roberta-base@mrpc-42,0.22797
roberta-base@mrpc-43,0.22797
roberta-base@rte-44,0.23412
roberta-base@wnli-45,5.43996
roberta-base@wnli-46,5.43996
roberta-base@qnli-47,0.07227
roberta-base@mrpc-48,0.79137
roberta-base@wnli-49,9.30662
roberta-base@rte-50,0.17838
roberta-base@mrpc-51,0.49072
roberta-base@snli-52,0.15389
roberta-base@mnli-53,0.0605
roberta-base@qqp-54,0.16475
roberta-base@mrpc-55,1.50395
roberta-base@rte-56,0.78331
roberta-base@mrpc-57,0.26874
roberta-base@mrpc-58,0.15216
roberta-base@rte-59,0.12715
roberta-base@stsb-60,0.23164
roberta-base@wnli-61,14.63996
roberta-base@stsb-62,0.2532
roberta-base@snli-63,0.14629
roberta-base@wnli-64,12.63996
roberta-base@sst2-65,0.69119
roberta-base@stsb-66,0.11856
roberta-base@rte-67,0.2281
roberta-base@qnli-68,0.13092
roberta-base@wnli-69,11.17329
roberta-base@qqp-70,0.05775
roberta-base@qnli-71,0.06141
roberta-base@qqp-72,0.17367
roberta-base@sst2-73,0.10689
roberta-base@wnli-74,4.81773
roberta-base@qnli-75,0.26044
roberta-base@sst2-76,0.05151
roberta-base@qnli-77,0.18794
roberta-base@rte-78,0.37725
roberta-base@wnli-79,3.92884
roberta-base@mrpc-80,0.44497
roberta-base@wnli-81,13.70662
roberta-base@sst2-82,0.07547
roberta-base@qqp-83,0.04371
roberta-base@stsb-84,0.13429
roberta-base@wnli-85,8.77329
roberta-base@wnli-86,7.79551
roberta-base@sst2-87,0.03761
roberta-base@sst2-88,0.02216
roberta-base@qnli-89,0.19757
roberta-base@qqp-90,0.04066
roberta-base@sst2-91,0.22865
roberta-base@rte-92,0.61529
roberta-base@sst2-93,0.25496
roberta-base@sst2-94,0.25462
roberta-base@sst2-95,0.25462
roberta-base@qnli-96,0.03911
roberta-base@mnli-97,0.04075
roberta-base@sst2-98,0.09173
roberta-base@stsb-99,0.21065
roberta-base@sst2-100,0.23054
roberta-base@qnli-101,0.23157
roberta-base@stsb-102,0.08941
roberta-base@qnli-103,0.06078
roberta-base@qnli-104,0.26443
roberta-base@sst2-105,0.29645
roberta-base@sst2-106,0.29645
roberta-base@sst2-107,0.59277
roberta-base@sst2-108,0.35954
roberta-base@qnli-109,0.42758
roberta-base@sst2-110,0.35738
roberta-base@qnli-111,0.42758
roberta-base@sst2-112,0.35738
roberta-base@sst2-113,0.35738
roberta-base@rte-114,1.05823
roberta-base@qnli-115,0.61734
roberta-base@mrpc-116,0.28418
roberta-base@qnli-117,0.52626
roberta-base@sst2-118,0.69978
roberta-base@qnli-119,0.52626
roberta-base@qnli-120,0.53268
roberta-base@qnli-121,0.53268
roberta-base@qnli-122,0.53268
roberta-base@sst2-123,0.69944
roberta-base@sst2-124,0.69944
roberta-base@qnli-125,0.52604
roberta-base@sst2-126,0.69944
roberta-base@sst2-127,0.69944
roberta-base@sst2-128,0.69944
roberta-base@qnli-129,0.52604
roberta-base@qnli-130,0.53246
roberta-base@qnli-131,0.53246
roberta-base@qnli-132,0.53915
roberta-base@sst2-133,0.69944
roberta-base@qnli-134,0.53915
roberta-base@sst2-135,0.69944
roberta-base@wnli-136,11.83996
roberta-base@wnli-137,11.0844
roberta-base@sst2-138,0.6541
roberta-base@sst2-139,0.60957
roberta-base@qnli-140,0.37505
roberta-base@qnli-141,0.34574
roberta-base@sst2-142,0.39023
roberta-base@qnli-143,0.05253
roberta-base@sst2-144,0.07377
roberta-base@qnli-145,0.05586
roberta-base@stsb-146,0.15703
roberta-base@stsb-147,0.08533
roberta-base@qnli-148,0.20561
roberta-base@sst2-149,0.21502
roberta-base@sst2-150,0.26663
roberta-base@stsb-151,0.17976
roberta-base@sst2-152,0.07912
roberta-base@qnli-153,0.0473
roberta-base@rte-154,0.82471
roberta-base@rte-155,0.64392
roberta-base@mrpc-156,0.54039
roberta-base@wnli-157,5.21773
roberta-base@sst2-158,0.05043
roberta-base@mnli-159,0.06829
roberta-base@qnli-160,0.2465
roberta-base@sst2-161,0.30165
roberta-base@wnli-162,9.0844
roberta-base@sst2-163,0.1912
roberta-base@rte-164,0.15277
roberta-base@sst2-165,0.10722
roberta-base@sst2-166,0.43206
roberta-base@qnli-167,0.3111
roberta-base@sst2-168,0.43206
roberta-base@sst2-169,0.43206
roberta-base@qnli-170,0.3111
roberta-base@sst2-171,0.43206
roberta-base@qnli-172,0.3111
roberta-base@sst2-173,0.43173
roberta-base@qnli-174,0.376
roberta-base@sst2-175,0.43173
roberta-base@qnli-176,0.37939
roberta-base@sst2-177,0.43173
roberta-base@sst2-178,0.43173
roberta-base@qnli-179,0.34922
