full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,0,0,2,2
32,32,0,0,0
32,8,0,2,2
32,20,0,1,0
32,0,0,2,1
32,0,0,2,0
32,8,0,2,1
32,10,1,2,1
32,6,1,4,2
32,6,1,4,0
32,0,0,7,3
32,12,3,4,1
32,18,0,7,1
32,16,0,4,1
32,20,0,1,0
32,32,0,0,0
32,0,0,4,4
32,0,0,4,0
32,8,0,2,0
32,8,0,2,0
32,0,0,4,2
32,0,0,4,1
32,0,0,4,0
32,0,0,2,0
32,12,3,4,5
32,0,0,11,4
32,8,3,8,1
32,6,3,10,3
32,0,0,8,0
32,0,0,7,3
32,20,0,6,2
32,10,0,11,7
32,5,1,5,2
32,24,0,4,1
32,20,0,3,1
32,0,0,6,4
32,5,1,5,1
32,0,0,8,3
32,12,0,5,1
32,12,0,5,1
32,0,0,7,3
32,6,1,6,2
32,6,1,4,0
32,12,0,5,1
32,0,0,6,2
32,10,1,2,0
32,6,1,5,3
32,16,0,8,3
32,5,1,5,0
32,6,1,4,0
32,6,1,5,1
32,0,0,7,2
32,6,1,5,0
32,12,0,5,1
32,8,0,2,0
32,26,0,3,1
32,8,0,2,0
32,0,0,4,4
32,20,0,3,1
32,28,0,2,1
32,0,0,3,2
32,20,0,1,0
32,0,0,2,1
32,0,0,4,3
32,0,0,8,4
32,6,1,6,1
32,0,0,3,1
32,0,0,4,1
32,10,1,2,0
32,10,1,2,0
32,4,0,7,4
32,0,0,14,11
32,5,2,11,1
32,5,2,11,0
32,0,0,12,2
32,0,0,23,19
32,0,0,25,2
32,0,0,25,3
32,0,0,23,0
32,0,0,24,1
32,0,0,24,0
32,0,0,26,2
32,0,0,21,3
32,8,0,6,1
32,5,1,5,3
32,5,1,5,2
32,12,3,4,4
32,20,0,6,1
32,10,1,2,1
32,0,0,2,1
32,24,0,4,3
32,12,0,5,2
32,6,1,4,1
32,0,0,16,13
32,0,0,15,0
32,0,0,16,1
32,0,0,16,0
32,12,3,4,0
32,10,1,2,0
32,16,0,1,0
32,32,0,0,0
