name,finish_time_fairness
roberta-large@mrpc-0,0.32071
roberta-large@qnli-1,0.05739
roberta-large@sst2-2,0.10692
roberta-large@qnli-3,0.15423
roberta-large@qnli-4,0.09066
roberta-large@sst2-5,0.4475
roberta-large@qnli-6,0.21762
roberta-large@mnli-7,0.08606
roberta-large@qqp-8,0.10213
roberta-large@mnli-9,0.10983
roberta-large@qnli-10,0.23227
roberta-large@sst2-11,0.41599
roberta-large@wnli-12,1.19093
roberta-large@rte-13,0.47081
roberta-large@rte-14,0.14588
roberta-large@qnli-15,0.15127
roberta-large@qnli-16,0.10609
roberta-large@rte-17,0.27388
roberta-large@wnli-18,1.58409
roberta-large@mrpc-19,0.97796
roberta-large@wnli-20,1.58067
roberta-large@qnli-21,0.09207
roberta-large@wnli-22,2.90375
roberta-large@mrpc-23,0.65345
roberta-large@sst2-24,0.15202
roberta-large@mnli-25,0.29778
roberta-large@rte-26,0.60289
roberta-large@rte-27,0.09993
roberta-large@stsb-28,0.29915
roberta-large@sst2-29,0.5073
roberta-large@stsb-30,0.14855
roberta-large@rte-31,0.12619
roberta-large@sst2-32,0.15768
roberta-large@rte-33,0.31327
roberta-large@qqp-34,0.2203
roberta-large@qqp-35,0.22443
roberta-large@sst2-36,0.06382
roberta-large@rte-37,0.28154
roberta-large@mrpc-38,0.36159
roberta-large@snli-39,0.28678
roberta-large@wnli-40,0.44221
roberta-large@qnli-41,0.25185
roberta-large@qqp-42,0.32769
roberta-large@sst2-43,0.36731
roberta-large@sst2-44,0.69296
roberta-large@qnli-45,0.13381
roberta-large@stsb-46,0.11361
roberta-large@qnli-47,0.22576
roberta-large@sst2-48,0.54542
roberta-large@qnli-49,0.76216
roberta-large@sst2-50,1.83871
roberta-large@mrpc-51,1.19629
roberta-large@qnli-52,0.67665
roberta-large@wnli-53,1.7311
roberta-large@qnli-54,0.64231
roberta-large@sst2-55,1.59614
roberta-large@sst2-56,1.59614
roberta-large@qnli-57,0.62003
roberta-large@sst2-58,1.59547
roberta-large@sst2-59,1.59547
roberta-large@qnli-60,0.61985
roberta-large@sst2-61,1.59547
roberta-large@sst2-62,1.59547
roberta-large@sst2-63,1.59547
roberta-large@sst2-64,1.59547
roberta-large@sst2-65,1.79265
roberta-large@sst2-66,1.88679
roberta-large@sst2-67,1.79907
roberta-large@qnli-68,0.68734
roberta-large@qnli-69,0.56985
roberta-large@qnli-70,0.10841
roberta-large@qnli-71,0.11345
roberta-large@stsb-72,0.62133
roberta-large@sst2-73,0.84405
roberta-large@sst2-74,0.96943
roberta-large@rte-75,0.29139
roberta-large@mrpc-76,0.46331
roberta-large@wnli-77,1.26614
roberta-large@stsb-78,0.56958
roberta-large@qnli-79,0.11014
roberta-large@qnli-80,0.16095
roberta-large@qnli-81,0.38543
roberta-large@wnli-82,0.70887
roberta-large@sst2-83,0.3487
roberta-large@qnli-84,0.08307
roberta-large@sst2-85,0.85911
roberta-large@qnli-86,0.34434
roberta-large@qnli-87,0.34434
roberta-large@sst2-88,0.63471
roberta-large@qnli-89,0.43112
