full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,20,0,1,1
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,26,0,1,1
32,26,0,1,0
32,14,0,2,1
32,14,0,2,0
32,20,0,2,2
32,20,0,2,0
32,5,0,3,1
32,5,0,3,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,14,0,2,2
32,14,0,2,0
32,14,0,2,0
32,14,0,2,0
32,5,0,3,2
32,5,0,3,0
32,5,0,3,0
32,5,0,3,0
32,6,1,4,2
32,2,0,6,1
32,5,1,5,1
32,0,0,6,1
32,14,0,3,0
32,8,1,4,2
32,0,0,5,1
32,12,3,4,3
32,5,1,7,1
32,12,3,4,1
32,6,2,6,1
32,6,1,6,2
32,8,1,5,0
32,8,0,3,1
32,8,0,3,1
32,14,0,2,1
32,23,0,1,0
32,14,0,2,1
32,14,0,2,0
32,14,0,2,1
32,5,0,3,2
32,14,0,2,0
32,14,0,3,2
32,0,0,4,2
32,0,0,4,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,8,0,3,1
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,0,0,4,2
32,5,0,3,0
32,5,0,3,0
32,5,0,3,0
32,5,0,3,0
32,22,0,2,1
32,0,0,4,3
32,6,1,4,1
32,0,0,4,0
32,8,1,4,1
32,8,0,4,0
32,14,0,3,0
32,14,0,3,0
32,0,0,4,1
32,8,2,4,4
32,6,2,4,1
32,6,2,4,0
32,12,3,4,2
32,0,0,18,12
32,0,0,17,0
32,0,0,19,3
32,0,0,19,0
32,0,0,20,1
32,0,0,20,0
32,3,1,18,0
32,0,0,21,2
32,4,2,12,1
32,2,1,14,2
32,3,1,13,0
32,6,2,8,3
32,3,1,8,1
32,6,1,6,1
32,6,1,5,1
32,7,0,5,2
32,0,0,4,1
32,8,1,4,1
32,3,1,8,5
32,0,0,9,0
32,0,0,9,0
32,6,1,6,0
32,8,0,4,0
32,8,0,4,0
32,26,0,1,0
32,26,0,1,0
32,32,0,0,0
