name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.07162
vit-large@imagenet-split-1-1,0.04369
vit-large@Bingsu#Cat_and_Dog-2,0.12104
vit-large@food101-3,0.08906
vit-large@imagenet-split-0-4,0.05041
vit-large@Bingsu#Cat_and_Dog-5,0.13341
vit-large@imagenet-split-2-6,0.03882
vit-large@imagenet-split-1-7,0.10897
vit-large@imagenet-split-1-8,0.06603
vit-large@imagenet-split-2-9,0.05033
vit-large@mnist-10,0.12397
vit-large@mnist-11,0.12397
vit-large@imagenet-split-0-12,0.09754
vit-large@frgfm#imagenette-13,0.05434
vit-large@frgfm#imagenette-14,0.04069
vit-large@frgfm#imagenette-15,0.05245
vit-large@Bingsu#Cat_and_Dog-16,0.14524
vit-large@mnist-17,0.1072
vit-large@fashion_mnist-18,0.1072
vit-large@food101-19,0.09308
vit-large@food101-20,0.06397
vit-large@fashion_mnist-21,0.20869
vit-large@imagenet-split-2-22,0.06048
vit-large@food101-23,0.06061
vit-large@mnist-24,0.22013
vit-large@frgfm#imagenette-25,0.03531
vit-large@imagenet-split-0-26,0.15255
vit-large@cifar100-27,0.16684
vit-large@imagenet-split-1-28,0.15309
vit-large@cifar100-29,0.13559
vit-large@imagenet-split-1-30,0.14347
vit-large@cifar100-31,0.04329
vit-large@cifar100-32,0.14361
vit-large@mnist-33,0.14614
vit-large@mnist-34,0.04241
vit-large@imagenet-split-0-35,0.14495
vit-large@Bingsu#Cat_and_Dog-36,0.15545
vit-large@cifar100-37,0.04072
vit-large@Bingsu#Cat_and_Dog-38,0.09201
vit-large@imagenet-split-1-39,0.13757
vit-large@imagenet-split-0-40,0.04735
vit-large@imagenet-split-1-41,0.05042
vit-large@Bingsu#Cat_and_Dog-42,0.14308
vit-large@Bingsu#Cat_and_Dog-43,0.27534
vit-large@cifar100-44,0.07365
vit-large@imagenet-split-2-45,0.1379
vit-large@cifar100-46,0.03865
vit-large@Bingsu#Cat_and_Dog-47,0.17265
vit-large@frgfm#imagenette-48,0.09517
vit-large@frgfm#imagenette-49,0.0776
vit-large@food101-50,0.08234
vit-large@frgfm#imagenette-51,0.05594
vit-large@frgfm#imagenette-52,0.05594
vit-large@frgfm#imagenette-53,0.06438
vit-large@frgfm#imagenette-54,0.06438
vit-large@frgfm#imagenette-55,0.07687
vit-large@frgfm#imagenette-56,0.07673
vit-large@Bingsu#Cat_and_Dog-57,0.15653
vit-large@imagenet-split-0-58,0.04512
vit-large@Bingsu#Cat_and_Dog-59,0.17803
vit-large@frgfm#imagenette-60,0.05536
vit-large@frgfm#imagenette-61,0.03938
vit-large@Bingsu#Cat_and_Dog-62,0.16351
vit-large@food101-63,0.06256
vit-large@food101-64,0.06299
vit-large@food101-65,0.06011
vit-large@frgfm#imagenette-66,0.11924
vit-large@frgfm#imagenette-67,0.17693
vit-large@frgfm#imagenette-68,0.1348
vit-large@Bingsu#Cat_and_Dog-69,0.22642
vit-large@frgfm#imagenette-70,0.03444
vit-large@frgfm#imagenette-71,0.0754
vit-large@frgfm#imagenette-72,0.08136
vit-large@Bingsu#Cat_and_Dog-73,0.24255
vit-large@imagenet-split-2-74,0.13027
vit-large@Bingsu#Cat_and_Dog-75,0.24308
vit-large@imagenet-split-1-76,0.30415
