name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,474.16124963760376,519.1612496376038,1,85221.0,16
vit@imagenet-split-1-1,92,208,769.3224992752075,861.3224992752075,2,750000,4
vit@frgfm#imagenette-2,491,109,286.16124963760376,777.1612496376038,1,85221.0,4
vit@Bingsu#Cat_and_Dog-3,766,134,224.16124963760376,990.1612496376038,1,63680.0,4
vit@food101-4,786,114,1664.644998550415,2450.644998550415,4,757500.0,4
vit@imagenet-split-0-5,1280,220,459.16124963760376,1739.1612496376038,1,250000.0,11
vit@Bingsu#Cat_and_Dog-6,1322,478,547.1612496376038,1869.1612496376038,1,63680.0,8
vit@mnist-7,1576,224,1353.3224992752075,2929.3224992752075,2,600000.0,4
vit@Bingsu#Cat_and_Dog-8,1747,53,122.16124963760376,1869.1612496376038,1,63680.0,8
vit@imagenet-split-2-9,1987,113,1825.1612496376038,3812.1612496376038,1,1000000.0,4
vit@imagenet-split-1-10,2229,171,889.1612496376038,3118.1612496376038,1,750000,4
vit@imagenet-split-2-11,2296,104,1816.1612496376038,4112.161249637604,1,1000000.0,4
vit@food101-12,2296,104,1409.1612496376038,3705.1612496376038,1,757500.0,4
vit@mnist-13,2374,26,1067.1612496376038,3441.1612496376038,1,600000.0,4
vit@imagenet-split-1-14,2634,66,784.1612496376038,3418.1612496376038,1,750000,4
vit@imagenet-split-2-15,2660,40,1880.644998550415,4540.644998550415,4,1000000.0,8
vit@mnist-16,3002,298,1397.3224992752075,4399.3224992752075,2,600000.0,4
vit@mnist-17,3002,298,1425.3224992752075,4427.3224992752075,2,600000.0,4
vit@imagenet-split-0-18,3014,586,962.3224992752075,3976.3224992752075,2,250000.0,4
vit@imagenet-split-1-19,3350,250,1062.3224992752075,4412.3224992752075,2,750000,4
vit@frgfm#imagenette-20,3459,441,618.1612496376038,4077.1612496376038,1,85221.0,4
vit@frgfm#imagenette-21,3853,47,224.16124963760376,4077.1612496376038,1,85221.0,4
vit@imagenet-split-2-22,3999,201,2259.1287474632263,6258.128747463226,7,1000000.0,4
vit@frgfm#imagenette-23,4072,128,305.16124963760376,4377.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-24,4256,244,313.16124963760376,4569.161249637604,1,63680.0,8
