name,finish_time_fairness
vit@frgfm#imagenette-0,0.0514
vit@imagenet-split-1-1,0.03885
vit@frgfm#imagenette-2,0.03102
vit@Bingsu#Cat_and_Dog-3,0.05318
vit@food101-4,0.05086
vit@imagenet-split-0-5,0.01851
vit@Bingsu#Cat_and_Dog-6,0.12981
vit@mnist-7,0.05221
vit@Bingsu#Cat_and_Dog-8,0.02898
vit@imagenet-split-2-9,0.04223
vit@imagenet-split-1-10,0.0741
vit@imagenet-split-2-11,0.02847
vit@food101-12,0.02916
vit@mnist-13,0.01644
vit@imagenet-split-1-14,0.0396
vit@imagenet-split-2-15,0.04352
vit@mnist-16,0.05391
vit@mnist-17,0.05499
vit@imagenet-split-0-18,0.1331
vit@imagenet-split-1-19,0.05365
vit@frgfm#imagenette-20,0.06701
vit@frgfm#imagenette-21,0.0243
vit@imagenet-split-2-22,0.03541
vit@frgfm#imagenette-23,0.03308
vit@Bingsu#Cat_and_Dog-24,0.0743
vit@Bingsu#Cat_and_Dog-25,0.06504
vit@mnist-26,0.05697
vit@fashion_mnist-27,0.09125
vit@food101-28,0.05257
vit@food101-29,0.03529
vit@fashion_mnist-30,0.09832
vit@fashion_mnist-31,0.11419
vit@Bingsu#Cat_and_Dog-32,0.03444
vit@frgfm#imagenette-33,0.04175
vit@imagenet-split-2-34,0.03594
vit@food101-35,0.03597
vit@food101-36,0.03413
vit@fashion_mnist-37,0.01836
vit@mnist-38,0.05287
vit@frgfm#imagenette-39,0.02701
vit@mnist-40,0.02778
vit@fashion_mnist-41,0.08744
vit@cifar100-42,0.03588
vit@frgfm#imagenette-43,0.02029
vit@Bingsu#Cat_and_Dog-44,0.12791
vit@imagenet-split-0-45,0.09991
vit@cifar100-46,0.09735
vit@imagenet-split-1-47,0.10204
vit@fashion_mnist-48,0.09384
vit@cifar100-49,0.08304
vit@fashion_mnist-50,0.08899
vit@imagenet-split-1-51,0.09386
vit@Bingsu#Cat_and_Dog-52,0.12554
vit@imagenet-split-1-53,0.1131
vit@imagenet-split-2-54,0.05183
vit@cifar100-55,0.12465
vit@mnist-56,0.07719
vit@frgfm#imagenette-57,0.02755
vit@imagenet-split-0-58,0.13158
vit@imagenet-split-2-59,0.04846
vit@frgfm#imagenette-60,0.05487
vit@Bingsu#Cat_and_Dog-61,0.09399
vit@fashion_mnist-62,0.12228
vit@cifar100-63,0.04619
vit@imagenet-split-1-64,0.11774
vit@Bingsu#Cat_and_Dog-65,0.06599
vit@imagenet-split-0-66,0.02726
vit@imagenet-split-1-67,0.14892
vit@fashion_mnist-68,0.05755
vit@imagenet-split-1-69,0.13875
vit@frgfm#imagenette-70,0.05693
vit@imagenet-split-2-71,0.06804
vit@imagenet-split-1-72,0.04784
vit@mnist-73,0.04243
vit@cifar100-74,0.05525
vit@imagenet-split-0-75,0.04019
vit@imagenet-split-1-76,0.04745
vit@Bingsu#Cat_and_Dog-77,0.0667
vit@imagenet-split-1-78,0.04527
vit@fashion_mnist-79,0.29728
vit@Bingsu#Cat_and_Dog-80,0.12507
vit@cifar100-81,0.10169
vit@imagenet-split-2-82,0.04789
vit@cifar100-83,0.05803
vit@Bingsu#Cat_and_Dog-84,0.10917
vit@frgfm#imagenette-85,0.05649
vit@Bingsu#Cat_and_Dog-86,0.07975
vit@Bingsu#Cat_and_Dog-87,0.07952
vit@frgfm#imagenette-88,0.06679
vit@fashion_mnist-89,0.05227
vit@frgfm#imagenette-90,0.05368
vit@imagenet-split-1-91,0.17579
vit@food101-92,0.0794
vit@frgfm#imagenette-93,0.04381
vit@frgfm#imagenette-94,0.04381
vit@frgfm#imagenette-95,0.04381
vit@frgfm#imagenette-96,0.04381
vit@frgfm#imagenette-97,0.04381
