name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,255,325.39900946617126,370.39900946617126,1,9170,16
roberta-base@qnli-1,92,208,556.3990094661713,648.3990094661713,1,261860,16
roberta-base@wnli-2,766,134,194.39900946617126,960.3990094661713,1,159.0,12
roberta-base@snli-3,786,114,3597.5910851955414,4383.591085195541,9,1373440,4
roberta-base@qnli-4,1280,220,883.1970283985138,2163.197028398514,3,261860,8
roberta-base@wnli-5,1322,178,239.39900946617126,1561.3990094661713,1,159.0,2
roberta-base@qqp-6,1987,113,2583.3940567970276,4570.394056797028,6,909620.0,2
roberta-base@qnli-7,2229,471,1600.1970283985138,3829.197028398514,3,261860,2
roberta-base@qnli-8,2634,66,1195.1970283985138,3829.197028398514,3,261860,2
roberta-base@mnli-9,2660,640,2898.3940567970276,5558.394056797028,6,883584.0,6
roberta-base@qnli-10,3002,298,1332.1970283985138,4334.197028398514,3,261860,4
roberta-base@sst2-11,3002,298,1070.1970283985138,4072.197028398514,3,168380,4
roberta-base@sst2-12,3014,286,1058.1970283985138,4072.197028398514,3,168380,4
roberta-base@wnli-13,3459,141,202.39900946617126,3661.3990094661713,1,159.0,2
roberta-base@rte-14,3853,47,127.39900946617126,3980.3990094661713,1,4984.0,4
roberta-base@rte-15,4072,128,208.39900946617126,4280.399009466171,1,4984.0,4
roberta-base@wnli-16,4295,205,266.39900946617126,4561.399009466171,1,159.0,2
roberta-base@qnli-17,4853,247,920.7980189323425,5773.7980189323425,2,261860,1
roberta-base@qnli-18,4853,247,969.7980189323425,5822.7980189323425,2,261860,8
roberta-base@mnli-19,4906,194,1920.9950473308563,6826.995047330856,5,883584.0,6
roberta-base@mnli-20,4906,194,1849.596037864685,6755.596037864685,4,883584.0,6
roberta-base@qnli-21,5098,902,1721.1970283985138,6819.197028398514,3,261860,5
roberta-base@qqp-22,6003,297,4097.591085195541,10100.591085195541,9,909620.0,4
roberta-base@mnli-23,6111,489,3661.793066263199,9772.793066263199,7,883584.0,2
roberta-base@qnli-24,6467,733,1839.1970283985138,8306.197028398514,3,261860,2
roberta-base@wnli-25,7190,10,71.39900946617126,7261.399009466171,1,159.0,2
roberta-base@qnli-26,7246,254,1311.1970283985138,8557.197028398514,3,261860,3
roberta-base@sst2-27,7246,254,1078.7980189323425,8324.798018932343,2,168380,2
roberta-base@sst2-28,7328,172,996.7980189323425,8324.798018932343,2,168380,2
roberta-base@sst2-29,7430,70,894.7980189323425,8324.798018932343,2,168380,2
roberta-base@qnli-30,7490,10,1267.1970283985138,8757.197028398514,3,261860,3
roberta-base@sst2-31,7516,284,1314.7980189323425,8830.798018932343,2,168380,3
roberta-base@qnli-32,7670,130,1659.1970283985138,9329.197028398514,3,261860,2
roberta-base@qnli-33,7719,381,1974.7980189323425,9693.798018932343,2,261860,2
roberta-base@sst2-34,7774,26,1033.3990094661713,8807.399009466171,1,168380,2
roberta-base@sst2-35,7814,286,1293.3990094661713,9107.399009466171,1,168380,2
roberta-base@stsb-36,7949,151,296.39900946617126,8245.399009466171,1,12942.0,2
roberta-base@sst2-37,8044,56,1063.3990094661713,9107.399009466171,1,168380,2
roberta-base@rte-38,8067,33,126.39900946617126,8193.399009466171,1,4984.0,2
roberta-base@sst2-39,8169,231,1238.3990094661713,9407.399009466171,1,168380,2
roberta-base@qnli-40,8264,136,1712.7980189323425,9976.798018932343,2,261860,4
roberta-base@qnli-41,8267,433,1858.7980189323425,10125.798018932343,2,261860,4
roberta-base@rte-42,8364,636,729.3990094661713,9093.399009466171,1,4984.0,2
roberta-base@stsb-43,8718,282,427.39900946617126,9145.399009466171,1,12942.0,2
roberta-base@qnli-44,8748,252,1663.1970283985138,10411.197028398514,3,261860,2
roberta-base@qqp-45,8767,233,4035.19207572937,12802.19207572937,8,909620.0,5
roberta-base@qnli-46,8768,232,1643.1970283985138,10411.197028398514,3,261860,2
roberta-base@stsb-47,8909,391,536.3990094661713,9445.399009466171,1,12942.0,2
roberta-base@wnli-48,9026,274,335.39900946617126,9361.399009466171,1,159.0,2
roberta-base@wnli-49,9147,153,214.39900946617126,9361.399009466171,1,159.0,2
roberta-base@snli-50,9491,109,4891.788113594055,14382.788113594055,12,1373440,4
roberta-base@wnli-51,9538,62,123.39900946617126,9661.399009466171,1,159.0,2
roberta-base@mrpc-52,9538,62,174.39900946617126,9712.399009466171,1,9170,2
roberta-base@mrpc-53,9538,62,174.39900946617126,9712.399009466171,1,9170,2
roberta-base@stsb-54,9538,62,207.39900946617126,9745.399009466171,1,12942.0,2
roberta-base@rte-55,9538,62,155.39900946617126,9693.399009466171,1,4984.0,2
roberta-base@wnli-56,9539,61,122.39900946617126,9661.399009466171,1,159.0,2
