name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,255,493.1378710269928,538.1378710269928,1,66283.0,16
vit-large@imagenet-split-1-1,92,208,735.2757420539856,827.2757420539856,2,749250.0,26
vit-large@Bingsu#Cat_and_Dog-2,766,134,225.1378710269928,991.1378710269928,1,31680.0,4
vit-large@food101-3,786,114,2748.689355134964,3534.689355134964,5,757500,4
vit-large@imagenet-split-0-4,1280,220,1418.4136130809784,2698.4136130809784,3,250000.0,1
vit-large@Bingsu#Cat_and_Dog-5,1322,178,248.1378710269928,1570.1378710269928,1,31680.0,10
vit-large@mnist-6,1576,224,1261.4136130809784,2837.4136130809784,3,600000.0,4
vit-large@Bingsu#Cat_and_Dog-7,1747,53,126.1378710269928,1873.1378710269928,1,31680.0,8
vit-large@imagenet-split-2-8,1987,113,1914.4136130809784,3901.4136130809784,3,1000000.0,4
vit-large@imagenet-split-1-9,2229,171,1305.2757420539856,3534.2757420539856,2,749250.0,4
vit-large@imagenet-split-2-10,2296,404,2193.137871026993,4489.137871026993,1,1000000.0,4
vit-large@imagenet-split-1-11,2634,66,1232.1378710269928,3866.137871026993,1,749250.0,4
vit-large@imagenet-split-0-12,2660,40,866.2757420539856,3526.2757420539856,2,250000.0,3
vit-large@mnist-13,3002,298,1487.2757420539856,4489.275742053986,2,600000.0,4
vit-large@mnist-14,3002,298,1487.2757420539856,4489.275742053986,2,600000.0,4
vit-large@imagenet-split-0-15,3014,586,1343.1378710269928,4357.137871026993,1,250000.0,4
vit-large@imagenet-split-1-16,3350,250,1323.2757420539856,4673.275742053986,2,749250.0,12
vit-large@frgfm#imagenette-17,3459,141,374.1378710269928,3833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-18,3853,47,280.1378710269928,4133.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-19,4072,128,361.1378710269928,4433.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-20,4256,244,314.1378710269928,4570.137871026993,1,31680.0,10
vit-large@Bingsu#Cat_and_Dog-21,4295,205,275.1378710269928,4570.137871026993,1,31680.0,10
vit-large@mnist-22,4853,247,1201.1378710269928,6054.137871026993,1,600000.0,7
vit-large@fashion_mnist-23,4853,247,1201.1378710269928,6054.137871026993,1,600000.0,7
vit-large@food101-24,4906,194,3177.9650971889496,8083.96509718895,7,757500,1
vit-large@food101-25,4906,194,3177.9650971889496,8083.96509718895,7,757500,1
vit-large@fashion_mnist-26,5098,1202,2388.2757420539856,7486.275742053986,2,600000.0,3
vit-large@imagenet-split-2-27,6003,297,3289.689355134964,9292.689355134964,5,1000000.0,1
vit-large@food101-28,6111,189,3707.689355134964,9818.689355134964,5,757500,1
vit-large@fashion_mnist-29,6432,168,1901.5514841079712,8333.551484107971,4,600000.0,1
vit-large@mnist-30,6467,433,2611.551484107971,9078.551484107971,4,600000.0,1
vit-large@frgfm#imagenette-31,6828,372,919.2757420539856,7747.275742053986,2,66283.0,1
vit-large@mnist-32,6858,42,2282.4136130809784,9140.413613080978,3,600000.0,1
vit-large@cifar100-33,7000,500,2767.2757420539856,9767.275742053986,2,500000.0,1
vit-large@frgfm#imagenette-34,7190,310,813.1378710269928,8003.137871026993,1,66283.0,1
vit-large@imagenet-split-0-35,7246,254,1908.2757420539856,9154.275742053986,2,250000.0,1
vit-large@cifar100-36,7246,254,2521.2757420539856,9767.275742053986,2,500000.0,1
vit-large@imagenet-split-1-37,7328,172,3670.551484107971,10998.551484107971,4,749250.0,1
vit-large@cifar100-38,7430,70,2337.2757420539856,9767.275742053986,2,500000.0,1
vit-large@imagenet-split-1-39,7490,10,3508.551484107971,10998.551484107971,4,749250.0,1
vit-large@Bingsu#Cat_and_Dog-40,7516,284,514.1378710269928,8030.137871026993,1,31680.0,1
vit-large@cifar100-41,7670,130,2662.2757420539856,10332.275742053986,2,500000.0,1
vit-large@mnist-42,7719,81,2670.2757420539856,10389.275742053986,2,600000.0,1
vit-large@mnist-43,7774,26,2880.2757420539856,10654.275742053986,2,600000.0,1
vit-large@imagenet-split-0-44,7814,286,1940.2757420539856,9754.275742053986,2,250000.0,1
vit-large@Bingsu#Cat_and_Dog-45,7949,151,381.1378710269928,8330.137871026993,1,31680.0,1
vit-large@fashion_mnist-46,8016,84,2800.551484107971,10816.551484107971,4,600000.0,1
vit-large@cifar100-47,8044,56,2715.551484107971,10759.551484107971,4,500000.0,1
vit-large@imagenet-split-1-48,8065,35,3664.827226161957,11729.827226161957,6,749250.0,1
vit-large@Bingsu#Cat_and_Dog-49,8067,33,263.1378710269928,8330.137871026993,1,31680.0,1
vit-large@imagenet-split-1-50,8169,231,3447.9650971889496,11616.96509718895,7,749250.0,2
vit-large@imagenet-split-1-51,8245,155,3371.9650971889496,11616.96509718895,7,749250.0,2
vit-large@cifar100-52,8260,140,2534.551484107971,10794.551484107971,4,500000.0,1
vit-large@imagenet-split-0-53,8264,136,1912.1378710269928,10176.137871026993,1,250000.0,1
vit-large@imagenet-split-1-54,8267,133,3472.827226161957,11739.827226161957,6,749250.0,1
vit-large@Bingsu#Cat_and_Dog-55,8364,36,266.1378710269928,8630.137871026993,1,31680.0,1
vit-large@imagenet-split-1-56,8389,11,3350.827226161957,11739.827226161957,6,749250.0,1
vit-large@Bingsu#Cat_and_Dog-57,8718,282,512.1378710269928,9230.137871026993,1,31680.0,1
vit-large@cifar100-58,8748,252,2116.551484107971,10864.551484107971,4,500000.0,1
vit-large@imagenet-split-2-59,8767,233,3351.827226161957,12118.827226161957,6,1000000.0,3
vit-large@cifar100-60,8768,232,2405.689355134964,11173.689355134964,5,500000.0,1
vit-large@frgfm#imagenette-61,8821,179,682.1378710269928,9503.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-62,8909,91,321.1378710269928,9230.137871026993,1,31680.0,1
vit-large@Bingsu#Cat_and_Dog-63,8910,90,320.1378710269928,9230.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-64,9026,274,777.1378710269928,9803.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-65,9147,153,656.1378710269928,9803.137871026993,1,66283.0,1
vit-large@food101-66,9491,109,3388.9650971889496,12879.96509718895,7,757500,4
vit-large@frgfm#imagenette-67,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-68,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-69,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-70,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-71,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-72,9538,62,565.1378710269928,10103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-73,9539,61,564.1378710269928,10103.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-74,9539,361,591.1378710269928,10130.137871026993,1,31680.0,1
vit-large@imagenet-split-0-75,9612,288,1791.4136130809784,11403.413613080978,3,250000.0,1
vit-large@Bingsu#Cat_and_Dog-76,9707,193,423.1378710269928,10130.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-77,10052,148,651.1378710269928,10703.137871026993,1,66283.0,1
vit-large@mnist-78,10408,92,1742.5514841079712,12150.551484107971,4,600000.0,3
vit-large@Bingsu#Cat_and_Dog-79,10414,86,316.1378710269928,10730.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-80,10462,38,541.1378710269928,11003.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-81,10587,213,443.1378710269928,11030.137871026993,1,31680.0,1
vit-large@food101-82,10617,183,2840.689355134964,13457.689355134964,5,757500,4
vit-large@imagenet-split-2-83,10617,783,3264.689355134964,13881.689355134964,5,1000000.0,1
vit-large@food101-84,10618,482,3571.827226161957,14189.827226161957,6,757500,4
vit-large@food101-85,10618,482,3396.689355134964,14014.689355134964,5,757500,1
vit-large@imagenet-split-2-86,10620,180,3313.827226161957,13933.827226161957,6,1000000.0,1
vit-large@frgfm#imagenette-87,10835,265,768.1378710269928,11603.137871026993,1,66283.0,1
vit-large@fashion_mnist-88,10851,549,2446.4136130809784,13297.413613080978,3,600000.0,2
vit-large@frgfm#imagenette-89,11194,206,587.2757420539856,11781.275742053986,2,66283.0,1
