name,finish_time_fairness
vit@frgfm#imagenette-0,0.03855
vit@imagenet-split-1-1,0.02581
vit@frgfm#imagenette-2,0.02904
vit@Bingsu#Cat_and_Dog-3,0.08544
vit@Bingsu#Cat_and_Dog-4,0.03989
vit@Bingsu#Cat_and_Dog-5,0.03704
vit@food101-6,0.02726
vit@imagenet-split-0-7,0.01388
vit@Bingsu#Cat_and_Dog-8,0.09736
vit@mnist-9,0.03916
vit@Bingsu#Cat_and_Dog-10,0.02174
vit@imagenet-split-2-11,0.02146
vit@frgfm#imagenette-12,0.03392
vit@imagenet-split-2-13,0.02384
vit@imagenet-split-1-14,0.05557
vit@imagenet-split-2-15,0.02277
vit@food101-16,0.02462
vit@mnist-17,0.01407
vit@imagenet-split-1-18,0.0387
vit@imagenet-split-0-19,0.0364
vit@mnist-20,0.04202
vit@mnist-21,0.04202
vit@mnist-22,0.04992
vit@imagenet-split-0-23,0.09722
vit@imagenet-split-1-24,0.05414
vit@frgfm#imagenette-25,0.0514
vit@mnist-26,0.04249
vit@frgfm#imagenette-27,0.04375
vit@imagenet-split-2-28,0.02319
vit@frgfm#imagenette-29,0.0492
vit@Bingsu#Cat_and_Dog-30,0.06231
vit@Bingsu#Cat_and_Dog-31,0.0801
vit@imagenet-split-0-32,0.0384
vit@food101-33,0.03489
vit@mnist-34,0.04409
vit@fashion_mnist-35,0.09336
vit@food101-36,0.02742
vit@food101-37,0.04049
vit@fashion_mnist-38,0.07239
vit@fashion_mnist-39,0.06742
vit@Bingsu#Cat_and_Dog-40,0.10679
vit@frgfm#imagenette-41,0.04074
vit@imagenet-split-2-42,0.03597
vit@frgfm#imagenette-43,0.06912
vit@imagenet-split-0-44,0.06288
vit@imagenet-split-2-45,0.033
vit@food101-46,0.05073
vit@food101-47,0.03297
vit@Bingsu#Cat_and_Dog-48,0.07458
vit@imagenet-split-2-49,0.04864
vit@fashion_mnist-50,0.01911
vit@frgfm#imagenette-51,0.04058
vit@mnist-52,0.04976
vit@imagenet-split-0-53,0.06497
vit@frgfm#imagenette-54,0.04879
vit@mnist-55,0.02593
vit@frgfm#imagenette-56,0.044
vit@fashion_mnist-57,0.09797
vit@fashion_mnist-58,0.09797
vit@cifar100-59,0.0379
vit@imagenet-split-0-60,0.1305
vit@frgfm#imagenette-61,0.03156
vit@frgfm#imagenette-62,0.01936
vit@Bingsu#Cat_and_Dog-63,0.09594
vit@imagenet-split-0-64,0.11568
vit@cifar100-65,0.10072
vit@mnist-66,0.06708
vit@mnist-67,0.06656
vit@imagenet-split-1-68,0.0935
vit@fashion_mnist-69,0.09346
vit@cifar100-70,0.08998
vit@fashion_mnist-71,0.08981
vit@imagenet-split-1-72,0.08736
vit@Bingsu#Cat_and_Dog-73,0.09416
vit@frgfm#imagenette-74,0.04993
vit@imagenet-split-1-75,0.10402
vit@mnist-76,0.06708
vit@Bingsu#Cat_and_Dog-77,0.07885
vit@fashion_mnist-78,0.10686
vit@cifar100-79,0.10608
vit@mnist-80,0.063
vit@mnist-81,0.06157
vit@frgfm#imagenette-82,0.02993
vit@imagenet-split-0-83,0.119
vit@imagenet-split-2-84,0.0679
vit@fashion_mnist-85,0.10958
vit@mnist-86,0.06956
vit@frgfm#imagenette-87,0.04115
vit@Bingsu#Cat_and_Dog-88,0.07049
vit@fashion_mnist-89,0.11677
vit@cifar100-90,0.04633
vit@imagenet-split-1-91,0.108
vit@Bingsu#Cat_and_Dog-92,0.10288
vit@imagenet-split-0-93,0.03543
vit@imagenet-split-1-94,0.10607
vit@fashion_mnist-95,0.04317
vit@imagenet-split-1-96,0.11542
vit@frgfm#imagenette-97,0.06709
vit@imagenet-split-2-98,0.04846
vit@imagenet-split-0-99,0.0491
vit@imagenet-split-1-100,0.044
vit@imagenet-split-1-101,0.04394
vit@fashion_mnist-102,0.05231
vit@cifar100-103,0.05504
vit@imagenet-split-0-104,0.05735
vit@imagenet-split-1-105,0.04768
vit@Bingsu#Cat_and_Dog-106,0.21017
vit@imagenet-split-1-107,0.04604
vit@fashion_mnist-108,0.24864
vit@Bingsu#Cat_and_Dog-109,0.20056
vit@cifar100-110,0.09985
vit@imagenet-split-2-111,0.0526
vit@cifar100-112,0.05712
vit@Bingsu#Cat_and_Dog-113,0.18864
vit@Bingsu#Cat_and_Dog-114,0.31641
vit@frgfm#imagenette-115,0.11554
vit@Bingsu#Cat_and_Dog-116,0.21996
vit@Bingsu#Cat_and_Dog-117,0.21978
vit@frgfm#imagenette-118,0.09887
vit@fashion_mnist-119,0.05397
vit@frgfm#imagenette-120,0.08904
vit@imagenet-split-1-121,0.19889
vit@food101-122,0.04927
vit@Bingsu#Cat_and_Dog-123,0.11586
vit@imagenet-split-0-124,0.12885
vit@frgfm#imagenette-125,0.08164
vit@frgfm#imagenette-126,0.08164
vit@frgfm#imagenette-127,0.08164
vit@frgfm#imagenette-128,0.08164
vit@frgfm#imagenette-129,0.08164
vit@frgfm#imagenette-130,0.08164
vit@frgfm#imagenette-131,0.10603
vit@Bingsu#Cat_and_Dog-132,0.2148
vit@Bingsu#Cat_and_Dog-133,0.2148
vit@Bingsu#Cat_and_Dog-134,0.2148
vit@frgfm#imagenette-135,0.10595
vit@Bingsu#Cat_and_Dog-136,0.21462
vit@frgfm#imagenette-137,0.10595
vit@Bingsu#Cat_and_Dog-138,0.268
vit@Bingsu#Cat_and_Dog-139,0.268
vit@frgfm#imagenette-140,0.13034
vit@Bingsu#Cat_and_Dog-141,0.2664
vit@imagenet-split-0-142,0.06195
vit@Bingsu#Cat_and_Dog-143,0.23811
vit@frgfm#imagenette-144,0.10879
vit@Bingsu#Cat_and_Dog-145,0.22014
vit@imagenet-split-0-146,0.25896
vit@frgfm#imagenette-147,0.08879
vit@frgfm#imagenette-148,0.08863
vit@Bingsu#Cat_and_Dog-149,0.17245
vit@Bingsu#Cat_and_Dog-150,0.20003
vit@Bingsu#Cat_and_Dog-151,0.1954
vit@imagenet-split-1-152,0.20982
vit@mnist-153,0.07892
vit@Bingsu#Cat_and_Dog-154,0.2874
vit@frgfm#imagenette-155,0.07969
