full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,0,0,2,2
32,10,1,2,2
32,16,0,4,3
32,28,0,1,0
32,10,1,2,2
32,0,0,4,2
32,20,0,3,1
32,0,0,9,6
32,3,1,8,2
32,0,0,8,0
32,6,2,8,4
32,6,2,9,2
32,6,2,8,2
32,3,1,9,2
32,0,0,9,4
32,20,0,3,0
32,0,0,8,5
32,6,2,8,3
32,0,0,11,1
32,8,2,5,2
32,0,0,11,5
32,0,0,11,3
32,7,3,9,4
32,0,0,17,6
32,0,0,21,10
32,0,0,29,10
32,0,5,32,11
32,0,12,32,14
32,0,10,32,1
32,0,14,32,9
32,0,13,32,4
32,0,27,32,20
32,0,21,32,4
32,0,19,32,4
32,0,18,32,6
32,0,21,32,15
32,0,13,32,4
32,0,4,32,4
32,0,0,32,2
32,4,2,22,1
32,0,0,28,10
32,0,0,28,5
32,0,0,26,4
32,0,0,31,6
32,0,2,32,8
32,0,0,28,1
32,0,0,25,4
32,2,1,23,4
32,0,0,24,4
32,0,0,20,3
32,0,0,23,8
32,0,0,27,6
32,6,3,16,0
32,0,0,18,4
32,6,2,11,2
32,3,1,8,3
32,0,0,4,2
32,8,3,8,8
32,4,0,7,1
32,0,0,4,1
32,4,0,7,4
32,0,0,10,6
32,0,0,9,4
32,3,1,13,8
32,0,0,28,14
32,0,0,30,3
32,0,2,32,5
32,0,0,29,4
32,0,0,28,4
32,3,1,25,2
32,4,2,23,5
32,0,30,32,43
32,0,25,32,3
32,0,24,32,3
32,0,25,32,5
32,0,96,32,75
32,0,99,32,6
32,0,106,32,9
32,0,103,32,4
32,0,99,32,5
32,0,94,32,4
32,0,92,32,4
32,0,97,32,9
32,0,101,32,5
32,0,112,32,14
32,0,116,32,8
32,0,118,32,6
32,0,116,32,5
32,0,119,32,7
32,0,120,32,9
32,0,120,32,4
32,0,121,32,4
32,0,119,32,3
32,0,187,32,70
32,0,188,32,5
32,0,181,32,5
32,0,176,32,0
32,0,171,32,0
32,0,162,32,0
32,0,154,32,0
32,0,149,32,0
32,0,145,32,0
32,0,138,32,0
32,0,133,32,0
32,0,123,32,0
32,0,119,32,0
32,0,116,32,0
32,0,112,32,0
32,0,106,32,0
32,0,97,32,0
32,0,88,32,0
32,0,83,32,0
32,0,75,32,0
32,0,69,32,0
32,0,66,32,0
32,0,64,32,0
32,0,60,32,0
32,0,57,32,0
32,0,54,32,0
32,0,47,32,0
32,0,38,32,0
32,0,33,32,0
32,0,29,32,0
32,0,23,32,0
32,0,20,32,0
32,0,13,32,0
32,0,10,32,0
32,0,4,32,0
32,0,0,27,0
32,4,2,16,0
32,6,2,10,0
32,4,1,8,0
32,0,0,3,0
32,24,0,2,0
32,28,0,1,0
32,32,0,0,0
