full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,30,0,2,2
32,30,0,1,0
32,26,0,3,2
32,22,0,2,0
32,27,0,2,1
32,22,0,2,0
32,11,0,3,1
32,0,0,4,1
32,9,0,5,2
32,8,0,5,0
32,4,0,8,3
32,3,0,8,1
32,4,0,7,1
32,1,0,6,1
32,1,0,2,0
32,1,0,2,0
32,28,0,4,4
32,24,0,4,0
32,16,0,4,0
32,0,0,4,0
32,3,0,4,2
32,2,0,5,1
32,3,0,5,0
32,2,0,4,0
32,0,0,9,5
32,10,0,11,4
32,1,0,12,1
32,1,1,13,3
32,0,0,11,0
32,5,0,7,3
32,6,0,8,2
32,10,0,11,7
32,6,0,7,2
32,17,0,4,1
32,19,0,3,1
32,6,0,6,4
32,3,0,5,1
32,7,0,7,3
32,7,0,4,1
32,0,0,4,1
32,0,0,6,3
32,2,0,6,2
32,0,0,5,0
32,5,0,5,1
32,0,0,5,2
32,0,0,3,0
32,4,0,6,3
32,4,0,7,3
32,4,0,5,0
32,2,0,5,0
32,0,0,5,1
32,1,0,6,2
32,3,0,6,0
32,3,0,6,1
32,0,0,4,0
32,16,0,2,1
32,11,0,1,0
32,28,0,4,4
32,27,0,3,1
32,23,0,3,1
32,14,0,4,2
32,14,0,2,0
32,6,0,3,1
32,5,0,6,3
32,12,0,9,4
32,6,0,9,1
32,3,0,9,1
32,1,0,8,1
32,10,0,4,0
32,4,0,3,0
32,3,0,7,4
32,5,0,15,11
32,5,0,16,1
32,0,0,15,0
32,1,1,14,2
32,3,8,22,19
32,1,7,22,2
32,1,7,21,3
32,0,5,22,0
32,0,4,23,1
32,1,2,22,0
32,7,4,17,2
32,2,4,18,3
32,0,4,18,1
32,1,3,17,3
32,4,0,16,2
32,5,0,13,4
32,5,0,9,1
32,1,0,7,1
32,15,0,4,1
32,11,0,6,3
32,14,0,6,2
32,13,0,5,1
32,5,1,17,13
32,1,1,16,0
32,2,2,16,1
32,1,1,16,0
32,1,0,10,0
32,4,0,6,0
32,12,0,3,0
32,24,0,1,0
32,32,0,0,0
