name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.10491
vit-large@imagenet-split-1-1,0.09279
vit-large@Bingsu#Cat_and_Dog-2,0.19577
vit-large@food101-3,0.08488
vit-large@imagenet-split-0-4,0.05356
vit-large@Bingsu#Cat_and_Dog-5,0.21943
vit-large@imagenet-split-2-6,0.04965
vit-large@imagenet-split-1-7,0.16876
vit-large@imagenet-split-1-8,0.09613
vit-large@imagenet-split-2-9,0.04814
vit-large@mnist-10,0.16133
vit-large@mnist-11,0.16812
vit-large@imagenet-split-0-12,0.12757
vit-large@frgfm#imagenette-13,0.08835
vit-large@frgfm#imagenette-14,0.0747
vit-large@frgfm#imagenette-15,0.08646
vit-large@Bingsu#Cat_and_Dog-16,0.23395
vit-large@mnist-17,0.16018
vit-large@fashion_mnist-18,0.15464
vit-large@food101-19,0.08731
vit-large@food101-20,0.06049
vit-large@fashion_mnist-21,0.12633
vit-large@imagenet-split-2-22,0.05569
vit-large@food101-23,0.06836
vit-large@mnist-24,0.15608
vit-large@frgfm#imagenette-25,0.06932
vit-large@imagenet-split-0-26,0.17272
vit-large@cifar100-27,0.16785
vit-large@imagenet-split-1-28,0.16103
vit-large@cifar100-29,0.16571
vit-large@imagenet-split-1-30,0.11062
vit-large@cifar100-31,0.0673
vit-large@cifar100-32,0.14676
vit-large@mnist-33,0.15255
vit-large@mnist-34,0.04782
vit-large@imagenet-split-0-35,0.14262
vit-large@Bingsu#Cat_and_Dog-36,0.20491
vit-large@cifar100-37,0.04615
vit-large@Bingsu#Cat_and_Dog-38,0.14147
vit-large@imagenet-split-1-39,0.15965
vit-large@imagenet-split-0-40,0.06931
vit-large@imagenet-split-1-41,0.0616
vit-large@Bingsu#Cat_and_Dog-42,0.14308
vit-large@Bingsu#Cat_and_Dog-43,0.59792
vit-large@cifar100-44,0.09719
vit-large@imagenet-split-2-45,0.15036
vit-large@cifar100-46,0.04275
vit-large@Bingsu#Cat_and_Dog-47,0.17265
vit-large@frgfm#imagenette-48,0.15645
vit-large@frgfm#imagenette-49,0.0953
vit-large@food101-50,0.09827
vit-large@frgfm#imagenette-51,0.07687
vit-large@frgfm#imagenette-52,0.07687
vit-large@frgfm#imagenette-53,0.07687
vit-large@frgfm#imagenette-54,0.16402
vit-large@frgfm#imagenette-55,0.08208
vit-large@frgfm#imagenette-56,0.08194
vit-large@Bingsu#Cat_and_Dog-57,0.15653
vit-large@imagenet-split-0-58,0.06784
vit-large@Bingsu#Cat_and_Dog-59,0.38878
vit-large@frgfm#imagenette-60,0.08936
vit-large@frgfm#imagenette-61,0.07339
vit-large@Bingsu#Cat_and_Dog-62,0.23825
vit-large@food101-63,0.05978
vit-large@food101-64,0.06017
vit-large@food101-65,0.05976
vit-large@frgfm#imagenette-66,0.17529
vit-large@frgfm#imagenette-67,0.16117
vit-large@frgfm#imagenette-68,0.11904
vit-large@Bingsu#Cat_and_Dog-69,0.13986
vit-large@frgfm#imagenette-70,0.06845
vit-large@frgfm#imagenette-71,0.10941
vit-large@frgfm#imagenette-72,0.10665
vit-large@Bingsu#Cat_and_Dog-73,0.24255
vit-large@imagenet-split-2-74,0.1178
vit-large@Bingsu#Cat_and_Dog-75,0.24308
vit-large@imagenet-split-1-76,0.24466
vit-large@Bingsu#Cat_and_Dog-77,0.17319
vit-large@fashion_mnist-78,0.03526
vit-large@frgfm#imagenette-79,0.07252
vit-large@fashion_mnist-80,0.0988
vit-large@imagenet-split-2-81,0.0524
vit-large@Bingsu#Cat_and_Dog-82,0.22534
vit-large@food101-83,0.05787
vit-large@cifar100-84,0.03025
vit-large@food101-85,0.09027
vit-large@cifar100-86,0.0328
vit-large@frgfm#imagenette-87,0.0747
vit-large@imagenet-split-0-88,0.12341
vit-large@imagenet-split-1-89,0.03674
vit-large@fashion_mnist-90,0.13705
vit-large@Bingsu#Cat_and_Dog-91,0.21513
vit-large@Bingsu#Cat_and_Dog-92,0.21351
vit-large@frgfm#imagenette-93,0.07179
vit-large@fashion_mnist-94,0.13384
vit-large@frgfm#imagenette-95,0.10868
vit-large@frgfm#imagenette-96,0.10679
vit-large@frgfm#imagenette-97,0.1036
vit-large@cifar100-98,0.06605
vit-large@food101-99,0.09144
vit-large@frgfm#imagenette-100,0.08515
vit-large@Bingsu#Cat_and_Dog-101,0.19685
vit-large@Bingsu#Cat_and_Dog-102,0.18448
vit-large@food101-103,0.11276
vit-large@Bingsu#Cat_and_Dog-104,0.22427
vit-large@Bingsu#Cat_and_Dog-105,0.15868
vit-large@cifar100-106,0.19422
vit-large@cifar100-107,0.21514
vit-large@cifar100-108,0.19422
vit-large@food101-109,0.08512
vit-large@cifar100-110,0.27021
vit-large@Bingsu#Cat_and_Dog-111,0.27911
vit-large@fashion_mnist-112,0.23386
vit-large@imagenet-split-1-113,0.31916
vit-large@mnist-114,0.20656
vit-large@imagenet-split-1-115,0.26737
vit-large@cifar100-116,0.21446
vit-large@fashion_mnist-117,0.21425
vit-large@frgfm#imagenette-118,0.10767
vit-large@fashion_mnist-119,0.04281
vit-large@food101-120,0.24301
vit-large@frgfm#imagenette-121,0.07557
vit-large@cifar100-122,0.11695
vit-large@fashion_mnist-123,0.05134
vit-large@Bingsu#Cat_and_Dog-124,0.25814
vit-large@fashion_mnist-125,0.92277
vit-large@imagenet-split-1-126,1.37942
vit-large@Bingsu#Cat_and_Dog-127,0.14631
vit-large@imagenet-split-0-128,0.08874
vit-large@mnist-129,0.37636
vit-large@fashion_mnist-130,0.65838
vit-large@imagenet-split-1-131,1.20257
vit-large@mnist-132,0.93485
vit-large@fashion_mnist-133,0.61526
vit-large@cifar100-134,0.60345
vit-large@cifar100-135,0.35555
vit-large@imagenet-split-0-136,0.15111
vit-large@fashion_mnist-137,0.92996
vit-large@imagenet-split-0-138,0.28796
vit-large@imagenet-split-1-139,1.15042
vit-large@cifar100-140,0.56437
vit-large@imagenet-split-0-141,0.23772
vit-large@mnist-142,0.91496
vit-large@fashion_mnist-143,0.41954
vit-large@Bingsu#Cat_and_Dog-144,0.12857
vit-large@cifar100-145,0.63196
vit-large@frgfm#imagenette-146,0.08833
vit-large@mnist-147,0.84937
vit-large@imagenet-split-1-148,1.03249
vit-large@cifar100-149,0.55902
vit-large@imagenet-split-0-150,0.4517
vit-large@fashion_mnist-151,1.00108
vit-large@mnist-152,0.53644
vit-large@imagenet-split-1-153,1.20872
vit-large@fashion_mnist-154,0.75881
vit-large@cifar100-155,0.80407
vit-large@imagenet-split-1-156,1.22979
vit-large@cifar100-157,0.89386
vit-large@imagenet-split-1-158,1.1406
vit-large@mnist-159,0.9821
vit-large@imagenet-split-0-160,0.41171
vit-large@fashion_mnist-161,0.84234
vit-large@mnist-162,0.91719
vit-large@mnist-163,0.90821
vit-large@cifar100-164,0.87028
vit-large@imagenet-split-1-165,1.18105
vit-large@fashion_mnist-166,0.76047
vit-large@cifar100-167,0.4557
vit-large@imagenet-split-1-168,1.20903
vit-large@imagenet-split-1-169,1.18027
vit-large@cifar100-170,0.82476
vit-large@imagenet-split-0-171,0.28059
vit-large@cifar100-172,0.5258
vit-large@imagenet-split-0-173,0.52342
vit-large@Bingsu#Cat_and_Dog-174,0.23341
vit-large@frgfm#imagenette-175,0.14381
vit-large@imagenet-split-1-176,1.05615
vit-large@mnist-177,0.83378
vit-large@frgfm#imagenette-178,0.19118
vit-large@Bingsu#Cat_and_Dog-179,0.52265
vit-large@fashion_mnist-180,0.87383
vit-large@mnist-181,0.99191
vit-large@imagenet-split-0-182,0.41522
vit-large@Bingsu#Cat_and_Dog-183,0.35814
vit-large@imagenet-split-2-184,0.24424
vit-large@imagenet-split-1-185,0.87759
vit-large@imagenet-split-0-186,0.15349
vit-large@fashion_mnist-187,0.78922
vit-large@imagenet-split-1-188,0.21316
vit-large@cifar100-189,0.12556
vit-large@mnist-190,0.15939
vit-large@imagenet-split-1-191,1.05401
vit-large@imagenet-split-1-192,0.2294
vit-large@frgfm#imagenette-193,0.08121
vit-large@frgfm#imagenette-194,0.45334
vit-large@frgfm#imagenette-195,0.38958
vit-large@fashion_mnist-196,0.58885
vit-large@imagenet-split-1-197,0.65457
vit-large@fashion_mnist-198,0.75887
vit-large@frgfm#imagenette-199,0.4991
vit-large@imagenet-split-0-200,0.2647
vit-large@cifar100-201,0.11768
vit-large@cifar100-202,0.67851
vit-large@frgfm#imagenette-203,0.31972
vit-large@Bingsu#Cat_and_Dog-204,0.46459
vit-large@fashion_mnist-205,0.16747
vit-large@Bingsu#Cat_and_Dog-206,0.28556
vit-large@mnist-207,0.1148
vit-large@frgfm#imagenette-208,0.47978
vit-large@fashion_mnist-209,0.31893
vit-large@Bingsu#Cat_and_Dog-210,0.56405
vit-large@imagenet-split-0-211,0.20668
vit-large@food101-212,0.19301
vit-large@imagenet-split-0-213,0.20538
vit-large@imagenet-split-1-214,0.75967
vit-large@Bingsu#Cat_and_Dog-215,0.3619
vit-large@cifar100-216,0.64908
vit-large@Bingsu#Cat_and_Dog-217,0.13502
vit-large@fashion_mnist-218,0.13042
vit-large@mnist-219,0.5277
vit-large@cifar100-220,0.64033
vit-large@fashion_mnist-221,0.65229
vit-large@imagenet-split-1-222,0.63377
vit-large@mnist-223,0.52906
vit-large@fashion_mnist-224,0.58216
vit-large@fashion_mnist-225,0.60788
vit-large@cifar100-226,0.63429
vit-large@cifar100-227,0.66144
vit-large@imagenet-split-1-228,0.7235
vit-large@fashion_mnist-229,0.61217
vit-large@imagenet-split-1-230,0.66186
vit-large@imagenet-split-0-231,0.34774
vit-large@fashion_mnist-232,0.63386
vit-large@cifar100-233,0.69344
vit-large@cifar100-234,0.59457
vit-large@imagenet-split-0-235,0.38548
vit-large@cifar100-236,0.71102
vit-large@imagenet-split-1-237,0.69858
vit-large@imagenet-split-2-238,0.1571
vit-large@imagenet-split-1-239,0.62672
