full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,30,0,2,2
32,27,0,3,1
32,24,0,4,2
32,22,0,2,0
32,26,0,3,2
32,24,0,4,2
32,21,0,4,1
32,18,0,7,4
32,14,0,8,2
32,4,0,8,0
32,1,0,10,3
32,5,0,11,2
32,5,0,10,1
32,4,0,9,2
32,7,0,8,2
32,24,0,2,0
32,23,0,6,5
32,16,0,8,2
32,6,0,7,0
32,0,0,8,1
32,7,0,8,3
32,16,0,7,2
32,14,0,7,2
32,6,0,10,3
32,5,0,17,8
32,5,2,18,6
32,2,6,21,9
32,2,13,22,12
32,0,10,21,1
32,0,12,24,8
32,1,13,21,4
32,2,17,25,14
32,0,19,24,2
32,1,17,19,2
32,0,14,19,5
32,5,10,22,10
32,0,10,22,4
32,4,6,21,3
32,1,4,19,2
32,3,4,17,1
32,0,8,20,9
32,1,6,20,4
32,0,6,21,4
32,1,7,20,4
32,3,6,23,5
32,1,4,18,1
32,0,3,17,3
32,4,2,16,4
32,2,0,16,2
32,5,0,11,1
32,4,1,13,5
32,5,0,16,4
32,2,0,14,0
32,0,1,15,4
32,7,0,11,1
32,8,0,8,2
32,23,0,4,1
32,20,0,8,6
32,11,0,9,1
32,10,0,6,1
32,17,0,6,3
32,12,0,9,4
32,2,0,10,3
32,8,0,11,7
32,3,3,21,13
32,4,4,22,3
32,1,5,22,2
32,0,5,21,4
32,1,3,18,1
32,0,3,17,2
32,0,4,17,4
32,1,18,27,32
32,0,16,27,3
32,0,18,26,2
32,0,17,26,4
32,0,69,28,57
32,0,70,30,5
32,0,78,30,9
32,0,79,30,3
32,0,80,28,2
32,1,82,27,3
32,0,84,27,4
32,0,89,26,8
32,0,88,25,3
32,0,97,26,10
32,0,98,27,5
32,0,102,27,6
32,0,103,27,5
32,1,104,27,5
32,0,106,25,4
32,0,107,23,4
32,0,108,23,3
32,0,105,25,2
32,0,148,28,50
32,0,148,28,3
32,0,150,27,5
32,0,148,27,0
32,0,147,27,0
32,0,144,27,0
32,0,141,27,0
32,0,139,27,0
32,0,138,27,0
32,0,134,25,0
32,0,130,25,0
32,0,127,24,0
32,0,124,25,0
32,0,122,24,0
32,0,120,23,0
32,2,116,22,0
32,0,111,22,0
32,0,106,22,0
32,0,105,22,0
32,0,102,22,0
32,0,99,21,0
32,0,88,20,0
32,0,81,22,0
32,0,75,20,0
32,0,67,19,0
32,3,59,17,0
32,0,47,19,0
32,0,40,16,0
32,0,31,19,0
32,0,20,16,0
32,0,7,16,0
32,3,1,11,0
32,20,0,3,0
32,24,0,2,0
32,32,0,0,0
