full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,30,0,2,2
32,30,0,1,0
32,26,0,3,2
32,22,0,2,0
32,26,0,3,2
32,22,0,2,0
32,11,0,3,1
32,4,0,4,1
32,8,0,5,2
32,4,0,5,0
32,2,0,8,3
32,3,0,9,1
32,1,0,8,1
32,1,0,7,1
32,0,0,4,1
32,1,0,2,0
32,27,0,5,5
32,22,0,5,0
32,12,0,5,0
32,0,0,5,0
32,14,0,4,2
32,0,0,5,1
32,0,0,5,0
32,2,0,6,1
32,7,0,8,5
32,12,0,11,4
32,1,0,15,4
32,0,0,17,4
32,2,0,14,0
32,2,0,16,5
32,3,0,14,2
32,2,2,15,8
32,1,0,11,2
32,1,0,8,1
32,7,0,4,1
32,6,0,7,4
32,6,0,6,1
32,6,0,8,3
32,0,0,6,1
32,0,0,6,1
32,1,0,7,3
32,0,0,7,2
32,0,0,6,0
32,0,0,7,1
32,0,0,8,3
32,0,0,7,1
32,4,0,9,3
32,0,0,11,3
32,2,0,9,0
32,4,1,7,0
32,0,0,7,1
32,0,0,8,2
32,1,0,7,0
32,3,0,9,2
32,0,0,7,0
32,0,0,5,1
32,0,0,4,1
32,25,0,6,5
32,23,0,4,1
32,15,0,4,1
32,14,0,4,2
32,13,0,3,1
32,6,0,3,1
32,7,0,7,5
32,6,0,14,7
32,5,0,15,2
32,2,0,16,2
32,5,2,15,2
32,2,1,12,0
32,1,0,10,0
32,1,0,12,4
32,6,2,20,16
32,2,2,20,1
32,0,2,20,0
32,0,3,19,2
32,2,21,27,27
32,0,21,29,2
32,0,28,29,7
32,1,29,28,1
32,0,27,24,2
32,1,24,26,1
32,0,25,24,3
32,0,29,23,4
32,0,31,23,2
32,0,33,24,3
32,0,32,24,2
32,0,34,23,6
32,1,33,22,2
32,0,28,21,3
32,0,26,20,1
32,0,23,23,3
32,0,23,21,2
32,0,18,23,1
32,0,27,25,19
32,0,24,25,1
32,0,24,25,1
32,0,22,23,0
32,0,20,23,0
32,0,18,23,0
32,0,15,22,0
32,0,13,21,0
32,0,11,19,0
32,0,9,16,0
32,0,3,13,0
32,0,0,8,0
32,0,0,4,0
32,0,0,3,0
32,0,0,3,0
32,32,0,0,0
