name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,255,628.6911859512329,673.6911859512329,1,9170,2
roberta-large@qnli-1,786,114,1707.0735578536987,2493.0735578536987,5,235674.0,21
roberta-large@qnli-2,1280,220,1813.0735578536987,3093.0735578536987,5,235674.0,20
roberta-large@sst2-3,1987,113,1191.3823719024658,3178.382371902466,3,84190.0,8
roberta-large@qnli-4,2634,66,1688.7279648780823,4322.727964878082,4,235674.0,12
roberta-large@qnli-5,2660,40,1686.0735578536987,4346.073557853699,5,235674.0,11
roberta-large@qnli-6,3002,298,1885.0735578536987,4887.073557853699,5,235674.0,32
roberta-large@stsb-7,3459,141,573.6911859512329,4032.691185951233,1,12942.0,2
roberta-large@rte-8,4072,128,340.34559297561646,4412.3455929756165,0,4984.0,1
roberta-large@qnli-9,4853,247,1796.7279648780823,6649.727964878082,4,235674.0,16
roberta-large@mnli-10,4906,194,3762.801522731781,8668.801522731781,10,785408.0,4
roberta-large@qqp-11,6003,297,5836.220673561096,11839.220673561096,17,909620.0,8
roberta-large@mnli-12,6111,189,5146.183894634247,11257.183894634247,14,785408.0,8
roberta-large@qnli-13,7246,254,2193.0735578536987,9439.073557853699,5,235674.0,8
roberta-large@sst2-14,7328,172,1317.3823719024658,8645.382371902466,3,84190.0,5
roberta-large@wnli-15,7516,284,385.34559297561646,7901.3455929756165,0,1590.0,1
roberta-large@sst2-16,7774,26,1104.3823719024658,8878.382371902466,3,84190.0,8
roberta-large@rte-17,8067,33,245.34559297561646,8312.345592975616,0,4984.0,1
roberta-large@sst2-18,8267,133,1228.3823719024658,9495.382371902466,3,84190.0,7
roberta-large@rte-19,8364,36,248.34559297561646,8612.345592975616,0,4984.0,1
roberta-large@stsb-20,8718,282,714.6911859512329,9432.691185951233,1,12942.0,2
roberta-large@qnli-21,8748,252,2134.0735578536987,10882.073557853699,5,235674.0,7
roberta-large@qnli-22,8768,232,2315.0735578536987,11083.073557853699,5,235674.0,4
