name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.07868
vit-large@imagenet-split-1-1,0.06959
vit-large@Bingsu#Cat_and_Dog-2,0.14683
vit-large@food101-3,0.06757
vit-large@imagenet-split-0-4,0.04017
vit-large@Bingsu#Cat_and_Dog-5,0.16457
vit-large@mnist-6,0.11571
vit-large@Bingsu#Cat_and_Dog-7,0.11417
vit-large@imagenet-split-2-8,0.03682
vit-large@imagenet-split-1-9,0.1454
vit-large@imagenet-split-2-10,0.0418
vit-large@imagenet-split-1-11,0.07301
vit-large@imagenet-split-0-12,0.06203
vit-large@mnist-13,0.1295
vit-large@mnist-14,0.1376
vit-large@imagenet-split-0-15,0.10922
vit-large@imagenet-split-1-16,0.07396
vit-large@frgfm#imagenette-17,0.06626
vit-large@frgfm#imagenette-18,0.05602
vit-large@frgfm#imagenette-19,0.06484
vit-large@Bingsu#Cat_and_Dog-20,0.19118
vit-large@Bingsu#Cat_and_Dog-21,0.17546
vit-large@mnist-22,0.12014
vit-large@fashion_mnist-23,0.11725
vit-large@food101-24,0.04803
vit-large@food101-25,0.05567
vit-large@fashion_mnist-26,0.09475
vit-large@imagenet-split-2-27,0.04803
vit-large@food101-28,0.09477
vit-large@fashion_mnist-29,0.02565
vit-large@mnist-30,0.14208
vit-large@frgfm#imagenette-31,0.05874
vit-large@mnist-32,0.03653
vit-large@cifar100-33,0.05735
vit-large@frgfm#imagenette-34,0.05199
vit-large@imagenet-split-0-35,0.13692
vit-large@cifar100-36,0.19036
vit-large@imagenet-split-1-37,0.21833
vit-large@cifar100-38,0.08697
vit-large@imagenet-split-1-39,0.20486
vit-large@Bingsu#Cat_and_Dog-40,0.20731
vit-large@cifar100-41,0.21031
vit-large@mnist-42,0.14665
vit-large@mnist-43,0.0512
vit-large@imagenet-split-0-44,0.17249
vit-large@Bingsu#Cat_and_Dog-45,0.15368
vit-large@fashion_mnist-46,0.14755
vit-large@cifar100-47,0.05859
vit-large@imagenet-split-1-48,0.15988
vit-large@Bingsu#Cat_and_Dog-49,0.34804
vit-large@imagenet-split-1-50,0.1779
vit-large@imagenet-split-1-51,0.06302
vit-large@cifar100-52,0.0522
vit-large@imagenet-split-0-53,0.04517
vit-large@imagenet-split-1-54,0.05645
vit-large@Bingsu#Cat_and_Dog-55,0.10731
vit-large@imagenet-split-1-56,0.06662
vit-large@Bingsu#Cat_and_Dog-57,0.20651
vit-large@cifar100-58,0.09034
vit-large@imagenet-split-2-59,0.06258
vit-large@cifar100-60,0.05186
vit-large@frgfm#imagenette-61,0.11179
vit-large@Bingsu#Cat_and_Dog-62,0.25046
vit-large@Bingsu#Cat_and_Dog-63,0.37102
vit-large@frgfm#imagenette-64,0.08466
vit-large@frgfm#imagenette-65,0.07147
vit-large@food101-66,0.07698
vit-large@frgfm#imagenette-67,0.13173
vit-large@frgfm#imagenette-68,0.06156
vit-large@frgfm#imagenette-69,0.06156
vit-large@frgfm#imagenette-70,0.06156
vit-large@frgfm#imagenette-71,0.05766
vit-large@frgfm#imagenette-72,0.09905
vit-large@frgfm#imagenette-73,0.12681
vit-large@Bingsu#Cat_and_Dog-74,0.11739
vit-large@imagenet-split-0-75,0.06843
vit-large@Bingsu#Cat_and_Dog-76,0.29159
vit-large@frgfm#imagenette-77,0.17378
vit-large@mnist-78,0.24372
vit-large@Bingsu#Cat_and_Dog-79,0.4339
vit-large@frgfm#imagenette-80,0.09163
vit-large@Bingsu#Cat_and_Dog-81,0.17868
vit-large@food101-82,0.0675
vit-large@imagenet-split-2-83,0.05032
vit-large@food101-84,0.06662
vit-large@food101-85,0.06187
vit-large@imagenet-split-2-86,0.05555
vit-large@frgfm#imagenette-87,0.18533
vit-large@fashion_mnist-88,0.17226
vit-large@frgfm#imagenette-89,0.23503
vit-large@frgfm#imagenette-90,0.09572
vit-large@Bingsu#Cat_and_Dog-91,0.10489
vit-large@frgfm#imagenette-92,0.05134
vit-large@frgfm#imagenette-93,0.11474
vit-large@mnist-94,0.03213
vit-large@frgfm#imagenette-95,0.07999
vit-large@Bingsu#Cat_and_Dog-96,0.19925
vit-large@frgfm#imagenette-97,0.08346
vit-large@Bingsu#Cat_and_Dog-98,0.18191
vit-large@imagenet-split-2-99,0.12562
vit-large@Bingsu#Cat_and_Dog-100,0.18231
vit-large@imagenet-split-1-101,0.25397
vit-large@frgfm#imagenette-102,0.13827
vit-large@Bingsu#Cat_and_Dog-103,0.11699
vit-large@imagenet-split-1-104,0.16152
vit-large@Bingsu#Cat_and_Dog-105,0.12989
vit-large@fashion_mnist-106,0.03274
vit-large@frgfm#imagenette-107,0.05439
vit-large@fashion_mnist-108,0.07175
vit-large@imagenet-split-2-109,0.04237
vit-large@Bingsu#Cat_and_Dog-110,0.16901
vit-large@food101-111,0.06894
vit-large@Bingsu#Cat_and_Dog-112,0.10651
vit-large@food101-113,0.04858
vit-large@cifar100-114,0.0299
vit-large@frgfm#imagenette-115,0.05993
vit-large@imagenet-split-1-116,0.02904
vit-large@imagenet-split-0-117,0.08909
vit-large@imagenet-split-1-118,0.02911
vit-large@fashion_mnist-119,0.10326
vit-large@Bingsu#Cat_and_Dog-120,0.16135
