full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,30,0,2,2
32,28,0,2,0
32,26,0,3,2
32,22,0,2,0
32,10,0,4,2
32,20,0,4,2
32,21,0,4,1
32,12,0,6,2
32,10,0,7,2
32,4,0,7,0
32,2,0,10,3
32,1,0,11,2
32,2,0,11,1
32,0,0,9,1
32,2,0,8,2
32,0,0,4,0
32,27,0,5,5
32,22,0,5,0
32,12,0,5,0
32,0,0,5,0
32,0,0,7,2
32,6,0,8,2
32,11,0,8,2
32,4,0,10,2
32,5,0,14,5
32,0,1,16,4
32,1,3,18,6
32,2,6,20,7
32,0,3,20,0
32,0,6,21,7
32,0,6,21,2
32,1,10,24,9
32,0,9,21,2
32,0,8,19,1
32,0,8,18,3
32,1,8,20,6
32,0,8,20,2
32,0,8,18,3
32,3,4,17,1
32,2,2,15,1
32,2,1,16,6
32,0,1,15,2
32,6,0,13,2
32,1,0,13,2
32,3,0,13,3
32,0,0,13,1
32,0,0,14,3
32,1,0,13,3
32,2,1,10,0
32,2,0,7,0
32,4,0,7,2
32,4,0,8,2
32,4,0,8,0
32,3,0,9,2
32,2,0,5,0
32,1,0,6,2
32,23,0,4,1
32,25,0,6,5
32,17,0,7,1
32,13,0,5,1
32,3,0,6,3
32,10,0,5,1
32,18,0,5,2
32,11,0,10,6
32,2,2,17,9
32,3,1,20,3
32,1,3,20,2
32,2,6,18,3
32,0,4,20,1
32,0,4,19,0
32,1,4,20,4
32,3,16,24,22
32,2,16,25,3
32,1,16,26,1
32,0,16,24,2
32,0,52,27,39
32,2,53,29,3
32,0,60,28,9
32,0,62,28,2
32,0,63,28,2
32,0,65,26,2
32,0,67,25,3
32,0,73,26,7
32,0,75,26,3
32,0,76,26,3
32,0,78,26,4
32,0,83,26,6
32,0,83,25,2
32,0,84,26,3
32,0,84,26,2
32,0,88,26,4
32,1,89,26,3
32,0,90,24,2
32,0,110,25,23
32,0,110,25,2
32,0,110,26,2
32,0,108,26,0
32,0,107,26,0
32,0,107,26,0
32,0,106,26,0
32,0,105,25,0
32,0,105,25,0
32,0,105,25,0
32,0,104,25,0
32,0,103,26,0
32,0,102,26,0
32,0,99,27,0
32,0,98,27,0
32,0,98,26,0
32,0,96,26,0
32,0,95,26,0
32,0,94,25,0
32,0,93,23,0
32,0,92,22,0
32,0,92,22,0
32,1,90,22,0
32,0,88,20,0
32,0,85,20,0
32,2,79,22,0
32,0,77,23,0
32,1,70,22,0
32,1,68,23,0
32,0,65,21,0
32,0,60,20,0
32,0,55,19,0
32,2,52,19,0
32,0,45,20,0
32,0,43,19,0
32,1,37,19,0
32,1,33,18,0
32,1,28,18,0
32,0,20,17,0
32,0,18,16,0
32,1,7,15,0
32,5,3,13,0
32,4,0,11,0
32,5,0,6,0
32,24,0,1,0
32,32,0,0,0
