name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,615.3224992752075,660.3224992752075,1,85221.0,2
vit@imagenet-split-1-1,92,208,1278.644998550415,1370.644998550415,3,750000,8
vit@frgfm#imagenette-2,491,109,469.3224992752075,960.3224992752075,1,85221.0,2
vit@Bingsu#Cat_and_Dog-3,510,90,335.16124963760376,845.1612496376038,0,63680.0,1
vit@Bingsu#Cat_and_Dog-4,766,134,379.16124963760376,1145.1612496376038,0,63680.0,1
vit@Bingsu#Cat_and_Dog-5,782,118,363.16124963760376,1145.1612496376038,0,63680.0,1
vit@food101-6,786,114,1700.4837489128113,2486.4837489128113,2,757500.0,4
vit@imagenet-split-0-7,1280,220,874.4837489128113,2154.4837489128113,2,250000.0,4
vit@Bingsu#Cat_and_Dog-8,1322,178,423.16124963760376,1745.1612496376038,0,63680.0,1
vit@mnist-9,1576,224,1623.644998550415,3199.644998550415,3,600000.0,2
vit@Bingsu#Cat_and_Dog-10,1747,53,298.16124963760376,2045.1612496376038,0,63680.0,1
vit@imagenet-split-2-11,1987,113,2426.806248188019,4413.806248188019,4,1000000.0,4
vit@frgfm#imagenette-12,2174,226,586.3224992752075,2760.3224992752075,1,85221.0,2
vit@imagenet-split-2-13,2217,183,2466.9674978256226,4683.967497825623,5,1000000.0,2
vit@imagenet-split-1-14,2229,171,1366.644998550415,3595.644998550415,3,750000,4
vit@imagenet-split-2-15,2296,104,2387.9674978256226,4683.967497825623,5,1000000.0,2
vit@food101-16,2296,104,1993.9674978256226,4289.967497825623,5,757500.0,4
vit@mnist-17,2374,26,1495.644998550415,3869.644998550415,3,600000.0,2
vit@imagenet-split-1-18,2634,66,1233.644998550415,3867.644998550415,3,750000,5
vit@imagenet-split-0-19,2660,40,694.4837489128113,3354.4837489128113,2,250000.0,4
vit@mnist-20,3002,298,1752.644998550415,4754.644998550415,3,600000.0,3
vit@mnist-21,3002,298,1698.4837489128113,4700.483748912811,2,600000.0,4
vit@mnist-22,3002,298,1619.4837489128113,4621.483748912811,2,600000.0,4
vit@imagenet-split-0-23,3014,286,945.4837489128113,3959.4837489128113,2,250000.0,3
vit@imagenet-split-1-24,3350,250,1511.644998550415,4861.644998550415,3,750000,8
vit@frgfm#imagenette-25,3459,141,501.3224992752075,3960.3224992752075,1,85221.0,2
vit@mnist-26,3831,69,1501.8062481880188,5332.806248188019,4,600000.0,3
vit@frgfm#imagenette-27,3853,47,407.3224992752075,4260.3224992752075,1,85221.0,2
vit@imagenet-split-2-28,3999,201,2379.9674978256226,6378.967497825623,5,1000000.0,3
vit@frgfm#imagenette-29,4072,128,488.3224992752075,4560.3224992752075,1,85221.0,2
vit@Bingsu#Cat_and_Dog-30,4256,244,489.16124963760376,4745.161249637604,0,63680.0,1
vit@Bingsu#Cat_and_Dog-31,4295,205,450.16124963760376,4745.161249637604,0,63680.0,1
vit@imagenet-split-0-32,4421,79,733.4837489128113,5154.483748912811,2,250000.0,4
vit@food101-33,4451,49,1755.8062481880188,6206.806248188019,4,757500.0,4
vit@mnist-34,4853,247,1716.644998550415,6569.644998550415,3,600000.0,2
vit@fashion_mnist-35,4853,247,1295.644998550415,6148.644998550415,3,600000.0,4
vit@food101-36,4906,194,1872.8062481880188,6778.806248188019,4,757500.0,4
vit@food101-37,4906,194,1899.8062481880188,6805.806248188019,4,757500.0,4
vit@fashion_mnist-38,5098,2,1050.644998550415,6148.644998550415,3,600000.0,4
vit@fashion_mnist-39,5295,105,1259.644998550415,6554.644998550415,3,600000.0,2
vit@Bingsu#Cat_and_Dog-40,5345,55,300.16124963760376,5645.161249637604,0,63680.0,1
vit@frgfm#imagenette-41,5376,24,384.3224992752075,5760.3224992752075,1,85221.0,2
vit@imagenet-split-2-42,5623,1577,4210.128747463226,9833.128747463226,6,1000000.0,1
vit@frgfm#imagenette-43,5792,208,568.3224992752075,6360.3224992752075,1,85221.0,2
