name,finish_time_fairness
vit@frgfm#imagenette-0,0.05003
vit@imagenet-split-1-1,0.04843
vit@frgfm#imagenette-2,0.03816
vit@Bingsu#Cat_and_Dog-3,0.05964
vit@Bingsu#Cat_and_Dog-4,0.06747
vit@Bingsu#Cat_and_Dog-5,0.06462
vit@food101-6,0.02639
vit@imagenet-split-0-7,0.02644
vit@Bingsu#Cat_and_Dog-8,0.0753
vit@mnist-9,0.04698
vit@Bingsu#Cat_and_Dog-10,0.05305
vit@imagenet-split-2-11,0.02853
vit@frgfm#imagenette-12,0.04767
vit@imagenet-split-2-13,0.029
vit@imagenet-split-1-14,0.08542
vit@imagenet-split-2-15,0.02807
vit@food101-16,0.03094
vit@mnist-17,0.01728
vit@imagenet-split-1-18,0.04673
vit@imagenet-split-0-19,0.04005
vit@mnist-20,0.05071
vit@mnist-21,0.04915
vit@mnist-22,0.04686
vit@imagenet-split-0-23,0.09808
vit@imagenet-split-1-24,0.05726
vit@frgfm#imagenette-25,0.04076
vit@mnist-26,0.04346
vit@frgfm#imagenette-27,0.03312
vit@imagenet-split-2-28,0.02798
vit@frgfm#imagenette-29,0.0397
vit@Bingsu#Cat_and_Dog-30,0.08704
vit@Bingsu#Cat_and_Dog-31,0.0801
vit@imagenet-split-0-32,0.07609
vit@food101-33,0.04059
vit@mnist-34,0.04967
vit@fashion_mnist-35,0.11093
vit@food101-36,0.02906
vit@food101-37,0.04353
vit@fashion_mnist-38,0.08995
vit@fashion_mnist-39,0.10785
vit@Bingsu#Cat_and_Dog-40,0.05341
vit@frgfm#imagenette-41,0.03125
vit@imagenet-split-2-42,0.07307
vit@frgfm#imagenette-43,0.04621
vit@imagenet-split-0-44,0.06945
vit@imagenet-split-2-45,0.08228
vit@food101-46,0.15599
vit@food101-47,0.09329
vit@Bingsu#Cat_and_Dog-48,0.07458
vit@imagenet-split-2-49,0.15367
vit@fashion_mnist-50,0.02622
vit@frgfm#imagenette-51,0.04206
vit@mnist-52,0.22002
vit@imagenet-split-0-53,0.10572
vit@frgfm#imagenette-54,0.03515
vit@mnist-55,0.02488
vit@frgfm#imagenette-56,0.03035
vit@fashion_mnist-57,0.13288
vit@fashion_mnist-58,0.06965
vit@cifar100-59,0.02796
vit@imagenet-split-0-60,0.13568
vit@frgfm#imagenette-61,0.0423
vit@frgfm#imagenette-62,0.05302
vit@Bingsu#Cat_and_Dog-63,0.09594
vit@imagenet-split-0-64,0.11568
vit@cifar100-65,0.15236
vit@mnist-66,0.08483
vit@mnist-67,0.15977
vit@imagenet-split-1-68,0.10665
vit@fashion_mnist-69,0.21512
vit@cifar100-70,0.11638
vit@fashion_mnist-71,0.09681
vit@imagenet-split-1-72,0.11844
vit@Bingsu#Cat_and_Dog-73,0.14754
vit@frgfm#imagenette-74,0.0758
vit@imagenet-split-1-75,0.2329
vit@mnist-76,0.19469
vit@Bingsu#Cat_and_Dog-77,0.13224
vit@fashion_mnist-78,0.1613
vit@cifar100-79,0.32614
vit@mnist-80,0.088
vit@mnist-81,0.10078
vit@frgfm#imagenette-82,0.03141
vit@imagenet-split-0-83,0.25368
vit@imagenet-split-2-84,0.12655
vit@fashion_mnist-85,0.20539
vit@mnist-86,0.15309
vit@frgfm#imagenette-87,0.04115
vit@Bingsu#Cat_and_Dog-88,0.12387
vit@fashion_mnist-89,0.155
vit@cifar100-90,0.08762
vit@imagenet-split-1-91,0.23288
vit@Bingsu#Cat_and_Dog-92,0.15626
vit@imagenet-split-0-93,0.03055
vit@imagenet-split-1-94,0.16738
vit@fashion_mnist-95,0.05832
vit@imagenet-split-1-96,0.32978
vit@frgfm#imagenette-97,0.0427
vit@imagenet-split-2-98,0.12601
vit@imagenet-split-0-99,0.0374
vit@imagenet-split-1-100,0.0531
vit@imagenet-split-1-101,0.07586
vit@fashion_mnist-102,0.08918
vit@cifar100-103,0.07211
vit@imagenet-split-0-104,0.04025
vit@imagenet-split-1-105,0.04517
vit@Bingsu#Cat_and_Dog-106,0.15679
vit@imagenet-split-1-107,0.05422
